matrix,nnz,nrows,cache_id,shared,mindist,count
(null),3489366,710145,0,0,0,9947170
(null),3489366,710145,0,0,64,322780
(null),3489366,710145,0,0,128,198867
(null),3489366,710145,0,0,192,149101
(null),3489366,710145,0,0,256,897006
(null),3489366,710145,0,0,2048,114314
(null),3489366,710145,0,0,4096,17571
(null),3489366,710145,0,0,6144,2792
(null),3489366,710145,0,0,8192,677
(null),3489366,710145,0,0,10240,429
(null),3489366,710145,0,0,12288,495
(null),3489366,710145,0,0,14336,433
(null),3489366,710145,0,0,16384,338
(null),3489366,710145,0,0,18432,225
(null),3489366,710145,0,0,20480,196
(null),3489366,710145,0,0,22528,280
(null),3489366,710145,0,0,24576,170
(null),3489366,710145,0,0,26624,133
(null),3489366,710145,0,0,28672,127
(null),3489366,710145,0,0,30720,145
(null),3489366,710145,0,0,32768,235140
(null),3489366,710145,0,0,18446744073709551615,0
(null),3489366,710145,0,1,0,9947170
(null),3489366,710145,0,1,64,322780
(null),3489366,710145,0,1,128,198867
(null),3489366,710145,0,1,192,149101
(null),3489366,710145,0,1,256,897006
(null),3489366,710145,0,1,2048,114314
(null),3489366,710145,0,1,4096,17571
(null),3489366,710145,0,1,6144,2792
(null),3489366,710145,0,1,8192,677
(null),3489366,710145,0,1,10240,429
(null),3489366,710145,0,1,12288,495
(null),3489366,710145,0,1,14336,433
(null),3489366,710145,0,1,16384,338
(null),3489366,710145,0,1,18432,225
(null),3489366,710145,0,1,20480,196
(null),3489366,710145,0,1,22528,280
(null),3489366,710145,0,1,24576,170
(null),3489366,710145,0,1,26624,133
(null),3489366,710145,0,1,28672,127
(null),3489366,710145,0,1,30720,145
(null),3489366,710145,0,1,32768,235140
(null),3489366,710145,0,1,18446744073709551615,0
(null),3489366,710145,1,1,0,0
(null),3489366,710145,1,1,64,0
(null),3489366,710145,1,1,128,0
(null),3489366,710145,1,1,192,0
(null),3489366,710145,1,1,256,0
(null),3489366,710145,1,1,2048,0
(null),3489366,710145,1,1,4096,0
(null),3489366,710145,1,1,6144,0
(null),3489366,710145,1,1,8192,0
(null),3489366,710145,1,1,10240,0
(null),3489366,710145,1,1,12288,0
(null),3489366,710145,1,1,14336,0
(null),3489366,710145,1,1,16384,0
(null),3489366,710145,1,1,18432,0
(null),3489366,710145,1,1,20480,0
(null),3489366,710145,1,1,22528,0
(null),3489366,710145,1,1,24576,0
(null),3489366,710145,1,1,26624,0
(null),3489366,710145,1,1,28672,0
(null),3489366,710145,1,1,30720,0
(null),3489366,710145,1,1,32768,0
(null),3489366,710145,1,1,18446744073709551615,0
(null),3489366,710145,2,1,0,0
(null),3489366,710145,2,1,64,0
(null),3489366,710145,2,1,128,0
(null),3489366,710145,2,1,192,0
(null),3489366,710145,2,1,256,0
(null),3489366,710145,2,1,2048,0
(null),3489366,710145,2,1,4096,0
(null),3489366,710145,2,1,6144,0
(null),3489366,710145,2,1,8192,0
(null),3489366,710145,2,1,10240,0
(null),3489366,710145,2,1,12288,0
(null),3489366,710145,2,1,14336,0
(null),3489366,710145,2,1,16384,0
(null),3489366,710145,2,1,18432,0
(null),3489366,710145,2,1,20480,0
(null),3489366,710145,2,1,22528,0
(null),3489366,710145,2,1,24576,0
(null),3489366,710145,2,1,26624,0
(null),3489366,710145,2,1,28672,0
(null),3489366,710145,2,1,30720,0
(null),3489366,710145,2,1,32768,0
(null),3489366,710145,2,1,18446744073709551615,0
(null),3489366,710145,3,1,0,0
(null),3489366,710145,3,1,64,0
(null),3489366,710145,3,1,128,0
(null),3489366,710145,3,1,192,0
(null),3489366,710145,3,1,256,0
(null),3489366,710145,3,1,2048,0
(null),3489366,710145,3,1,4096,0
(null),3489366,710145,3,1,6144,0
(null),3489366,710145,3,1,8192,0
(null),3489366,710145,3,1,10240,0
(null),3489366,710145,3,1,12288,0
(null),3489366,710145,3,1,14336,0
(null),3489366,710145,3,1,16384,0
(null),3489366,710145,3,1,18432,0
(null),3489366,710145,3,1,20480,0
(null),3489366,710145,3,1,22528,0
(null),3489366,710145,3,1,24576,0
(null),3489366,710145,3,1,26624,0
(null),3489366,710145,3,1,28672,0
(null),3489366,710145,3,1,30720,0
(null),3489366,710145,3,1,32768,0
(null),3489366,710145,3,1,18446744073709551615,0
