matrix,nnz,nrows,cache_id,shared,mindist,count
(null),17467046,5824554,0,0,0,59188769
(null),17467046,5824554,0,0,64,174397
(null),17467046,5824554,0,0,128,115235
(null),17467046,5824554,0,0,192,90995
(null),17467046,5824554,0,0,256,800209
(null),17467046,5824554,0,0,2048,197065
(null),17467046,5824554,0,0,4096,148814
(null),17467046,5824554,0,0,6144,111414
(null),17467046,5824554,0,0,8192,80570
(null),17467046,5824554,0,0,10240,63466
(null),17467046,5824554,0,0,12288,56734
(null),17467046,5824554,0,0,14336,53966
(null),17467046,5824554,0,0,16384,52306
(null),17467046,5824554,0,0,18432,47546
(null),17467046,5824554,0,0,20480,47323
(null),17467046,5824554,0,0,22528,45602
(null),17467046,5824554,0,0,24576,44168
(null),17467046,5824554,0,0,26624,37471
(null),17467046,5824554,0,0,28672,40029
(null),17467046,5824554,0,0,30720,33781
(null),17467046,5824554,0,0,32768,2620387
(null),17467046,5824554,0,0,18446744073709551615,0
(null),17467046,5824554,0,1,0,59188769
(null),17467046,5824554,0,1,64,174397
(null),17467046,5824554,0,1,128,115235
(null),17467046,5824554,0,1,192,90995
(null),17467046,5824554,0,1,256,800209
(null),17467046,5824554,0,1,2048,197065
(null),17467046,5824554,0,1,4096,148814
(null),17467046,5824554,0,1,6144,111414
(null),17467046,5824554,0,1,8192,80570
(null),17467046,5824554,0,1,10240,63466
(null),17467046,5824554,0,1,12288,56734
(null),17467046,5824554,0,1,14336,53966
(null),17467046,5824554,0,1,16384,52306
(null),17467046,5824554,0,1,18432,47546
(null),17467046,5824554,0,1,20480,47323
(null),17467046,5824554,0,1,22528,45602
(null),17467046,5824554,0,1,24576,44168
(null),17467046,5824554,0,1,26624,37471
(null),17467046,5824554,0,1,28672,40029
(null),17467046,5824554,0,1,30720,33781
(null),17467046,5824554,0,1,32768,2620387
(null),17467046,5824554,0,1,18446744073709551615,0
(null),17467046,5824554,1,1,0,0
(null),17467046,5824554,1,1,64,0
(null),17467046,5824554,1,1,128,0
(null),17467046,5824554,1,1,192,0
(null),17467046,5824554,1,1,256,0
(null),17467046,5824554,1,1,2048,0
(null),17467046,5824554,1,1,4096,0
(null),17467046,5824554,1,1,6144,0
(null),17467046,5824554,1,1,8192,0
(null),17467046,5824554,1,1,10240,0
(null),17467046,5824554,1,1,12288,0
(null),17467046,5824554,1,1,14336,0
(null),17467046,5824554,1,1,16384,0
(null),17467046,5824554,1,1,18432,0
(null),17467046,5824554,1,1,20480,0
(null),17467046,5824554,1,1,22528,0
(null),17467046,5824554,1,1,24576,0
(null),17467046,5824554,1,1,26624,0
(null),17467046,5824554,1,1,28672,0
(null),17467046,5824554,1,1,30720,0
(null),17467046,5824554,1,1,32768,0
(null),17467046,5824554,1,1,18446744073709551615,0
(null),17467046,5824554,2,1,0,0
(null),17467046,5824554,2,1,64,0
(null),17467046,5824554,2,1,128,0
(null),17467046,5824554,2,1,192,0
(null),17467046,5824554,2,1,256,0
(null),17467046,5824554,2,1,2048,0
(null),17467046,5824554,2,1,4096,0
(null),17467046,5824554,2,1,6144,0
(null),17467046,5824554,2,1,8192,0
(null),17467046,5824554,2,1,10240,0
(null),17467046,5824554,2,1,12288,0
(null),17467046,5824554,2,1,14336,0
(null),17467046,5824554,2,1,16384,0
(null),17467046,5824554,2,1,18432,0
(null),17467046,5824554,2,1,20480,0
(null),17467046,5824554,2,1,22528,0
(null),17467046,5824554,2,1,24576,0
(null),17467046,5824554,2,1,26624,0
(null),17467046,5824554,2,1,28672,0
(null),17467046,5824554,2,1,30720,0
(null),17467046,5824554,2,1,32768,0
(null),17467046,5824554,2,1,18446744073709551615,0
(null),17467046,5824554,3,1,0,0
(null),17467046,5824554,3,1,64,0
(null),17467046,5824554,3,1,128,0
(null),17467046,5824554,3,1,192,0
(null),17467046,5824554,3,1,256,0
(null),17467046,5824554,3,1,2048,0
(null),17467046,5824554,3,1,4096,0
(null),17467046,5824554,3,1,6144,0
(null),17467046,5824554,3,1,8192,0
(null),17467046,5824554,3,1,10240,0
(null),17467046,5824554,3,1,12288,0
(null),17467046,5824554,3,1,14336,0
(null),17467046,5824554,3,1,16384,0
(null),17467046,5824554,3,1,18432,0
(null),17467046,5824554,3,1,20480,0
(null),17467046,5824554,3,1,22528,0
(null),17467046,5824554,3,1,24576,0
(null),17467046,5824554,3,1,26624,0
(null),17467046,5824554,3,1,28672,0
(null),17467046,5824554,3,1,30720,0
(null),17467046,5824554,3,1,32768,0
(null),17467046,5824554,3,1,18446744073709551615,0
