matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1121798,238600,0,0,0,3555133
(null),1121798,238600,0,0,64,124610
(null),1121798,238600,0,0,128,40460
(null),1121798,238600,0,0,192,14651
(null),1121798,238600,0,0,256,24767
(null),1121798,238600,0,0,2048,592
(null),1121798,238600,0,0,4096,875
(null),1121798,238600,0,0,6144,775
(null),1121798,238600,0,0,8192,410
(null),1121798,238600,0,0,10240,504
(null),1121798,238600,0,0,12288,579
(null),1121798,238600,0,0,14336,534
(null),1121798,238600,0,0,16384,388
(null),1121798,238600,0,0,18432,585
(null),1121798,238600,0,0,20480,366
(null),1121798,238600,0,0,22528,493
(null),1121798,238600,0,0,24576,262
(null),1121798,238600,0,0,26624,571
(null),1121798,238600,0,0,28672,254
(null),1121798,238600,0,0,30720,431
(null),1121798,238600,0,0,32768,75355
(null),1121798,238600,0,0,18446744073709551615,0
(null),1121798,238600,0,1,0,3555133
(null),1121798,238600,0,1,64,124610
(null),1121798,238600,0,1,128,40460
(null),1121798,238600,0,1,192,14651
(null),1121798,238600,0,1,256,24767
(null),1121798,238600,0,1,2048,592
(null),1121798,238600,0,1,4096,875
(null),1121798,238600,0,1,6144,775
(null),1121798,238600,0,1,8192,410
(null),1121798,238600,0,1,10240,504
(null),1121798,238600,0,1,12288,579
(null),1121798,238600,0,1,14336,534
(null),1121798,238600,0,1,16384,388
(null),1121798,238600,0,1,18432,585
(null),1121798,238600,0,1,20480,366
(null),1121798,238600,0,1,22528,493
(null),1121798,238600,0,1,24576,262
(null),1121798,238600,0,1,26624,571
(null),1121798,238600,0,1,28672,254
(null),1121798,238600,0,1,30720,431
(null),1121798,238600,0,1,32768,75355
(null),1121798,238600,0,1,18446744073709551615,0
(null),1121798,238600,1,1,0,0
(null),1121798,238600,1,1,64,0
(null),1121798,238600,1,1,128,0
(null),1121798,238600,1,1,192,0
(null),1121798,238600,1,1,256,0
(null),1121798,238600,1,1,2048,0
(null),1121798,238600,1,1,4096,0
(null),1121798,238600,1,1,6144,0
(null),1121798,238600,1,1,8192,0
(null),1121798,238600,1,1,10240,0
(null),1121798,238600,1,1,12288,0
(null),1121798,238600,1,1,14336,0
(null),1121798,238600,1,1,16384,0
(null),1121798,238600,1,1,18432,0
(null),1121798,238600,1,1,20480,0
(null),1121798,238600,1,1,22528,0
(null),1121798,238600,1,1,24576,0
(null),1121798,238600,1,1,26624,0
(null),1121798,238600,1,1,28672,0
(null),1121798,238600,1,1,30720,0
(null),1121798,238600,1,1,32768,0
(null),1121798,238600,1,1,18446744073709551615,0
(null),1121798,238600,2,1,0,0
(null),1121798,238600,2,1,64,0
(null),1121798,238600,2,1,128,0
(null),1121798,238600,2,1,192,0
(null),1121798,238600,2,1,256,0
(null),1121798,238600,2,1,2048,0
(null),1121798,238600,2,1,4096,0
(null),1121798,238600,2,1,6144,0
(null),1121798,238600,2,1,8192,0
(null),1121798,238600,2,1,10240,0
(null),1121798,238600,2,1,12288,0
(null),1121798,238600,2,1,14336,0
(null),1121798,238600,2,1,16384,0
(null),1121798,238600,2,1,18432,0
(null),1121798,238600,2,1,20480,0
(null),1121798,238600,2,1,22528,0
(null),1121798,238600,2,1,24576,0
(null),1121798,238600,2,1,26624,0
(null),1121798,238600,2,1,28672,0
(null),1121798,238600,2,1,30720,0
(null),1121798,238600,2,1,32768,0
(null),1121798,238600,2,1,18446744073709551615,0
(null),1121798,238600,3,1,0,0
(null),1121798,238600,3,1,64,0
(null),1121798,238600,3,1,128,0
(null),1121798,238600,3,1,192,0
(null),1121798,238600,3,1,256,0
(null),1121798,238600,3,1,2048,0
(null),1121798,238600,3,1,4096,0
(null),1121798,238600,3,1,6144,0
(null),1121798,238600,3,1,8192,0
(null),1121798,238600,3,1,10240,0
(null),1121798,238600,3,1,12288,0
(null),1121798,238600,3,1,14336,0
(null),1121798,238600,3,1,16384,0
(null),1121798,238600,3,1,18432,0
(null),1121798,238600,3,1,20480,0
(null),1121798,238600,3,1,22528,0
(null),1121798,238600,3,1,24576,0
(null),1121798,238600,3,1,26624,0
(null),1121798,238600,3,1,28672,0
(null),1121798,238600,3,1,30720,0
(null),1121798,238600,3,1,32768,0
(null),1121798,238600,3,1,18446744073709551615,0
