matrix,nnz,nrows,cache_id,shared,mindist,count
(null),2312497,281903,0,0,0,5297092
(null),2312497,281903,0,0,64,155734
(null),2312497,281903,0,0,128,105830
(null),2312497,281903,0,0,192,78422
(null),2312497,281903,0,0,256,661951
(null),2312497,281903,0,0,2048,364692
(null),2312497,281903,0,0,4096,271647
(null),2312497,281903,0,0,6144,208054
(null),2312497,281903,0,0,8192,139536
(null),2312497,281903,0,0,10240,65573
(null),2312497,281903,0,0,12288,19963
(null),2312497,281903,0,0,14336,4975
(null),2312497,281903,0,0,16384,1268
(null),2312497,281903,0,0,18432,370
(null),2312497,281903,0,0,20480,113
(null),2312497,281903,0,0,22528,45
(null),2312497,281903,0,0,24576,6
(null),2312497,281903,0,0,26624,4
(null),2312497,281903,0,0,28672,3
(null),2312497,281903,0,0,30720,1
(null),2312497,281903,0,0,32768,126019
(null),2312497,281903,0,0,18446744073709551615,0
(null),2312497,281903,0,1,0,5297092
(null),2312497,281903,0,1,64,155734
(null),2312497,281903,0,1,128,105830
(null),2312497,281903,0,1,192,78422
(null),2312497,281903,0,1,256,661951
(null),2312497,281903,0,1,2048,364692
(null),2312497,281903,0,1,4096,271647
(null),2312497,281903,0,1,6144,208054
(null),2312497,281903,0,1,8192,139536
(null),2312497,281903,0,1,10240,65573
(null),2312497,281903,0,1,12288,19963
(null),2312497,281903,0,1,14336,4975
(null),2312497,281903,0,1,16384,1268
(null),2312497,281903,0,1,18432,370
(null),2312497,281903,0,1,20480,113
(null),2312497,281903,0,1,22528,45
(null),2312497,281903,0,1,24576,6
(null),2312497,281903,0,1,26624,4
(null),2312497,281903,0,1,28672,3
(null),2312497,281903,0,1,30720,1
(null),2312497,281903,0,1,32768,126019
(null),2312497,281903,0,1,18446744073709551615,0
(null),2312497,281903,1,1,0,0
(null),2312497,281903,1,1,64,0
(null),2312497,281903,1,1,128,0
(null),2312497,281903,1,1,192,0
(null),2312497,281903,1,1,256,0
(null),2312497,281903,1,1,2048,0
(null),2312497,281903,1,1,4096,0
(null),2312497,281903,1,1,6144,0
(null),2312497,281903,1,1,8192,0
(null),2312497,281903,1,1,10240,0
(null),2312497,281903,1,1,12288,0
(null),2312497,281903,1,1,14336,0
(null),2312497,281903,1,1,16384,0
(null),2312497,281903,1,1,18432,0
(null),2312497,281903,1,1,20480,0
(null),2312497,281903,1,1,22528,0
(null),2312497,281903,1,1,24576,0
(null),2312497,281903,1,1,26624,0
(null),2312497,281903,1,1,28672,0
(null),2312497,281903,1,1,30720,0
(null),2312497,281903,1,1,32768,0
(null),2312497,281903,1,1,18446744073709551615,0
(null),2312497,281903,2,1,0,0
(null),2312497,281903,2,1,64,0
(null),2312497,281903,2,1,128,0
(null),2312497,281903,2,1,192,0
(null),2312497,281903,2,1,256,0
(null),2312497,281903,2,1,2048,0
(null),2312497,281903,2,1,4096,0
(null),2312497,281903,2,1,6144,0
(null),2312497,281903,2,1,8192,0
(null),2312497,281903,2,1,10240,0
(null),2312497,281903,2,1,12288,0
(null),2312497,281903,2,1,14336,0
(null),2312497,281903,2,1,16384,0
(null),2312497,281903,2,1,18432,0
(null),2312497,281903,2,1,20480,0
(null),2312497,281903,2,1,22528,0
(null),2312497,281903,2,1,24576,0
(null),2312497,281903,2,1,26624,0
(null),2312497,281903,2,1,28672,0
(null),2312497,281903,2,1,30720,0
(null),2312497,281903,2,1,32768,0
(null),2312497,281903,2,1,18446744073709551615,0
(null),2312497,281903,3,1,0,0
(null),2312497,281903,3,1,64,0
(null),2312497,281903,3,1,128,0
(null),2312497,281903,3,1,192,0
(null),2312497,281903,3,1,256,0
(null),2312497,281903,3,1,2048,0
(null),2312497,281903,3,1,4096,0
(null),2312497,281903,3,1,6144,0
(null),2312497,281903,3,1,8192,0
(null),2312497,281903,3,1,10240,0
(null),2312497,281903,3,1,12288,0
(null),2312497,281903,3,1,14336,0
(null),2312497,281903,3,1,16384,0
(null),2312497,281903,3,1,18432,0
(null),2312497,281903,3,1,20480,0
(null),2312497,281903,3,1,22528,0
(null),2312497,281903,3,1,24576,0
(null),2312497,281903,3,1,26624,0
(null),2312497,281903,3,1,28672,0
(null),2312497,281903,3,1,30720,0
(null),2312497,281903,3,1,32768,0
(null),2312497,281903,3,1,18446744073709551615,0
