matrix,nnz,nrows,cache_id,shared,mindist,count
(null),21003872,3501776,0,0,0,17371031
(null),21003872,3501776,0,0,64,16520
(null),21003872,3501776,0,0,128,10680
(null),21003872,3501776,0,0,192,8720
(null),21003872,3501776,0,0,256,193717
(null),21003872,3501776,0,0,2048,200180
(null),21003872,3501776,0,0,4096,199536
(null),21003872,3501776,0,0,6144,199988
(null),21003872,3501776,0,0,8192,199084
(null),21003872,3501776,0,0,10240,198341
(null),21003872,3501776,0,0,12288,198571
(null),21003872,3501776,0,0,14336,197257
(null),21003872,3501776,0,0,16384,197883
(null),21003872,3501776,0,0,18432,197674
(null),21003872,3501776,0,0,20480,197127
(null),21003872,3501776,0,0,22528,197314
(null),21003872,3501776,0,0,24576,197042
(null),21003872,3501776,0,0,26624,196928
(null),21003872,3501776,0,0,28672,196637
(null),21003872,3501776,0,0,30720,195250
(null),21003872,3501776,0,0,32768,7437945
(null),21003872,3501776,0,0,18446744073709551615,0
(null),21003872,3501776,0,1,0,17371031
(null),21003872,3501776,0,1,64,16520
(null),21003872,3501776,0,1,128,10680
(null),21003872,3501776,0,1,192,8720
(null),21003872,3501776,0,1,256,193717
(null),21003872,3501776,0,1,2048,200180
(null),21003872,3501776,0,1,4096,199536
(null),21003872,3501776,0,1,6144,199988
(null),21003872,3501776,0,1,8192,199084
(null),21003872,3501776,0,1,10240,198341
(null),21003872,3501776,0,1,12288,198571
(null),21003872,3501776,0,1,14336,197257
(null),21003872,3501776,0,1,16384,197883
(null),21003872,3501776,0,1,18432,197674
(null),21003872,3501776,0,1,20480,197127
(null),21003872,3501776,0,1,22528,197314
(null),21003872,3501776,0,1,24576,197042
(null),21003872,3501776,0,1,26624,196928
(null),21003872,3501776,0,1,28672,196637
(null),21003872,3501776,0,1,30720,195250
(null),21003872,3501776,0,1,32768,7437945
(null),21003872,3501776,0,1,18446744073709551615,0
(null),21003872,3501776,1,1,0,0
(null),21003872,3501776,1,1,64,0
(null),21003872,3501776,1,1,128,0
(null),21003872,3501776,1,1,192,0
(null),21003872,3501776,1,1,256,0
(null),21003872,3501776,1,1,2048,0
(null),21003872,3501776,1,1,4096,0
(null),21003872,3501776,1,1,6144,0
(null),21003872,3501776,1,1,8192,0
(null),21003872,3501776,1,1,10240,0
(null),21003872,3501776,1,1,12288,0
(null),21003872,3501776,1,1,14336,0
(null),21003872,3501776,1,1,16384,0
(null),21003872,3501776,1,1,18432,0
(null),21003872,3501776,1,1,20480,0
(null),21003872,3501776,1,1,22528,0
(null),21003872,3501776,1,1,24576,0
(null),21003872,3501776,1,1,26624,0
(null),21003872,3501776,1,1,28672,0
(null),21003872,3501776,1,1,30720,0
(null),21003872,3501776,1,1,32768,0
(null),21003872,3501776,1,1,18446744073709551615,0
(null),21003872,3501776,2,1,0,0
(null),21003872,3501776,2,1,64,0
(null),21003872,3501776,2,1,128,0
(null),21003872,3501776,2,1,192,0
(null),21003872,3501776,2,1,256,0
(null),21003872,3501776,2,1,2048,0
(null),21003872,3501776,2,1,4096,0
(null),21003872,3501776,2,1,6144,0
(null),21003872,3501776,2,1,8192,0
(null),21003872,3501776,2,1,10240,0
(null),21003872,3501776,2,1,12288,0
(null),21003872,3501776,2,1,14336,0
(null),21003872,3501776,2,1,16384,0
(null),21003872,3501776,2,1,18432,0
(null),21003872,3501776,2,1,20480,0
(null),21003872,3501776,2,1,22528,0
(null),21003872,3501776,2,1,24576,0
(null),21003872,3501776,2,1,26624,0
(null),21003872,3501776,2,1,28672,0
(null),21003872,3501776,2,1,30720,0
(null),21003872,3501776,2,1,32768,0
(null),21003872,3501776,2,1,18446744073709551615,0
(null),21003872,3501776,3,1,0,0
(null),21003872,3501776,3,1,64,0
(null),21003872,3501776,3,1,128,0
(null),21003872,3501776,3,1,192,0
(null),21003872,3501776,3,1,256,0
(null),21003872,3501776,3,1,2048,0
(null),21003872,3501776,3,1,4096,0
(null),21003872,3501776,3,1,6144,0
(null),21003872,3501776,3,1,8192,0
(null),21003872,3501776,3,1,10240,0
(null),21003872,3501776,3,1,12288,0
(null),21003872,3501776,3,1,14336,0
(null),21003872,3501776,3,1,16384,0
(null),21003872,3501776,3,1,18432,0
(null),21003872,3501776,3,1,20480,0
(null),21003872,3501776,3,1,22528,0
(null),21003872,3501776,3,1,24576,0
(null),21003872,3501776,3,1,26624,0
(null),21003872,3501776,3,1,28672,0
(null),21003872,3501776,3,1,30720,0
(null),21003872,3501776,3,1,32768,0
(null),21003872,3501776,3,1,18446744073709551615,0
