matrix,nnz,nrows,cache_id,shared,mindist,count
(null),2741935,392257,0,0,0,3420009
(null),2741935,392257,0,0,64,8330
(null),2741935,392257,0,0,128,2805
(null),2741935,392257,0,0,192,711
(null),2741935,392257,0,0,256,5757
(null),2741935,392257,0,0,2048,7017
(null),2741935,392257,0,0,4096,6803
(null),2741935,392257,0,0,6144,6601
(null),2741935,392257,0,0,8192,9341
(null),2741935,392257,0,0,10240,7508
(null),2741935,392257,0,0,12288,4756
(null),2741935,392257,0,0,14336,4045
(null),2741935,392257,0,0,16384,2881
(null),2741935,392257,0,0,18432,2900
(null),2741935,392257,0,0,20480,2848
(null),2741935,392257,0,0,22528,2637
(null),2741935,392257,0,0,24576,2486
(null),2741935,392257,0,0,26624,2230
(null),2741935,392257,0,0,28672,1964
(null),2741935,392257,0,0,30720,198
(null),2741935,392257,0,0,32768,24623
(null),2741935,392257,0,0,18446744073709551615,0
(null),2741935,392257,0,1,0,3420009
(null),2741935,392257,0,1,64,8330
(null),2741935,392257,0,1,128,2805
(null),2741935,392257,0,1,192,711
(null),2741935,392257,0,1,256,5757
(null),2741935,392257,0,1,2048,7017
(null),2741935,392257,0,1,4096,6803
(null),2741935,392257,0,1,6144,6601
(null),2741935,392257,0,1,8192,9341
(null),2741935,392257,0,1,10240,7508
(null),2741935,392257,0,1,12288,4756
(null),2741935,392257,0,1,14336,4045
(null),2741935,392257,0,1,16384,2881
(null),2741935,392257,0,1,18432,2900
(null),2741935,392257,0,1,20480,2848
(null),2741935,392257,0,1,22528,2637
(null),2741935,392257,0,1,24576,2486
(null),2741935,392257,0,1,26624,2230
(null),2741935,392257,0,1,28672,1964
(null),2741935,392257,0,1,30720,198
(null),2741935,392257,0,1,32768,24623
(null),2741935,392257,0,1,18446744073709551615,0
(null),2741935,392257,1,1,0,0
(null),2741935,392257,1,1,64,0
(null),2741935,392257,1,1,128,0
(null),2741935,392257,1,1,192,0
(null),2741935,392257,1,1,256,0
(null),2741935,392257,1,1,2048,0
(null),2741935,392257,1,1,4096,0
(null),2741935,392257,1,1,6144,0
(null),2741935,392257,1,1,8192,0
(null),2741935,392257,1,1,10240,0
(null),2741935,392257,1,1,12288,0
(null),2741935,392257,1,1,14336,0
(null),2741935,392257,1,1,16384,0
(null),2741935,392257,1,1,18432,0
(null),2741935,392257,1,1,20480,0
(null),2741935,392257,1,1,22528,0
(null),2741935,392257,1,1,24576,0
(null),2741935,392257,1,1,26624,0
(null),2741935,392257,1,1,28672,0
(null),2741935,392257,1,1,30720,0
(null),2741935,392257,1,1,32768,0
(null),2741935,392257,1,1,18446744073709551615,0
(null),2741935,392257,2,1,0,0
(null),2741935,392257,2,1,64,0
(null),2741935,392257,2,1,128,0
(null),2741935,392257,2,1,192,0
(null),2741935,392257,2,1,256,0
(null),2741935,392257,2,1,2048,0
(null),2741935,392257,2,1,4096,0
(null),2741935,392257,2,1,6144,0
(null),2741935,392257,2,1,8192,0
(null),2741935,392257,2,1,10240,0
(null),2741935,392257,2,1,12288,0
(null),2741935,392257,2,1,14336,0
(null),2741935,392257,2,1,16384,0
(null),2741935,392257,2,1,18432,0
(null),2741935,392257,2,1,20480,0
(null),2741935,392257,2,1,22528,0
(null),2741935,392257,2,1,24576,0
(null),2741935,392257,2,1,26624,0
(null),2741935,392257,2,1,28672,0
(null),2741935,392257,2,1,30720,0
(null),2741935,392257,2,1,32768,0
(null),2741935,392257,2,1,18446744073709551615,0
(null),2741935,392257,3,1,0,0
(null),2741935,392257,3,1,64,0
(null),2741935,392257,3,1,128,0
(null),2741935,392257,3,1,192,0
(null),2741935,392257,3,1,256,0
(null),2741935,392257,3,1,2048,0
(null),2741935,392257,3,1,4096,0
(null),2741935,392257,3,1,6144,0
(null),2741935,392257,3,1,8192,0
(null),2741935,392257,3,1,10240,0
(null),2741935,392257,3,1,12288,0
(null),2741935,392257,3,1,14336,0
(null),2741935,392257,3,1,16384,0
(null),2741935,392257,3,1,18432,0
(null),2741935,392257,3,1,20480,0
(null),2741935,392257,3,1,22528,0
(null),2741935,392257,3,1,24576,0
(null),2741935,392257,3,1,26624,0
(null),2741935,392257,3,1,28672,0
(null),2741935,392257,3,1,30720,0
(null),2741935,392257,3,1,32768,0
(null),2741935,392257,3,1,18446744073709551615,0
