matrix,nnz,nrows,cache_id,shared,mindist,count
(null),117217600,55042369,0,0,0,193895805
(null),117217600,55042369,0,0,64,2062366
(null),117217600,55042369,0,0,128,285737
(null),117217600,55042369,0,0,192,103475
(null),117217600,55042369,0,0,256,294698
(null),117217600,55042369,0,0,2048,44079
(null),117217600,55042369,0,0,4096,23072
(null),117217600,55042369,0,0,6144,17566
(null),117217600,55042369,0,0,8192,13640
(null),117217600,55042369,0,0,10240,12019
(null),117217600,55042369,0,0,12288,12848
(null),117217600,55042369,0,0,14336,12825
(null),117217600,55042369,0,0,16384,11651
(null),117217600,55042369,0,0,18432,15343
(null),117217600,55042369,0,0,20480,11363
(null),117217600,55042369,0,0,22528,10560
(null),117217600,55042369,0,0,24576,11643
(null),117217600,55042369,0,0,26624,9921
(null),117217600,55042369,0,0,28672,10082
(null),117217600,55042369,0,0,30720,10100
(null),117217600,55042369,0,0,32768,30433546
(null),117217600,55042369,0,0,18446744073709551615,0
(null),117217600,55042369,0,1,0,193895805
(null),117217600,55042369,0,1,64,2062366
(null),117217600,55042369,0,1,128,285737
(null),117217600,55042369,0,1,192,103475
(null),117217600,55042369,0,1,256,294698
(null),117217600,55042369,0,1,2048,44079
(null),117217600,55042369,0,1,4096,23072
(null),117217600,55042369,0,1,6144,17566
(null),117217600,55042369,0,1,8192,13640
(null),117217600,55042369,0,1,10240,12019
(null),117217600,55042369,0,1,12288,12848
(null),117217600,55042369,0,1,14336,12825
(null),117217600,55042369,0,1,16384,11651
(null),117217600,55042369,0,1,18432,15343
(null),117217600,55042369,0,1,20480,11363
(null),117217600,55042369,0,1,22528,10560
(null),117217600,55042369,0,1,24576,11643
(null),117217600,55042369,0,1,26624,9921
(null),117217600,55042369,0,1,28672,10082
(null),117217600,55042369,0,1,30720,10100
(null),117217600,55042369,0,1,32768,30433546
(null),117217600,55042369,0,1,18446744073709551615,0
(null),117217600,55042369,1,1,0,0
(null),117217600,55042369,1,1,64,0
(null),117217600,55042369,1,1,128,0
(null),117217600,55042369,1,1,192,0
(null),117217600,55042369,1,1,256,0
(null),117217600,55042369,1,1,2048,0
(null),117217600,55042369,1,1,4096,0
(null),117217600,55042369,1,1,6144,0
(null),117217600,55042369,1,1,8192,0
(null),117217600,55042369,1,1,10240,0
(null),117217600,55042369,1,1,12288,0
(null),117217600,55042369,1,1,14336,0
(null),117217600,55042369,1,1,16384,0
(null),117217600,55042369,1,1,18432,0
(null),117217600,55042369,1,1,20480,0
(null),117217600,55042369,1,1,22528,0
(null),117217600,55042369,1,1,24576,0
(null),117217600,55042369,1,1,26624,0
(null),117217600,55042369,1,1,28672,0
(null),117217600,55042369,1,1,30720,0
(null),117217600,55042369,1,1,32768,0
(null),117217600,55042369,1,1,18446744073709551615,0
(null),117217600,55042369,2,1,0,0
(null),117217600,55042369,2,1,64,0
(null),117217600,55042369,2,1,128,0
(null),117217600,55042369,2,1,192,0
(null),117217600,55042369,2,1,256,0
(null),117217600,55042369,2,1,2048,0
(null),117217600,55042369,2,1,4096,0
(null),117217600,55042369,2,1,6144,0
(null),117217600,55042369,2,1,8192,0
(null),117217600,55042369,2,1,10240,0
(null),117217600,55042369,2,1,12288,0
(null),117217600,55042369,2,1,14336,0
(null),117217600,55042369,2,1,16384,0
(null),117217600,55042369,2,1,18432,0
(null),117217600,55042369,2,1,20480,0
(null),117217600,55042369,2,1,22528,0
(null),117217600,55042369,2,1,24576,0
(null),117217600,55042369,2,1,26624,0
(null),117217600,55042369,2,1,28672,0
(null),117217600,55042369,2,1,30720,0
(null),117217600,55042369,2,1,32768,0
(null),117217600,55042369,2,1,18446744073709551615,0
(null),117217600,55042369,3,1,0,0
(null),117217600,55042369,3,1,64,0
(null),117217600,55042369,3,1,128,0
(null),117217600,55042369,3,1,192,0
(null),117217600,55042369,3,1,256,0
(null),117217600,55042369,3,1,2048,0
(null),117217600,55042369,3,1,4096,0
(null),117217600,55042369,3,1,6144,0
(null),117217600,55042369,3,1,8192,0
(null),117217600,55042369,3,1,10240,0
(null),117217600,55042369,3,1,12288,0
(null),117217600,55042369,3,1,14336,0
(null),117217600,55042369,3,1,16384,0
(null),117217600,55042369,3,1,18432,0
(null),117217600,55042369,3,1,20480,0
(null),117217600,55042369,3,1,22528,0
(null),117217600,55042369,3,1,24576,0
(null),117217600,55042369,3,1,26624,0
(null),117217600,55042369,3,1,28672,0
(null),117217600,55042369,3,1,30720,0
(null),117217600,55042369,3,1,32768,0
(null),117217600,55042369,3,1,18446744073709551615,0
