
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 1.364094 seconds (29.0 MB/s)
csr_from_coo: 0.050072 seconds, 325557 rows, 325557 columns, 3216152 nonzeros, 0 to 2716 nonzeros per row, 1 threads, 325557 to 325557 rows per thread, 3216152 to 3216152 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (10 L2 ways)
gemv (warmup): 0.009225 seconds (0.349 Gnz/s, 0.697 Gflop/s, 5.0 to 7.5 GB/s)
gemv (warmup): 0.009143 seconds (0.352 Gnz/s, 0.704 Gflop/s, 5.1 to 7.6 GB/s)
gemv (warmup): 0.009151 seconds (0.351 Gnz/s, 0.703 Gflop/s, 5.1 to 7.6 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.009171 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009181 seconds (0.350 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009162 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009164 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009156 seconds (0.351 Gnz/s, 0.703 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009155 seconds (0.351 Gnz/s, 0.703 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009164 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009173 seconds (0.351 Gnz/s, 0.701 Gflop/s, 5.1 to 7.6 GB/s)
gemv: 0.009165 seconds (0.351 Gnz/s, 0.702 Gflop/s, 5.1 to 7.6 GB/s)
