
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.452531 seconds (25.2 MB/s)
csr_from_coo: 0.068241 seconds, 334863 rows, 334863 columns, 1851744 nonzeros, 1 to 549 nonzeros per row, 1 threads, 334863 to 334863 rows per thread, 1851744 to 1851744 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (11 L2 ways)
gemv (warmup): 0.021549 seconds (0.043 Gnz/s, 0.172 Gflop/s, 1.4 to 2.0 GB/s)
gemv (warmup): 0.022587 seconds (0.041 Gnz/s, 0.164 Gflop/s, 1.3 to 1.9 GB/s)
gemv (warmup): 0.022599 seconds (0.041 Gnz/s, 0.164 Gflop/s, 1.3 to 1.9 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.022437 seconds (0.041 Gnz/s, 0.165 Gflop/s, 1.3 to 1.9 GB/s)
gemv: 0.023106 seconds (0.040 Gnz/s, 0.160 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.023490 seconds (0.039 Gnz/s, 0.158 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.023433 seconds (0.040 Gnz/s, 0.158 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.023794 seconds (0.039 Gnz/s, 0.156 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.023691 seconds (0.039 Gnz/s, 0.156 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.023539 seconds (0.039 Gnz/s, 0.157 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.023917 seconds (0.039 Gnz/s, 0.155 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.023783 seconds (0.039 Gnz/s, 0.156 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.024198 seconds (0.038 Gnz/s, 0.153 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.024025 seconds (0.039 Gnz/s, 0.154 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.023836 seconds (0.039 Gnz/s, 0.155 Gflop/s, 1.3 to 1.8 GB/s)
gemv: 0.024344 seconds (0.038 Gnz/s, 0.152 Gflop/s, 1.2 to 1.7 GB/s)
