
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 5.749878 seconds (31.7 MB/s)
csr_from_coo: 0.503411 seconds, 4194304 rows, 4194304 columns, 25165738 nonzeros, 3 to 23 nonzeros per row, 1 threads, 4194304 to 4194304 rows per thread, 25165738 to 25165738 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (13 L2 ways)
gemv (warmup): 0.126257 seconds (0.100 Gnz/s, 0.399 Gflop/s, 3.2 to 4.5 GB/s)
gemv (warmup): 0.127996 seconds (0.098 Gnz/s, 0.393 Gflop/s, 3.1 to 4.5 GB/s)
gemv (warmup): 0.129686 seconds (0.097 Gnz/s, 0.388 Gflop/s, 3.1 to 4.4 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.132855 seconds (0.095 Gnz/s, 0.379 Gflop/s, 3.0 to 4.3 GB/s)
gemv: 0.133102 seconds (0.095 Gnz/s, 0.378 Gflop/s, 3.0 to 4.3 GB/s)
gemv: 0.133320 seconds (0.094 Gnz/s, 0.378 Gflop/s, 3.0 to 4.3 GB/s)
gemv: 0.133785 seconds (0.094 Gnz/s, 0.376 Gflop/s, 3.0 to 4.3 GB/s)
gemv: 0.133886 seconds (0.094 Gnz/s, 0.376 Gflop/s, 3.0 to 4.3 GB/s)
gemv: 0.133921 seconds (0.094 Gnz/s, 0.376 Gflop/s, 3.0 to 4.3 GB/s)
gemv: 0.134230 seconds (0.094 Gnz/s, 0.375 Gflop/s, 3.0 to 4.2 GB/s)
gemv: 0.134370 seconds (0.094 Gnz/s, 0.375 Gflop/s, 3.0 to 4.2 GB/s)
gemv: 0.134547 seconds (0.094 Gnz/s, 0.374 Gflop/s, 3.0 to 4.2 GB/s)
gemv: 0.135335 seconds (0.093 Gnz/s, 0.372 Gflop/s, 3.0 to 4.2 GB/s)
gemv: 0.136884 seconds (0.092 Gnz/s, 0.368 Gflop/s, 2.9 to 4.2 GB/s)
