
OPENMP DISPLAY ENVIRONMENT BEGIN
   _OPENMP='201611'
  [host] OMP_CANCELLATION='FALSE'
  [host] OMP_DEFAULT_DEVICE='0'
  [host] OMP_DISPLAY_ENV='TRUE'
  [host] OMP_DYNAMIC='FALSE'
  [host] OMP_MAX_ACTIVE_LEVELS='2147483647'
  [host] OMP_MAX_TASK_PRIORITY='0'
  [host] OMP_NESTED='FALSE'
  [host] OMP_NUM_THREADS='1'
  [host] OMP_PLACES='cores'
  [host] OMP_PROC_BIND='close'
  [host] OMP_SCHEDULE='static'
  [host] OMP_STACKSIZE='8M'
   OMP_TARGET_OFFLOAD=DEFAULT
  [host] OMP_THREAD_LIMIT='2147483647'
  [host] OMP_TOOL_LIBRARIES: value is not defined
  [host] OMP_WAIT_POLICY='ACTIVE'
OPENMP DISPLAY ENVIRONMENT END


mtxfile_read: 0.245502 seconds (25.1 MB/s)
csr_from_coo: 0.021730 seconds, 139752 rows, 139752 columns, 1104040 nonzeros, 1 to 669 nonzeros per row, 1 threads, 139752 to 139752 rows per thread, 1104040 to 1104040 nonzeros per thread
[PAPI util] using event file: share/papi_util_a64fx_memdp.txt
enabling sector cache (14 L2 ways)
gemv (warmup): 0.005018 seconds (0.110 Gnz/s, 0.440 Gflop/s, 3.3 to 4.8 GB/s)
gemv (warmup): 0.004825 seconds (0.114 Gnz/s, 0.458 Gflop/s, 3.4 to 5.0 GB/s)
gemv (warmup): 0.004784 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
[PAPI util] start recording events for region "gemv"
gemv: 0.004800 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004812 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004781 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004800 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004784 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004805 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004796 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004808 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004778 seconds (0.116 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004811 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004787 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004804 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004798 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004816 seconds (0.115 Gnz/s, 0.458 Gflop/s, 3.4 to 5.0 GB/s)
gemv: 0.004795 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004800 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004790 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004808 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004794 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004804 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004787 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004811 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004789 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004800 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004785 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004810 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004789 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004797 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004797 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004797 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004787 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004784 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004798 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004777 seconds (0.116 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004810 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004784 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004796 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004791 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004811 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004785 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004792 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004786 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004794 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004790 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004789 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004785 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004812 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004784 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004793 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004779 seconds (0.116 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004804 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004787 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004794 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004787 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004804 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004781 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004802 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004792 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004804 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004787 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004795 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004786 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004798 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004772 seconds (0.116 Gnz/s, 0.463 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004808 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004789 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004812 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004788 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004796 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004787 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004820 seconds (0.115 Gnz/s, 0.458 Gflop/s, 3.4 to 5.0 GB/s)
gemv: 0.004784 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004805 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004803 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004802 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004797 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004790 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004789 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004797 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004782 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004800 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004790 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004799 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004784 seconds (0.115 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004793 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004778 seconds (0.116 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004808 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004776 seconds (0.116 Gnz/s, 0.462 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004803 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004797 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004803 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004774 seconds (0.116 Gnz/s, 0.463 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004807 seconds (0.115 Gnz/s, 0.459 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004791 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004788 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004794 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004787 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004797 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004787 seconds (0.115 Gnz/s, 0.461 Gflop/s, 3.5 to 5.1 GB/s)
gemv: 0.004798 seconds (0.115 Gnz/s, 0.460 Gflop/s, 3.5 to 5.1 GB/s)
region,threads,EFFECTIVE_INST_SPEC,CPU_CYCLES,FP_DP_FIXED_OPS_SPEC,FP_DP_SCALE_OPS_SPEC,L2D_CACHE_REFILL,L2D_CACHE_WB,L2D_SWAP_DM,L2D_CACHE_MIBMCH_PRF,L1D_CACHE_REFILL,CPI ,Frequency ,L1D cache miss rate ,L2D cache miss rate ,L2-Memory Bandwidth ,DP (FP) ,DP (FP+SVE512) ,Computational Intensity (FP+SVE512) ,time
gemv,0,590229876,1083794237,13978506,164515800,6489387,459329,128985,56182,24096552,1.836224,2201.629903,0.040826,0.010681,3.517322,28.396070,1365.191902,0.388134,0.492269
total,-1,590229876,1083794237,13978506,164515800,6489387,459329,128985,56182,24096552,1.836224,2201.629903,0.040826,0.010681,3.517322,28.396070,1365.191902,0.388134,0.492269
