matrix,nnz,nrows,cache_id,shared,mindist,count
(null),2635364,321821,0,0,0,2419693
(null),2635364,321821,0,0,51,16217
(null),2635364,321821,0,0,93,2178
(null),2635364,321821,0,0,102,9586
(null),2635364,321821,0,0,154,6895
(null),2635364,321821,0,0,205,66970
(null),2635364,321821,0,0,1645,38768
(null),2635364,321821,0,0,3291,24240
(null),2635364,321821,0,0,4937,20072
(null),2635364,321821,0,0,6583,15018
(null),2635364,321821,0,0,8229,13585
(null),2635364,321821,0,0,9875,2142
(null),2635364,321821,0,0,11521,0
(null),2635364,321821,0,0,11940,0
(null),2635364,321821,0,0,13167,0
(null),2635364,321821,0,0,14813,0
(null),2635364,321821,0,0,16459,0
(null),2635364,321821,0,0,18105,0
(null),2635364,321821,0,0,19751,0
(null),2635364,321821,0,0,21397,0
(null),2635364,321821,0,0,23043,0
(null),2635364,321821,0,0,24689,0
(null),2635364,321821,0,0,26335,0
(null),2635364,321821,0,0,18446744073709551615,0
(null),2635364,321821,0,1,0,2419693
(null),2635364,321821,0,1,51,16217
(null),2635364,321821,0,1,93,2178
(null),2635364,321821,0,1,102,9586
(null),2635364,321821,0,1,154,6895
(null),2635364,321821,0,1,205,66970
(null),2635364,321821,0,1,1645,38768
(null),2635364,321821,0,1,3291,24240
(null),2635364,321821,0,1,4937,20072
(null),2635364,321821,0,1,6583,15018
(null),2635364,321821,0,1,8229,13585
(null),2635364,321821,0,1,9875,2142
(null),2635364,321821,0,1,11521,0
(null),2635364,321821,0,1,11940,0
(null),2635364,321821,0,1,13167,0
(null),2635364,321821,0,1,14813,0
(null),2635364,321821,0,1,16459,0
(null),2635364,321821,0,1,18105,0
(null),2635364,321821,0,1,19751,0
(null),2635364,321821,0,1,21397,0
(null),2635364,321821,0,1,23043,0
(null),2635364,321821,0,1,24689,0
(null),2635364,321821,0,1,26335,0
(null),2635364,321821,0,1,18446744073709551615,0
(null),2635364,321821,1,1,0,0
(null),2635364,321821,1,1,51,0
(null),2635364,321821,1,1,93,0
(null),2635364,321821,1,1,102,0
(null),2635364,321821,1,1,154,0
(null),2635364,321821,1,1,205,0
(null),2635364,321821,1,1,1645,0
(null),2635364,321821,1,1,3291,0
(null),2635364,321821,1,1,4937,0
(null),2635364,321821,1,1,6583,0
(null),2635364,321821,1,1,8229,0
(null),2635364,321821,1,1,9875,0
(null),2635364,321821,1,1,11521,0
(null),2635364,321821,1,1,11940,0
(null),2635364,321821,1,1,13167,0
(null),2635364,321821,1,1,14813,0
(null),2635364,321821,1,1,16459,0
(null),2635364,321821,1,1,18105,0
(null),2635364,321821,1,1,19751,0
(null),2635364,321821,1,1,21397,0
(null),2635364,321821,1,1,23043,0
(null),2635364,321821,1,1,24689,0
(null),2635364,321821,1,1,26335,0
(null),2635364,321821,1,1,18446744073709551615,0
(null),2635364,321821,2,1,0,0
(null),2635364,321821,2,1,51,0
(null),2635364,321821,2,1,93,0
(null),2635364,321821,2,1,102,0
(null),2635364,321821,2,1,154,0
(null),2635364,321821,2,1,205,0
(null),2635364,321821,2,1,1645,0
(null),2635364,321821,2,1,3291,0
(null),2635364,321821,2,1,4937,0
(null),2635364,321821,2,1,6583,0
(null),2635364,321821,2,1,8229,0
(null),2635364,321821,2,1,9875,0
(null),2635364,321821,2,1,11521,0
(null),2635364,321821,2,1,11940,0
(null),2635364,321821,2,1,13167,0
(null),2635364,321821,2,1,14813,0
(null),2635364,321821,2,1,16459,0
(null),2635364,321821,2,1,18105,0
(null),2635364,321821,2,1,19751,0
(null),2635364,321821,2,1,21397,0
(null),2635364,321821,2,1,23043,0
(null),2635364,321821,2,1,24689,0
(null),2635364,321821,2,1,26335,0
(null),2635364,321821,2,1,18446744073709551615,0
(null),2635364,321821,3,1,0,0
(null),2635364,321821,3,1,51,0
(null),2635364,321821,3,1,93,0
(null),2635364,321821,3,1,102,0
(null),2635364,321821,3,1,154,0
(null),2635364,321821,3,1,205,0
(null),2635364,321821,3,1,1645,0
(null),2635364,321821,3,1,3291,0
(null),2635364,321821,3,1,4937,0
(null),2635364,321821,3,1,6583,0
(null),2635364,321821,3,1,8229,0
(null),2635364,321821,3,1,9875,0
(null),2635364,321821,3,1,11521,0
(null),2635364,321821,3,1,11940,0
(null),2635364,321821,3,1,13167,0
(null),2635364,321821,3,1,14813,0
(null),2635364,321821,3,1,16459,0
(null),2635364,321821,3,1,18105,0
(null),2635364,321821,3,1,19751,0
(null),2635364,321821,3,1,21397,0
(null),2635364,321821,3,1,23043,0
(null),2635364,321821,3,1,24689,0
(null),2635364,321821,3,1,26335,0
(null),2635364,321821,3,1,18446744073709551615,0
