matrix,nnz,nrows,cache_id,shared,mindist,count
(null),3226066,100037,0,0,0,3216762
(null),3226066,100037,0,0,60,6096
(null),3226066,100037,0,0,99,81
(null),3226066,100037,0,0,120,0
(null),3226066,100037,0,0,180,0
(null),3226066,100037,0,0,241,0
(null),3226066,100037,0,0,1928,3127
(null),3226066,100037,0,0,3856,0
(null),3226066,100037,0,0,5785,0
(null),3226066,100037,0,0,7713,0
(null),3226066,100037,0,0,9642,0
(null),3226066,100037,0,0,11570,0
(null),3226066,100037,0,0,12789,0
(null),3226066,100037,0,0,13498,0
(null),3226066,100037,0,0,15427,0
(null),3226066,100037,0,0,17355,0
(null),3226066,100037,0,0,19284,0
(null),3226066,100037,0,0,21212,0
(null),3226066,100037,0,0,23140,0
(null),3226066,100037,0,0,25069,0
(null),3226066,100037,0,0,26997,0
(null),3226066,100037,0,0,28926,0
(null),3226066,100037,0,0,30854,0
(null),3226066,100037,0,0,18446744073709551615,0
(null),3226066,100037,0,1,0,3216762
(null),3226066,100037,0,1,60,6096
(null),3226066,100037,0,1,99,81
(null),3226066,100037,0,1,120,0
(null),3226066,100037,0,1,180,0
(null),3226066,100037,0,1,241,0
(null),3226066,100037,0,1,1928,3127
(null),3226066,100037,0,1,3856,0
(null),3226066,100037,0,1,5785,0
(null),3226066,100037,0,1,7713,0
(null),3226066,100037,0,1,9642,0
(null),3226066,100037,0,1,11570,0
(null),3226066,100037,0,1,12789,0
(null),3226066,100037,0,1,13498,0
(null),3226066,100037,0,1,15427,0
(null),3226066,100037,0,1,17355,0
(null),3226066,100037,0,1,19284,0
(null),3226066,100037,0,1,21212,0
(null),3226066,100037,0,1,23140,0
(null),3226066,100037,0,1,25069,0
(null),3226066,100037,0,1,26997,0
(null),3226066,100037,0,1,28926,0
(null),3226066,100037,0,1,30854,0
(null),3226066,100037,0,1,18446744073709551615,0
(null),3226066,100037,1,1,0,0
(null),3226066,100037,1,1,60,0
(null),3226066,100037,1,1,99,0
(null),3226066,100037,1,1,120,0
(null),3226066,100037,1,1,180,0
(null),3226066,100037,1,1,241,0
(null),3226066,100037,1,1,1928,0
(null),3226066,100037,1,1,3856,0
(null),3226066,100037,1,1,5785,0
(null),3226066,100037,1,1,7713,0
(null),3226066,100037,1,1,9642,0
(null),3226066,100037,1,1,11570,0
(null),3226066,100037,1,1,12789,0
(null),3226066,100037,1,1,13498,0
(null),3226066,100037,1,1,15427,0
(null),3226066,100037,1,1,17355,0
(null),3226066,100037,1,1,19284,0
(null),3226066,100037,1,1,21212,0
(null),3226066,100037,1,1,23140,0
(null),3226066,100037,1,1,25069,0
(null),3226066,100037,1,1,26997,0
(null),3226066,100037,1,1,28926,0
(null),3226066,100037,1,1,30854,0
(null),3226066,100037,1,1,18446744073709551615,0
(null),3226066,100037,2,1,0,0
(null),3226066,100037,2,1,60,0
(null),3226066,100037,2,1,99,0
(null),3226066,100037,2,1,120,0
(null),3226066,100037,2,1,180,0
(null),3226066,100037,2,1,241,0
(null),3226066,100037,2,1,1928,0
(null),3226066,100037,2,1,3856,0
(null),3226066,100037,2,1,5785,0
(null),3226066,100037,2,1,7713,0
(null),3226066,100037,2,1,9642,0
(null),3226066,100037,2,1,11570,0
(null),3226066,100037,2,1,12789,0
(null),3226066,100037,2,1,13498,0
(null),3226066,100037,2,1,15427,0
(null),3226066,100037,2,1,17355,0
(null),3226066,100037,2,1,19284,0
(null),3226066,100037,2,1,21212,0
(null),3226066,100037,2,1,23140,0
(null),3226066,100037,2,1,25069,0
(null),3226066,100037,2,1,26997,0
(null),3226066,100037,2,1,28926,0
(null),3226066,100037,2,1,30854,0
(null),3226066,100037,2,1,18446744073709551615,0
(null),3226066,100037,3,1,0,0
(null),3226066,100037,3,1,60,0
(null),3226066,100037,3,1,99,0
(null),3226066,100037,3,1,120,0
(null),3226066,100037,3,1,180,0
(null),3226066,100037,3,1,241,0
(null),3226066,100037,3,1,1928,0
(null),3226066,100037,3,1,3856,0
(null),3226066,100037,3,1,5785,0
(null),3226066,100037,3,1,7713,0
(null),3226066,100037,3,1,9642,0
(null),3226066,100037,3,1,11570,0
(null),3226066,100037,3,1,12789,0
(null),3226066,100037,3,1,13498,0
(null),3226066,100037,3,1,15427,0
(null),3226066,100037,3,1,17355,0
(null),3226066,100037,3,1,19284,0
(null),3226066,100037,3,1,21212,0
(null),3226066,100037,3,1,23140,0
(null),3226066,100037,3,1,25069,0
(null),3226066,100037,3,1,26997,0
(null),3226066,100037,3,1,28926,0
(null),3226066,100037,3,1,30854,0
(null),3226066,100037,3,1,18446744073709551615,0
