matrix,nnz,nrows,cache_id,shared,mindist,count
(null),2006126,303813,0,0,0,1873550
(null),2006126,303813,0,0,49,27774
(null),2006126,303813,0,0,91,1633
(null),2006126,303813,0,0,98,8378
(null),2006126,303813,0,0,147,4555
(null),2006126,303813,0,0,196,17539
(null),2006126,303813,0,0,1571,9871
(null),2006126,303813,0,0,3143,23730
(null),2006126,303813,0,0,4715,24665
(null),2006126,303813,0,0,6287,6419
(null),2006126,303813,0,0,7859,5477
(null),2006126,303813,0,0,9431,2535
(null),2006126,303813,0,0,11003,0
(null),2006126,303813,0,0,11690,0
(null),2006126,303813,0,0,12575,0
(null),2006126,303813,0,0,14147,0
(null),2006126,303813,0,0,15718,0
(null),2006126,303813,0,0,17290,0
(null),2006126,303813,0,0,18862,0
(null),2006126,303813,0,0,20434,0
(null),2006126,303813,0,0,22006,0
(null),2006126,303813,0,0,23578,0
(null),2006126,303813,0,0,25150,0
(null),2006126,303813,0,0,18446744073709551615,0
(null),2006126,303813,0,1,0,1873550
(null),2006126,303813,0,1,49,27774
(null),2006126,303813,0,1,91,1633
(null),2006126,303813,0,1,98,8378
(null),2006126,303813,0,1,147,4555
(null),2006126,303813,0,1,196,17539
(null),2006126,303813,0,1,1571,9871
(null),2006126,303813,0,1,3143,23730
(null),2006126,303813,0,1,4715,24665
(null),2006126,303813,0,1,6287,6419
(null),2006126,303813,0,1,7859,5477
(null),2006126,303813,0,1,9431,2535
(null),2006126,303813,0,1,11003,0
(null),2006126,303813,0,1,11690,0
(null),2006126,303813,0,1,12575,0
(null),2006126,303813,0,1,14147,0
(null),2006126,303813,0,1,15718,0
(null),2006126,303813,0,1,17290,0
(null),2006126,303813,0,1,18862,0
(null),2006126,303813,0,1,20434,0
(null),2006126,303813,0,1,22006,0
(null),2006126,303813,0,1,23578,0
(null),2006126,303813,0,1,25150,0
(null),2006126,303813,0,1,18446744073709551615,0
(null),2006126,303813,1,1,0,0
(null),2006126,303813,1,1,49,0
(null),2006126,303813,1,1,91,0
(null),2006126,303813,1,1,98,0
(null),2006126,303813,1,1,147,0
(null),2006126,303813,1,1,196,0
(null),2006126,303813,1,1,1571,0
(null),2006126,303813,1,1,3143,0
(null),2006126,303813,1,1,4715,0
(null),2006126,303813,1,1,6287,0
(null),2006126,303813,1,1,7859,0
(null),2006126,303813,1,1,9431,0
(null),2006126,303813,1,1,11003,0
(null),2006126,303813,1,1,11690,0
(null),2006126,303813,1,1,12575,0
(null),2006126,303813,1,1,14147,0
(null),2006126,303813,1,1,15718,0
(null),2006126,303813,1,1,17290,0
(null),2006126,303813,1,1,18862,0
(null),2006126,303813,1,1,20434,0
(null),2006126,303813,1,1,22006,0
(null),2006126,303813,1,1,23578,0
(null),2006126,303813,1,1,25150,0
(null),2006126,303813,1,1,18446744073709551615,0
(null),2006126,303813,2,1,0,0
(null),2006126,303813,2,1,49,0
(null),2006126,303813,2,1,91,0
(null),2006126,303813,2,1,98,0
(null),2006126,303813,2,1,147,0
(null),2006126,303813,2,1,196,0
(null),2006126,303813,2,1,1571,0
(null),2006126,303813,2,1,3143,0
(null),2006126,303813,2,1,4715,0
(null),2006126,303813,2,1,6287,0
(null),2006126,303813,2,1,7859,0
(null),2006126,303813,2,1,9431,0
(null),2006126,303813,2,1,11003,0
(null),2006126,303813,2,1,11690,0
(null),2006126,303813,2,1,12575,0
(null),2006126,303813,2,1,14147,0
(null),2006126,303813,2,1,15718,0
(null),2006126,303813,2,1,17290,0
(null),2006126,303813,2,1,18862,0
(null),2006126,303813,2,1,20434,0
(null),2006126,303813,2,1,22006,0
(null),2006126,303813,2,1,23578,0
(null),2006126,303813,2,1,25150,0
(null),2006126,303813,2,1,18446744073709551615,0
(null),2006126,303813,3,1,0,0
(null),2006126,303813,3,1,49,0
(null),2006126,303813,3,1,91,0
(null),2006126,303813,3,1,98,0
(null),2006126,303813,3,1,147,0
(null),2006126,303813,3,1,196,0
(null),2006126,303813,3,1,1571,0
(null),2006126,303813,3,1,3143,0
(null),2006126,303813,3,1,4715,0
(null),2006126,303813,3,1,6287,0
(null),2006126,303813,3,1,7859,0
(null),2006126,303813,3,1,9431,0
(null),2006126,303813,3,1,11003,0
(null),2006126,303813,3,1,11690,0
(null),2006126,303813,3,1,12575,0
(null),2006126,303813,3,1,14147,0
(null),2006126,303813,3,1,15718,0
(null),2006126,303813,3,1,17290,0
(null),2006126,303813,3,1,18862,0
(null),2006126,303813,3,1,20434,0
(null),2006126,303813,3,1,22006,0
(null),2006126,303813,3,1,23578,0
(null),2006126,303813,3,1,25150,0
(null),2006126,303813,3,1,18446744073709551615,0
