matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1628268,227320,0,0,0,1254181
(null),1628268,227320,0,0,50,6373
(null),1628268,227320,0,0,92,755
(null),1628268,227320,0,0,100,4485
(null),1628268,227320,0,0,150,3826
(null),1628268,227320,0,0,200,92309
(null),1628268,227320,0,0,1600,92001
(null),1628268,227320,0,0,3201,80199
(null),1628268,227320,0,0,4802,69004
(null),1628268,227320,0,0,6403,25135
(null),1628268,227320,0,0,8004,0
(null),1628268,227320,0,0,9605,0
(null),1628268,227320,0,0,11206,0
(null),1628268,227320,0,0,11790,0
(null),1628268,227320,0,0,12807,0
(null),1628268,227320,0,0,14408,0
(null),1628268,227320,0,0,16009,0
(null),1628268,227320,0,0,17610,0
(null),1628268,227320,0,0,19211,0
(null),1628268,227320,0,0,20812,0
(null),1628268,227320,0,0,22413,0
(null),1628268,227320,0,0,24014,0
(null),1628268,227320,0,0,25615,0
(null),1628268,227320,0,0,18446744073709551615,0
(null),1628268,227320,0,1,0,1254181
(null),1628268,227320,0,1,50,6373
(null),1628268,227320,0,1,92,755
(null),1628268,227320,0,1,100,4485
(null),1628268,227320,0,1,150,3826
(null),1628268,227320,0,1,200,92309
(null),1628268,227320,0,1,1600,92001
(null),1628268,227320,0,1,3201,80199
(null),1628268,227320,0,1,4802,69004
(null),1628268,227320,0,1,6403,25135
(null),1628268,227320,0,1,8004,0
(null),1628268,227320,0,1,9605,0
(null),1628268,227320,0,1,11206,0
(null),1628268,227320,0,1,11790,0
(null),1628268,227320,0,1,12807,0
(null),1628268,227320,0,1,14408,0
(null),1628268,227320,0,1,16009,0
(null),1628268,227320,0,1,17610,0
(null),1628268,227320,0,1,19211,0
(null),1628268,227320,0,1,20812,0
(null),1628268,227320,0,1,22413,0
(null),1628268,227320,0,1,24014,0
(null),1628268,227320,0,1,25615,0
(null),1628268,227320,0,1,18446744073709551615,0
(null),1628268,227320,1,1,0,0
(null),1628268,227320,1,1,50,0
(null),1628268,227320,1,1,92,0
(null),1628268,227320,1,1,100,0
(null),1628268,227320,1,1,150,0
(null),1628268,227320,1,1,200,0
(null),1628268,227320,1,1,1600,0
(null),1628268,227320,1,1,3201,0
(null),1628268,227320,1,1,4802,0
(null),1628268,227320,1,1,6403,0
(null),1628268,227320,1,1,8004,0
(null),1628268,227320,1,1,9605,0
(null),1628268,227320,1,1,11206,0
(null),1628268,227320,1,1,11790,0
(null),1628268,227320,1,1,12807,0
(null),1628268,227320,1,1,14408,0
(null),1628268,227320,1,1,16009,0
(null),1628268,227320,1,1,17610,0
(null),1628268,227320,1,1,19211,0
(null),1628268,227320,1,1,20812,0
(null),1628268,227320,1,1,22413,0
(null),1628268,227320,1,1,24014,0
(null),1628268,227320,1,1,25615,0
(null),1628268,227320,1,1,18446744073709551615,0
(null),1628268,227320,2,1,0,0
(null),1628268,227320,2,1,50,0
(null),1628268,227320,2,1,92,0
(null),1628268,227320,2,1,100,0
(null),1628268,227320,2,1,150,0
(null),1628268,227320,2,1,200,0
(null),1628268,227320,2,1,1600,0
(null),1628268,227320,2,1,3201,0
(null),1628268,227320,2,1,4802,0
(null),1628268,227320,2,1,6403,0
(null),1628268,227320,2,1,8004,0
(null),1628268,227320,2,1,9605,0
(null),1628268,227320,2,1,11206,0
(null),1628268,227320,2,1,11790,0
(null),1628268,227320,2,1,12807,0
(null),1628268,227320,2,1,14408,0
(null),1628268,227320,2,1,16009,0
(null),1628268,227320,2,1,17610,0
(null),1628268,227320,2,1,19211,0
(null),1628268,227320,2,1,20812,0
(null),1628268,227320,2,1,22413,0
(null),1628268,227320,2,1,24014,0
(null),1628268,227320,2,1,25615,0
(null),1628268,227320,2,1,18446744073709551615,0
(null),1628268,227320,3,1,0,0
(null),1628268,227320,3,1,50,0
(null),1628268,227320,3,1,92,0
(null),1628268,227320,3,1,100,0
(null),1628268,227320,3,1,150,0
(null),1628268,227320,3,1,200,0
(null),1628268,227320,3,1,1600,0
(null),1628268,227320,3,1,3201,0
(null),1628268,227320,3,1,4802,0
(null),1628268,227320,3,1,6403,0
(null),1628268,227320,3,1,8004,0
(null),1628268,227320,3,1,9605,0
(null),1628268,227320,3,1,11206,0
(null),1628268,227320,3,1,11790,0
(null),1628268,227320,3,1,12807,0
(null),1628268,227320,3,1,14408,0
(null),1628268,227320,3,1,16009,0
(null),1628268,227320,3,1,17610,0
(null),1628268,227320,3,1,19211,0
(null),1628268,227320,3,1,20812,0
(null),1628268,227320,3,1,22413,0
(null),1628268,227320,3,1,24014,0
(null),1628268,227320,3,1,25615,0
(null),1628268,227320,3,1,18446744073709551615,0
