matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1010777,51537,0,0,0,1007954
(null),1010777,51537,0,0,58,417
(null),1010777,51537,0,0,98,156
(null),1010777,51537,0,0,116,397
(null),1010777,51537,0,0,174,61
(null),1010777,51537,0,0,232,1792
(null),1010777,51537,0,0,1858,0
(null),1010777,51537,0,0,3716,0
(null),1010777,51537,0,0,5575,0
(null),1010777,51537,0,0,7433,0
(null),1010777,51537,0,0,9292,0
(null),1010777,51537,0,0,11150,0
(null),1010777,51537,0,0,12593,0
(null),1010777,51537,0,0,13009,0
(null),1010777,51537,0,0,14867,0
(null),1010777,51537,0,0,16726,0
(null),1010777,51537,0,0,18584,0
(null),1010777,51537,0,0,20443,0
(null),1010777,51537,0,0,22301,0
(null),1010777,51537,0,0,24160,0
(null),1010777,51537,0,0,26018,0
(null),1010777,51537,0,0,27877,0
(null),1010777,51537,0,0,29735,0
(null),1010777,51537,0,0,18446744073709551615,0
(null),1010777,51537,0,1,0,1007954
(null),1010777,51537,0,1,58,417
(null),1010777,51537,0,1,98,156
(null),1010777,51537,0,1,116,397
(null),1010777,51537,0,1,174,61
(null),1010777,51537,0,1,232,1792
(null),1010777,51537,0,1,1858,0
(null),1010777,51537,0,1,3716,0
(null),1010777,51537,0,1,5575,0
(null),1010777,51537,0,1,7433,0
(null),1010777,51537,0,1,9292,0
(null),1010777,51537,0,1,11150,0
(null),1010777,51537,0,1,12593,0
(null),1010777,51537,0,1,13009,0
(null),1010777,51537,0,1,14867,0
(null),1010777,51537,0,1,16726,0
(null),1010777,51537,0,1,18584,0
(null),1010777,51537,0,1,20443,0
(null),1010777,51537,0,1,22301,0
(null),1010777,51537,0,1,24160,0
(null),1010777,51537,0,1,26018,0
(null),1010777,51537,0,1,27877,0
(null),1010777,51537,0,1,29735,0
(null),1010777,51537,0,1,18446744073709551615,0
(null),1010777,51537,1,1,0,0
(null),1010777,51537,1,1,58,0
(null),1010777,51537,1,1,98,0
(null),1010777,51537,1,1,116,0
(null),1010777,51537,1,1,174,0
(null),1010777,51537,1,1,232,0
(null),1010777,51537,1,1,1858,0
(null),1010777,51537,1,1,3716,0
(null),1010777,51537,1,1,5575,0
(null),1010777,51537,1,1,7433,0
(null),1010777,51537,1,1,9292,0
(null),1010777,51537,1,1,11150,0
(null),1010777,51537,1,1,12593,0
(null),1010777,51537,1,1,13009,0
(null),1010777,51537,1,1,14867,0
(null),1010777,51537,1,1,16726,0
(null),1010777,51537,1,1,18584,0
(null),1010777,51537,1,1,20443,0
(null),1010777,51537,1,1,22301,0
(null),1010777,51537,1,1,24160,0
(null),1010777,51537,1,1,26018,0
(null),1010777,51537,1,1,27877,0
(null),1010777,51537,1,1,29735,0
(null),1010777,51537,1,1,18446744073709551615,0
(null),1010777,51537,2,1,0,0
(null),1010777,51537,2,1,58,0
(null),1010777,51537,2,1,98,0
(null),1010777,51537,2,1,116,0
(null),1010777,51537,2,1,174,0
(null),1010777,51537,2,1,232,0
(null),1010777,51537,2,1,1858,0
(null),1010777,51537,2,1,3716,0
(null),1010777,51537,2,1,5575,0
(null),1010777,51537,2,1,7433,0
(null),1010777,51537,2,1,9292,0
(null),1010777,51537,2,1,11150,0
(null),1010777,51537,2,1,12593,0
(null),1010777,51537,2,1,13009,0
(null),1010777,51537,2,1,14867,0
(null),1010777,51537,2,1,16726,0
(null),1010777,51537,2,1,18584,0
(null),1010777,51537,2,1,20443,0
(null),1010777,51537,2,1,22301,0
(null),1010777,51537,2,1,24160,0
(null),1010777,51537,2,1,26018,0
(null),1010777,51537,2,1,27877,0
(null),1010777,51537,2,1,29735,0
(null),1010777,51537,2,1,18446744073709551615,0
(null),1010777,51537,3,1,0,0
(null),1010777,51537,3,1,58,0
(null),1010777,51537,3,1,98,0
(null),1010777,51537,3,1,116,0
(null),1010777,51537,3,1,174,0
(null),1010777,51537,3,1,232,0
(null),1010777,51537,3,1,1858,0
(null),1010777,51537,3,1,3716,0
(null),1010777,51537,3,1,5575,0
(null),1010777,51537,3,1,7433,0
(null),1010777,51537,3,1,9292,0
(null),1010777,51537,3,1,11150,0
(null),1010777,51537,3,1,12593,0
(null),1010777,51537,3,1,13009,0
(null),1010777,51537,3,1,14867,0
(null),1010777,51537,3,1,16726,0
(null),1010777,51537,3,1,18584,0
(null),1010777,51537,3,1,20443,0
(null),1010777,51537,3,1,22301,0
(null),1010777,51537,3,1,24160,0
(null),1010777,51537,3,1,26018,0
(null),1010777,51537,3,1,27877,0
(null),1010777,51537,3,1,29735,0
(null),1010777,51537,3,1,18446744073709551615,0
