matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1324862,99617,0,0,0,998605
(null),1324862,99617,0,0,55,26193
(null),1324862,99617,0,0,96,8289
(null),1324862,99617,0,0,111,27609
(null),1324862,99617,0,0,166,25123
(null),1324862,99617,0,0,222,229385
(null),1324862,99617,0,0,1780,9658
(null),1324862,99617,0,0,3560,0
(null),1324862,99617,0,0,5340,0
(null),1324862,99617,0,0,7121,0
(null),1324862,99617,0,0,8901,0
(null),1324862,99617,0,0,10681,0
(null),1324862,99617,0,0,12363,0
(null),1324862,99617,0,0,12461,0
(null),1324862,99617,0,0,14242,0
(null),1324862,99617,0,0,16022,0
(null),1324862,99617,0,0,17802,0
(null),1324862,99617,0,0,19583,0
(null),1324862,99617,0,0,21363,0
(null),1324862,99617,0,0,23143,0
(null),1324862,99617,0,0,24923,0
(null),1324862,99617,0,0,26704,0
(null),1324862,99617,0,0,28484,0
(null),1324862,99617,0,0,18446744073709551615,0
(null),1324862,99617,0,1,0,998605
(null),1324862,99617,0,1,55,26193
(null),1324862,99617,0,1,96,8289
(null),1324862,99617,0,1,111,27609
(null),1324862,99617,0,1,166,25123
(null),1324862,99617,0,1,222,229385
(null),1324862,99617,0,1,1780,9658
(null),1324862,99617,0,1,3560,0
(null),1324862,99617,0,1,5340,0
(null),1324862,99617,0,1,7121,0
(null),1324862,99617,0,1,8901,0
(null),1324862,99617,0,1,10681,0
(null),1324862,99617,0,1,12363,0
(null),1324862,99617,0,1,12461,0
(null),1324862,99617,0,1,14242,0
(null),1324862,99617,0,1,16022,0
(null),1324862,99617,0,1,17802,0
(null),1324862,99617,0,1,19583,0
(null),1324862,99617,0,1,21363,0
(null),1324862,99617,0,1,23143,0
(null),1324862,99617,0,1,24923,0
(null),1324862,99617,0,1,26704,0
(null),1324862,99617,0,1,28484,0
(null),1324862,99617,0,1,18446744073709551615,0
(null),1324862,99617,1,1,0,0
(null),1324862,99617,1,1,55,0
(null),1324862,99617,1,1,96,0
(null),1324862,99617,1,1,111,0
(null),1324862,99617,1,1,166,0
(null),1324862,99617,1,1,222,0
(null),1324862,99617,1,1,1780,0
(null),1324862,99617,1,1,3560,0
(null),1324862,99617,1,1,5340,0
(null),1324862,99617,1,1,7121,0
(null),1324862,99617,1,1,8901,0
(null),1324862,99617,1,1,10681,0
(null),1324862,99617,1,1,12363,0
(null),1324862,99617,1,1,12461,0
(null),1324862,99617,1,1,14242,0
(null),1324862,99617,1,1,16022,0
(null),1324862,99617,1,1,17802,0
(null),1324862,99617,1,1,19583,0
(null),1324862,99617,1,1,21363,0
(null),1324862,99617,1,1,23143,0
(null),1324862,99617,1,1,24923,0
(null),1324862,99617,1,1,26704,0
(null),1324862,99617,1,1,28484,0
(null),1324862,99617,1,1,18446744073709551615,0
(null),1324862,99617,2,1,0,0
(null),1324862,99617,2,1,55,0
(null),1324862,99617,2,1,96,0
(null),1324862,99617,2,1,111,0
(null),1324862,99617,2,1,166,0
(null),1324862,99617,2,1,222,0
(null),1324862,99617,2,1,1780,0
(null),1324862,99617,2,1,3560,0
(null),1324862,99617,2,1,5340,0
(null),1324862,99617,2,1,7121,0
(null),1324862,99617,2,1,8901,0
(null),1324862,99617,2,1,10681,0
(null),1324862,99617,2,1,12363,0
(null),1324862,99617,2,1,12461,0
(null),1324862,99617,2,1,14242,0
(null),1324862,99617,2,1,16022,0
(null),1324862,99617,2,1,17802,0
(null),1324862,99617,2,1,19583,0
(null),1324862,99617,2,1,21363,0
(null),1324862,99617,2,1,23143,0
(null),1324862,99617,2,1,24923,0
(null),1324862,99617,2,1,26704,0
(null),1324862,99617,2,1,28484,0
(null),1324862,99617,2,1,18446744073709551615,0
(null),1324862,99617,3,1,0,0
(null),1324862,99617,3,1,55,0
(null),1324862,99617,3,1,96,0
(null),1324862,99617,3,1,111,0
(null),1324862,99617,3,1,166,0
(null),1324862,99617,3,1,222,0
(null),1324862,99617,3,1,1780,0
(null),1324862,99617,3,1,3560,0
(null),1324862,99617,3,1,5340,0
(null),1324862,99617,3,1,7121,0
(null),1324862,99617,3,1,8901,0
(null),1324862,99617,3,1,10681,0
(null),1324862,99617,3,1,12363,0
(null),1324862,99617,3,1,12461,0
(null),1324862,99617,3,1,14242,0
(null),1324862,99617,3,1,16022,0
(null),1324862,99617,3,1,17802,0
(null),1324862,99617,3,1,19583,0
(null),1324862,99617,3,1,21363,0
(null),1324862,99617,3,1,23143,0
(null),1324862,99617,3,1,24923,0
(null),1324862,99617,3,1,26704,0
(null),1324862,99617,3,1,28484,0
(null),1324862,99617,3,1,18446744073709551615,0
