matrix,nnz,nrows,cache_id,shared,mindist,count
(null),24669643,22283,0,0,0,18098461
(null),24669643,22283,0,0,63,25389
(null),24669643,22283,0,0,102,27269
(null),24669643,22283,0,0,127,123126
(null),24669643,22283,0,0,191,233171
(null),24669643,22283,0,0,255,6162227
(null),24669643,22283,0,0,2044,0
(null),24669643,22283,0,0,4088,0
(null),24669643,22283,0,0,6132,0
(null),24669643,22283,0,0,8177,0
(null),24669643,22283,0,0,10221,0
(null),24669643,22283,0,0,12265,0
(null),24669643,22283,0,0,13097,0
(null),24669643,22283,0,0,14310,0
(null),24669643,22283,0,0,16354,0
(null),24669643,22283,0,0,18398,0
(null),24669643,22283,0,0,20443,0
(null),24669643,22283,0,0,22487,0
(null),24669643,22283,0,0,24531,0
(null),24669643,22283,0,0,26575,0
(null),24669643,22283,0,0,28620,0
(null),24669643,22283,0,0,30664,0
(null),24669643,22283,0,0,32708,0
(null),24669643,22283,0,0,18446744073709551615,0
(null),24669643,22283,0,1,0,18098461
(null),24669643,22283,0,1,63,25389
(null),24669643,22283,0,1,102,27269
(null),24669643,22283,0,1,127,123126
(null),24669643,22283,0,1,191,233171
(null),24669643,22283,0,1,255,6162227
(null),24669643,22283,0,1,2044,0
(null),24669643,22283,0,1,4088,0
(null),24669643,22283,0,1,6132,0
(null),24669643,22283,0,1,8177,0
(null),24669643,22283,0,1,10221,0
(null),24669643,22283,0,1,12265,0
(null),24669643,22283,0,1,13097,0
(null),24669643,22283,0,1,14310,0
(null),24669643,22283,0,1,16354,0
(null),24669643,22283,0,1,18398,0
(null),24669643,22283,0,1,20443,0
(null),24669643,22283,0,1,22487,0
(null),24669643,22283,0,1,24531,0
(null),24669643,22283,0,1,26575,0
(null),24669643,22283,0,1,28620,0
(null),24669643,22283,0,1,30664,0
(null),24669643,22283,0,1,32708,0
(null),24669643,22283,0,1,18446744073709551615,0
(null),24669643,22283,1,1,0,0
(null),24669643,22283,1,1,63,0
(null),24669643,22283,1,1,102,0
(null),24669643,22283,1,1,127,0
(null),24669643,22283,1,1,191,0
(null),24669643,22283,1,1,255,0
(null),24669643,22283,1,1,2044,0
(null),24669643,22283,1,1,4088,0
(null),24669643,22283,1,1,6132,0
(null),24669643,22283,1,1,8177,0
(null),24669643,22283,1,1,10221,0
(null),24669643,22283,1,1,12265,0
(null),24669643,22283,1,1,13097,0
(null),24669643,22283,1,1,14310,0
(null),24669643,22283,1,1,16354,0
(null),24669643,22283,1,1,18398,0
(null),24669643,22283,1,1,20443,0
(null),24669643,22283,1,1,22487,0
(null),24669643,22283,1,1,24531,0
(null),24669643,22283,1,1,26575,0
(null),24669643,22283,1,1,28620,0
(null),24669643,22283,1,1,30664,0
(null),24669643,22283,1,1,32708,0
(null),24669643,22283,1,1,18446744073709551615,0
(null),24669643,22283,2,1,0,0
(null),24669643,22283,2,1,63,0
(null),24669643,22283,2,1,102,0
(null),24669643,22283,2,1,127,0
(null),24669643,22283,2,1,191,0
(null),24669643,22283,2,1,255,0
(null),24669643,22283,2,1,2044,0
(null),24669643,22283,2,1,4088,0
(null),24669643,22283,2,1,6132,0
(null),24669643,22283,2,1,8177,0
(null),24669643,22283,2,1,10221,0
(null),24669643,22283,2,1,12265,0
(null),24669643,22283,2,1,13097,0
(null),24669643,22283,2,1,14310,0
(null),24669643,22283,2,1,16354,0
(null),24669643,22283,2,1,18398,0
(null),24669643,22283,2,1,20443,0
(null),24669643,22283,2,1,22487,0
(null),24669643,22283,2,1,24531,0
(null),24669643,22283,2,1,26575,0
(null),24669643,22283,2,1,28620,0
(null),24669643,22283,2,1,30664,0
(null),24669643,22283,2,1,32708,0
(null),24669643,22283,2,1,18446744073709551615,0
(null),24669643,22283,3,1,0,0
(null),24669643,22283,3,1,63,0
(null),24669643,22283,3,1,102,0
(null),24669643,22283,3,1,127,0
(null),24669643,22283,3,1,191,0
(null),24669643,22283,3,1,255,0
(null),24669643,22283,3,1,2044,0
(null),24669643,22283,3,1,4088,0
(null),24669643,22283,3,1,6132,0
(null),24669643,22283,3,1,8177,0
(null),24669643,22283,3,1,10221,0
(null),24669643,22283,3,1,12265,0
(null),24669643,22283,3,1,13097,0
(null),24669643,22283,3,1,14310,0
(null),24669643,22283,3,1,16354,0
(null),24669643,22283,3,1,18398,0
(null),24669643,22283,3,1,20443,0
(null),24669643,22283,3,1,22487,0
(null),24669643,22283,3,1,24531,0
(null),24669643,22283,3,1,26575,0
(null),24669643,22283,3,1,28620,0
(null),24669643,22283,3,1,30664,0
(null),24669643,22283,3,1,32708,0
(null),24669643,22283,3,1,18446744073709551615,0
