matrix,nnz,nrows,cache_id,shared,mindist,count
(null),480047894,226196185,0,0,0,440969136
(null),480047894,226196185,0,0,32,9103226
(null),480047894,226196185,0,0,65,990765
(null),480047894,226196185,0,0,74,1538086
(null),480047894,226196185,0,0,98,871012
(null),480047894,226196185,0,0,131,3387199
(null),480047894,226196185,0,0,1054,906435
(null),480047894,226196185,0,0,2108,465536
(null),480047894,226196185,0,0,3163,423276
(null),480047894,226196185,0,0,4217,334974
(null),480047894,226196185,0,0,5271,276730
(null),480047894,226196185,0,0,6326,247402
(null),480047894,226196185,0,0,7380,230148
(null),480047894,226196185,0,0,8434,223967
(null),480047894,226196185,0,0,9489,5592
(null),480047894,226196185,0,0,9518,202705
(null),480047894,226196185,0,0,10543,224185
(null),480047894,226196185,0,0,11598,231563
(null),480047894,226196185,0,0,12652,246976
(null),480047894,226196185,0,0,13706,198896
(null),480047894,226196185,0,0,14761,203803
(null),480047894,226196185,0,0,15815,207383
(null),480047894,226196185,0,0,16869,18558899
(null),480047894,226196185,0,0,18446744073709551615,0
(null),480047894,226196185,0,1,0,440969136
(null),480047894,226196185,0,1,32,9103226
(null),480047894,226196185,0,1,65,990765
(null),480047894,226196185,0,1,74,1538086
(null),480047894,226196185,0,1,98,871012
(null),480047894,226196185,0,1,131,3387199
(null),480047894,226196185,0,1,1054,906435
(null),480047894,226196185,0,1,2108,465536
(null),480047894,226196185,0,1,3163,423276
(null),480047894,226196185,0,1,4217,334974
(null),480047894,226196185,0,1,5271,276730
(null),480047894,226196185,0,1,6326,247402
(null),480047894,226196185,0,1,7380,230148
(null),480047894,226196185,0,1,8434,223967
(null),480047894,226196185,0,1,9489,5592
(null),480047894,226196185,0,1,9518,202705
(null),480047894,226196185,0,1,10543,224185
(null),480047894,226196185,0,1,11598,231563
(null),480047894,226196185,0,1,12652,246976
(null),480047894,226196185,0,1,13706,198896
(null),480047894,226196185,0,1,14761,203803
(null),480047894,226196185,0,1,15815,207383
(null),480047894,226196185,0,1,16869,18558899
(null),480047894,226196185,0,1,18446744073709551615,0
(null),480047894,226196185,1,1,0,0
(null),480047894,226196185,1,1,32,0
(null),480047894,226196185,1,1,65,0
(null),480047894,226196185,1,1,74,0
(null),480047894,226196185,1,1,98,0
(null),480047894,226196185,1,1,131,0
(null),480047894,226196185,1,1,1054,0
(null),480047894,226196185,1,1,2108,0
(null),480047894,226196185,1,1,3163,0
(null),480047894,226196185,1,1,4217,0
(null),480047894,226196185,1,1,5271,0
(null),480047894,226196185,1,1,6326,0
(null),480047894,226196185,1,1,7380,0
(null),480047894,226196185,1,1,8434,0
(null),480047894,226196185,1,1,9489,0
(null),480047894,226196185,1,1,9518,0
(null),480047894,226196185,1,1,10543,0
(null),480047894,226196185,1,1,11598,0
(null),480047894,226196185,1,1,12652,0
(null),480047894,226196185,1,1,13706,0
(null),480047894,226196185,1,1,14761,0
(null),480047894,226196185,1,1,15815,0
(null),480047894,226196185,1,1,16869,0
(null),480047894,226196185,1,1,18446744073709551615,0
(null),480047894,226196185,2,1,0,0
(null),480047894,226196185,2,1,32,0
(null),480047894,226196185,2,1,65,0
(null),480047894,226196185,2,1,74,0
(null),480047894,226196185,2,1,98,0
(null),480047894,226196185,2,1,131,0
(null),480047894,226196185,2,1,1054,0
(null),480047894,226196185,2,1,2108,0
(null),480047894,226196185,2,1,3163,0
(null),480047894,226196185,2,1,4217,0
(null),480047894,226196185,2,1,5271,0
(null),480047894,226196185,2,1,6326,0
(null),480047894,226196185,2,1,7380,0
(null),480047894,226196185,2,1,8434,0
(null),480047894,226196185,2,1,9489,0
(null),480047894,226196185,2,1,9518,0
(null),480047894,226196185,2,1,10543,0
(null),480047894,226196185,2,1,11598,0
(null),480047894,226196185,2,1,12652,0
(null),480047894,226196185,2,1,13706,0
(null),480047894,226196185,2,1,14761,0
(null),480047894,226196185,2,1,15815,0
(null),480047894,226196185,2,1,16869,0
(null),480047894,226196185,2,1,18446744073709551615,0
(null),480047894,226196185,3,1,0,0
(null),480047894,226196185,3,1,32,0
(null),480047894,226196185,3,1,65,0
(null),480047894,226196185,3,1,74,0
(null),480047894,226196185,3,1,98,0
(null),480047894,226196185,3,1,131,0
(null),480047894,226196185,3,1,1054,0
(null),480047894,226196185,3,1,2108,0
(null),480047894,226196185,3,1,3163,0
(null),480047894,226196185,3,1,4217,0
(null),480047894,226196185,3,1,5271,0
(null),480047894,226196185,3,1,6326,0
(null),480047894,226196185,3,1,7380,0
(null),480047894,226196185,3,1,8434,0
(null),480047894,226196185,3,1,9489,0
(null),480047894,226196185,3,1,9518,0
(null),480047894,226196185,3,1,10543,0
(null),480047894,226196185,3,1,11598,0
(null),480047894,226196185,3,1,12652,0
(null),480047894,226196185,3,1,13706,0
(null),480047894,226196185,3,1,14761,0
(null),480047894,226196185,3,1,15815,0
(null),480047894,226196185,3,1,16869,0
(null),480047894,226196185,3,1,18446744073709551615,0
