matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1679599,20414,0,0,0,517068
(null),1679599,20414,0,0,62,147330
(null),1679599,20414,0,0,101,86620
(null),1679599,20414,0,0,124,195955
(null),1679599,20414,0,0,187,135343
(null),1679599,20414,0,0,249,597283
(null),1679599,20414,0,0,1999,0
(null),1679599,20414,0,0,3998,0
(null),1679599,20414,0,0,5998,0
(null),1679599,20414,0,0,7997,0
(null),1679599,20414,0,0,9996,0
(null),1679599,20414,0,0,11996,0
(null),1679599,20414,0,0,12980,0
(null),1679599,20414,0,0,13995,0
(null),1679599,20414,0,0,15995,0
(null),1679599,20414,0,0,17994,0
(null),1679599,20414,0,0,19993,0
(null),1679599,20414,0,0,21993,0
(null),1679599,20414,0,0,23992,0
(null),1679599,20414,0,0,25992,0
(null),1679599,20414,0,0,27991,0
(null),1679599,20414,0,0,29990,0
(null),1679599,20414,0,0,31990,0
(null),1679599,20414,0,0,18446744073709551615,0
(null),1679599,20414,0,1,0,517068
(null),1679599,20414,0,1,62,147330
(null),1679599,20414,0,1,101,86620
(null),1679599,20414,0,1,124,195955
(null),1679599,20414,0,1,187,135343
(null),1679599,20414,0,1,249,597283
(null),1679599,20414,0,1,1999,0
(null),1679599,20414,0,1,3998,0
(null),1679599,20414,0,1,5998,0
(null),1679599,20414,0,1,7997,0
(null),1679599,20414,0,1,9996,0
(null),1679599,20414,0,1,11996,0
(null),1679599,20414,0,1,12980,0
(null),1679599,20414,0,1,13995,0
(null),1679599,20414,0,1,15995,0
(null),1679599,20414,0,1,17994,0
(null),1679599,20414,0,1,19993,0
(null),1679599,20414,0,1,21993,0
(null),1679599,20414,0,1,23992,0
(null),1679599,20414,0,1,25992,0
(null),1679599,20414,0,1,27991,0
(null),1679599,20414,0,1,29990,0
(null),1679599,20414,0,1,31990,0
(null),1679599,20414,0,1,18446744073709551615,0
(null),1679599,20414,1,1,0,0
(null),1679599,20414,1,1,62,0
(null),1679599,20414,1,1,101,0
(null),1679599,20414,1,1,124,0
(null),1679599,20414,1,1,187,0
(null),1679599,20414,1,1,249,0
(null),1679599,20414,1,1,1999,0
(null),1679599,20414,1,1,3998,0
(null),1679599,20414,1,1,5998,0
(null),1679599,20414,1,1,7997,0
(null),1679599,20414,1,1,9996,0
(null),1679599,20414,1,1,11996,0
(null),1679599,20414,1,1,12980,0
(null),1679599,20414,1,1,13995,0
(null),1679599,20414,1,1,15995,0
(null),1679599,20414,1,1,17994,0
(null),1679599,20414,1,1,19993,0
(null),1679599,20414,1,1,21993,0
(null),1679599,20414,1,1,23992,0
(null),1679599,20414,1,1,25992,0
(null),1679599,20414,1,1,27991,0
(null),1679599,20414,1,1,29990,0
(null),1679599,20414,1,1,31990,0
(null),1679599,20414,1,1,18446744073709551615,0
(null),1679599,20414,2,1,0,0
(null),1679599,20414,2,1,62,0
(null),1679599,20414,2,1,101,0
(null),1679599,20414,2,1,124,0
(null),1679599,20414,2,1,187,0
(null),1679599,20414,2,1,249,0
(null),1679599,20414,2,1,1999,0
(null),1679599,20414,2,1,3998,0
(null),1679599,20414,2,1,5998,0
(null),1679599,20414,2,1,7997,0
(null),1679599,20414,2,1,9996,0
(null),1679599,20414,2,1,11996,0
(null),1679599,20414,2,1,12980,0
(null),1679599,20414,2,1,13995,0
(null),1679599,20414,2,1,15995,0
(null),1679599,20414,2,1,17994,0
(null),1679599,20414,2,1,19993,0
(null),1679599,20414,2,1,21993,0
(null),1679599,20414,2,1,23992,0
(null),1679599,20414,2,1,25992,0
(null),1679599,20414,2,1,27991,0
(null),1679599,20414,2,1,29990,0
(null),1679599,20414,2,1,31990,0
(null),1679599,20414,2,1,18446744073709551615,0
(null),1679599,20414,3,1,0,0
(null),1679599,20414,3,1,62,0
(null),1679599,20414,3,1,101,0
(null),1679599,20414,3,1,124,0
(null),1679599,20414,3,1,187,0
(null),1679599,20414,3,1,249,0
(null),1679599,20414,3,1,1999,0
(null),1679599,20414,3,1,3998,0
(null),1679599,20414,3,1,5998,0
(null),1679599,20414,3,1,7997,0
(null),1679599,20414,3,1,9996,0
(null),1679599,20414,3,1,11996,0
(null),1679599,20414,3,1,12980,0
(null),1679599,20414,3,1,13995,0
(null),1679599,20414,3,1,15995,0
(null),1679599,20414,3,1,17994,0
(null),1679599,20414,3,1,19993,0
(null),1679599,20414,3,1,21993,0
(null),1679599,20414,3,1,23992,0
(null),1679599,20414,3,1,25992,0
(null),1679599,20414,3,1,27991,0
(null),1679599,20414,3,1,29990,0
(null),1679599,20414,3,1,31990,0
(null),1679599,20414,3,1,18446744073709551615,0
