matrix,nnz,nrows,cache_id,shared,mindist,count
(null),11063545,181343,0,0,0,10879866
(null),11063545,181343,0,0,61,76984
(null),11063545,181343,0,0,101,18740
(null),11063545,181343,0,0,123,29477
(null),11063545,181343,0,0,185,11509
(null),11063545,181343,0,0,247,26093
(null),11063545,181343,0,0,1982,6063
(null),11063545,181343,0,0,3965,14813
(null),11063545,181343,0,0,5948,0
(null),11063545,181343,0,0,7931,0
(null),11063545,181343,0,0,9914,0
(null),11063545,181343,0,0,11897,0
(null),11063545,181343,0,0,12937,0
(null),11063545,181343,0,0,13880,0
(null),11063545,181343,0,0,15863,0
(null),11063545,181343,0,0,17846,0
(null),11063545,181343,0,0,19829,0
(null),11063545,181343,0,0,21812,0
(null),11063545,181343,0,0,23795,0
(null),11063545,181343,0,0,25778,0
(null),11063545,181343,0,0,27761,0
(null),11063545,181343,0,0,29744,0
(null),11063545,181343,0,0,31727,0
(null),11063545,181343,0,0,18446744073709551615,0
(null),11063545,181343,0,1,0,10879866
(null),11063545,181343,0,1,61,76984
(null),11063545,181343,0,1,101,18740
(null),11063545,181343,0,1,123,29477
(null),11063545,181343,0,1,185,11509
(null),11063545,181343,0,1,247,26093
(null),11063545,181343,0,1,1982,6063
(null),11063545,181343,0,1,3965,14813
(null),11063545,181343,0,1,5948,0
(null),11063545,181343,0,1,7931,0
(null),11063545,181343,0,1,9914,0
(null),11063545,181343,0,1,11897,0
(null),11063545,181343,0,1,12937,0
(null),11063545,181343,0,1,13880,0
(null),11063545,181343,0,1,15863,0
(null),11063545,181343,0,1,17846,0
(null),11063545,181343,0,1,19829,0
(null),11063545,181343,0,1,21812,0
(null),11063545,181343,0,1,23795,0
(null),11063545,181343,0,1,25778,0
(null),11063545,181343,0,1,27761,0
(null),11063545,181343,0,1,29744,0
(null),11063545,181343,0,1,31727,0
(null),11063545,181343,0,1,18446744073709551615,0
(null),11063545,181343,1,1,0,0
(null),11063545,181343,1,1,61,0
(null),11063545,181343,1,1,101,0
(null),11063545,181343,1,1,123,0
(null),11063545,181343,1,1,185,0
(null),11063545,181343,1,1,247,0
(null),11063545,181343,1,1,1982,0
(null),11063545,181343,1,1,3965,0
(null),11063545,181343,1,1,5948,0
(null),11063545,181343,1,1,7931,0
(null),11063545,181343,1,1,9914,0
(null),11063545,181343,1,1,11897,0
(null),11063545,181343,1,1,12937,0
(null),11063545,181343,1,1,13880,0
(null),11063545,181343,1,1,15863,0
(null),11063545,181343,1,1,17846,0
(null),11063545,181343,1,1,19829,0
(null),11063545,181343,1,1,21812,0
(null),11063545,181343,1,1,23795,0
(null),11063545,181343,1,1,25778,0
(null),11063545,181343,1,1,27761,0
(null),11063545,181343,1,1,29744,0
(null),11063545,181343,1,1,31727,0
(null),11063545,181343,1,1,18446744073709551615,0
(null),11063545,181343,2,1,0,0
(null),11063545,181343,2,1,61,0
(null),11063545,181343,2,1,101,0
(null),11063545,181343,2,1,123,0
(null),11063545,181343,2,1,185,0
(null),11063545,181343,2,1,247,0
(null),11063545,181343,2,1,1982,0
(null),11063545,181343,2,1,3965,0
(null),11063545,181343,2,1,5948,0
(null),11063545,181343,2,1,7931,0
(null),11063545,181343,2,1,9914,0
(null),11063545,181343,2,1,11897,0
(null),11063545,181343,2,1,12937,0
(null),11063545,181343,2,1,13880,0
(null),11063545,181343,2,1,15863,0
(null),11063545,181343,2,1,17846,0
(null),11063545,181343,2,1,19829,0
(null),11063545,181343,2,1,21812,0
(null),11063545,181343,2,1,23795,0
(null),11063545,181343,2,1,25778,0
(null),11063545,181343,2,1,27761,0
(null),11063545,181343,2,1,29744,0
(null),11063545,181343,2,1,31727,0
(null),11063545,181343,2,1,18446744073709551615,0
(null),11063545,181343,3,1,0,0
(null),11063545,181343,3,1,61,0
(null),11063545,181343,3,1,101,0
(null),11063545,181343,3,1,123,0
(null),11063545,181343,3,1,185,0
(null),11063545,181343,3,1,247,0
(null),11063545,181343,3,1,1982,0
(null),11063545,181343,3,1,3965,0
(null),11063545,181343,3,1,5948,0
(null),11063545,181343,3,1,7931,0
(null),11063545,181343,3,1,9914,0
(null),11063545,181343,3,1,11897,0
(null),11063545,181343,3,1,12937,0
(null),11063545,181343,3,1,13880,0
(null),11063545,181343,3,1,15863,0
(null),11063545,181343,3,1,17846,0
(null),11063545,181343,3,1,19829,0
(null),11063545,181343,3,1,21812,0
(null),11063545,181343,3,1,23795,0
(null),11063545,181343,3,1,25778,0
(null),11063545,181343,3,1,27761,0
(null),11063545,181343,3,1,29744,0
(null),11063545,181343,3,1,31727,0
(null),11063545,181343,3,1,18446744073709551615,0
