matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1274148,269118,0,0,0,777803
(null),1274148,269118,0,0,44,221576
(null),1274148,269118,0,0,87,8057
(null),1274148,269118,0,0,89,130222
(null),1274148,269118,0,0,134,53540
(null),1274148,269118,0,0,179,68419
(null),1274148,269118,0,0,1439,1979
(null),1274148,269118,0,0,2879,2726
(null),1274148,269118,0,0,4319,1839
(null),1274148,269118,0,0,5759,2447
(null),1274148,269118,0,0,7198,5540
(null),1274148,269118,0,0,8638,0
(null),1274148,269118,0,0,10078,0
(null),1274148,269118,0,0,11212,0
(null),1274148,269118,0,0,11518,0
(null),1274148,269118,0,0,12958,0
(null),1274148,269118,0,0,14397,0
(null),1274148,269118,0,0,15837,0
(null),1274148,269118,0,0,17277,0
(null),1274148,269118,0,0,18717,0
(null),1274148,269118,0,0,20157,0
(null),1274148,269118,0,0,21596,0
(null),1274148,269118,0,0,23036,0
(null),1274148,269118,0,0,18446744073709551615,0
(null),1274148,269118,0,1,0,777803
(null),1274148,269118,0,1,44,221576
(null),1274148,269118,0,1,87,8057
(null),1274148,269118,0,1,89,130222
(null),1274148,269118,0,1,134,53540
(null),1274148,269118,0,1,179,68419
(null),1274148,269118,0,1,1439,1979
(null),1274148,269118,0,1,2879,2726
(null),1274148,269118,0,1,4319,1839
(null),1274148,269118,0,1,5759,2447
(null),1274148,269118,0,1,7198,5540
(null),1274148,269118,0,1,8638,0
(null),1274148,269118,0,1,10078,0
(null),1274148,269118,0,1,11212,0
(null),1274148,269118,0,1,11518,0
(null),1274148,269118,0,1,12958,0
(null),1274148,269118,0,1,14397,0
(null),1274148,269118,0,1,15837,0
(null),1274148,269118,0,1,17277,0
(null),1274148,269118,0,1,18717,0
(null),1274148,269118,0,1,20157,0
(null),1274148,269118,0,1,21596,0
(null),1274148,269118,0,1,23036,0
(null),1274148,269118,0,1,18446744073709551615,0
(null),1274148,269118,1,1,0,0
(null),1274148,269118,1,1,44,0
(null),1274148,269118,1,1,87,0
(null),1274148,269118,1,1,89,0
(null),1274148,269118,1,1,134,0
(null),1274148,269118,1,1,179,0
(null),1274148,269118,1,1,1439,0
(null),1274148,269118,1,1,2879,0
(null),1274148,269118,1,1,4319,0
(null),1274148,269118,1,1,5759,0
(null),1274148,269118,1,1,7198,0
(null),1274148,269118,1,1,8638,0
(null),1274148,269118,1,1,10078,0
(null),1274148,269118,1,1,11212,0
(null),1274148,269118,1,1,11518,0
(null),1274148,269118,1,1,12958,0
(null),1274148,269118,1,1,14397,0
(null),1274148,269118,1,1,15837,0
(null),1274148,269118,1,1,17277,0
(null),1274148,269118,1,1,18717,0
(null),1274148,269118,1,1,20157,0
(null),1274148,269118,1,1,21596,0
(null),1274148,269118,1,1,23036,0
(null),1274148,269118,1,1,18446744073709551615,0
(null),1274148,269118,2,1,0,0
(null),1274148,269118,2,1,44,0
(null),1274148,269118,2,1,87,0
(null),1274148,269118,2,1,89,0
(null),1274148,269118,2,1,134,0
(null),1274148,269118,2,1,179,0
(null),1274148,269118,2,1,1439,0
(null),1274148,269118,2,1,2879,0
(null),1274148,269118,2,1,4319,0
(null),1274148,269118,2,1,5759,0
(null),1274148,269118,2,1,7198,0
(null),1274148,269118,2,1,8638,0
(null),1274148,269118,2,1,10078,0
(null),1274148,269118,2,1,11212,0
(null),1274148,269118,2,1,11518,0
(null),1274148,269118,2,1,12958,0
(null),1274148,269118,2,1,14397,0
(null),1274148,269118,2,1,15837,0
(null),1274148,269118,2,1,17277,0
(null),1274148,269118,2,1,18717,0
(null),1274148,269118,2,1,20157,0
(null),1274148,269118,2,1,21596,0
(null),1274148,269118,2,1,23036,0
(null),1274148,269118,2,1,18446744073709551615,0
(null),1274148,269118,3,1,0,0
(null),1274148,269118,3,1,44,0
(null),1274148,269118,3,1,87,0
(null),1274148,269118,3,1,89,0
(null),1274148,269118,3,1,134,0
(null),1274148,269118,3,1,179,0
(null),1274148,269118,3,1,1439,0
(null),1274148,269118,3,1,2879,0
(null),1274148,269118,3,1,4319,0
(null),1274148,269118,3,1,5759,0
(null),1274148,269118,3,1,7198,0
(null),1274148,269118,3,1,8638,0
(null),1274148,269118,3,1,10078,0
(null),1274148,269118,3,1,11212,0
(null),1274148,269118,3,1,11518,0
(null),1274148,269118,3,1,12958,0
(null),1274148,269118,3,1,14397,0
(null),1274148,269118,3,1,15837,0
(null),1274148,269118,3,1,17277,0
(null),1274148,269118,3,1,18717,0
(null),1274148,269118,3,1,20157,0
(null),1274148,269118,3,1,21596,0
(null),1274148,269118,3,1,23036,0
(null),1274148,269118,3,1,18446744073709551615,0
