matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1014951,22560,0,0,0,1014246
(null),1014951,22560,0,0,61,0
(null),1014951,22560,0,0,100,0
(null),1014951,22560,0,0,122,0
(null),1014951,22560,0,0,183,0
(null),1014951,22560,0,0,245,705
(null),1014951,22560,0,0,1960,0
(null),1014951,22560,0,0,3921,0
(null),1014951,22560,0,0,5882,0
(null),1014951,22560,0,0,7843,0
(null),1014951,22560,0,0,9804,0
(null),1014951,22560,0,0,11764,0
(null),1014951,22560,0,0,12878,0
(null),1014951,22560,0,0,13725,0
(null),1014951,22560,0,0,15686,0
(null),1014951,22560,0,0,17647,0
(null),1014951,22560,0,0,19608,0
(null),1014951,22560,0,0,21569,0
(null),1014951,22560,0,0,23529,0
(null),1014951,22560,0,0,25490,0
(null),1014951,22560,0,0,27451,0
(null),1014951,22560,0,0,29412,0
(null),1014951,22560,0,0,31373,0
(null),1014951,22560,0,0,18446744073709551615,0
(null),1014951,22560,0,1,0,1014246
(null),1014951,22560,0,1,61,0
(null),1014951,22560,0,1,100,0
(null),1014951,22560,0,1,122,0
(null),1014951,22560,0,1,183,0
(null),1014951,22560,0,1,245,705
(null),1014951,22560,0,1,1960,0
(null),1014951,22560,0,1,3921,0
(null),1014951,22560,0,1,5882,0
(null),1014951,22560,0,1,7843,0
(null),1014951,22560,0,1,9804,0
(null),1014951,22560,0,1,11764,0
(null),1014951,22560,0,1,12878,0
(null),1014951,22560,0,1,13725,0
(null),1014951,22560,0,1,15686,0
(null),1014951,22560,0,1,17647,0
(null),1014951,22560,0,1,19608,0
(null),1014951,22560,0,1,21569,0
(null),1014951,22560,0,1,23529,0
(null),1014951,22560,0,1,25490,0
(null),1014951,22560,0,1,27451,0
(null),1014951,22560,0,1,29412,0
(null),1014951,22560,0,1,31373,0
(null),1014951,22560,0,1,18446744073709551615,0
(null),1014951,22560,1,1,0,0
(null),1014951,22560,1,1,61,0
(null),1014951,22560,1,1,100,0
(null),1014951,22560,1,1,122,0
(null),1014951,22560,1,1,183,0
(null),1014951,22560,1,1,245,0
(null),1014951,22560,1,1,1960,0
(null),1014951,22560,1,1,3921,0
(null),1014951,22560,1,1,5882,0
(null),1014951,22560,1,1,7843,0
(null),1014951,22560,1,1,9804,0
(null),1014951,22560,1,1,11764,0
(null),1014951,22560,1,1,12878,0
(null),1014951,22560,1,1,13725,0
(null),1014951,22560,1,1,15686,0
(null),1014951,22560,1,1,17647,0
(null),1014951,22560,1,1,19608,0
(null),1014951,22560,1,1,21569,0
(null),1014951,22560,1,1,23529,0
(null),1014951,22560,1,1,25490,0
(null),1014951,22560,1,1,27451,0
(null),1014951,22560,1,1,29412,0
(null),1014951,22560,1,1,31373,0
(null),1014951,22560,1,1,18446744073709551615,0
(null),1014951,22560,2,1,0,0
(null),1014951,22560,2,1,61,0
(null),1014951,22560,2,1,100,0
(null),1014951,22560,2,1,122,0
(null),1014951,22560,2,1,183,0
(null),1014951,22560,2,1,245,0
(null),1014951,22560,2,1,1960,0
(null),1014951,22560,2,1,3921,0
(null),1014951,22560,2,1,5882,0
(null),1014951,22560,2,1,7843,0
(null),1014951,22560,2,1,9804,0
(null),1014951,22560,2,1,11764,0
(null),1014951,22560,2,1,12878,0
(null),1014951,22560,2,1,13725,0
(null),1014951,22560,2,1,15686,0
(null),1014951,22560,2,1,17647,0
(null),1014951,22560,2,1,19608,0
(null),1014951,22560,2,1,21569,0
(null),1014951,22560,2,1,23529,0
(null),1014951,22560,2,1,25490,0
(null),1014951,22560,2,1,27451,0
(null),1014951,22560,2,1,29412,0
(null),1014951,22560,2,1,31373,0
(null),1014951,22560,2,1,18446744073709551615,0
(null),1014951,22560,3,1,0,0
(null),1014951,22560,3,1,61,0
(null),1014951,22560,3,1,100,0
(null),1014951,22560,3,1,122,0
(null),1014951,22560,3,1,183,0
(null),1014951,22560,3,1,245,0
(null),1014951,22560,3,1,1960,0
(null),1014951,22560,3,1,3921,0
(null),1014951,22560,3,1,5882,0
(null),1014951,22560,3,1,7843,0
(null),1014951,22560,3,1,9804,0
(null),1014951,22560,3,1,11764,0
(null),1014951,22560,3,1,12878,0
(null),1014951,22560,3,1,13725,0
(null),1014951,22560,3,1,15686,0
(null),1014951,22560,3,1,17647,0
(null),1014951,22560,3,1,19608,0
(null),1014951,22560,3,1,21569,0
(null),1014951,22560,3,1,23529,0
(null),1014951,22560,3,1,25490,0
(null),1014951,22560,3,1,27451,0
(null),1014951,22560,3,1,29412,0
(null),1014951,22560,3,1,31373,0
(null),1014951,22560,3,1,18446744073709551615,0
