matrix,nnz,nrows,cache_id,shared,mindist,count
(null),2081063,29067,0,0,0,784704
(null),2081063,29067,0,0,62,199896
(null),2081063,29067,0,0,101,83969
(null),2081063,29067,0,0,124,184599
(null),2081063,29067,0,0,186,135799
(null),2081063,29067,0,0,249,692096
(null),2081063,29067,0,0,1992,0
(null),2081063,29067,0,0,3984,0
(null),2081063,29067,0,0,5977,0
(null),2081063,29067,0,0,7969,0
(null),2081063,29067,0,0,9961,0
(null),2081063,29067,0,0,11954,0
(null),2081063,29067,0,0,12962,0
(null),2081063,29067,0,0,13946,0
(null),2081063,29067,0,0,15938,0
(null),2081063,29067,0,0,17931,0
(null),2081063,29067,0,0,19923,0
(null),2081063,29067,0,0,21915,0
(null),2081063,29067,0,0,23908,0
(null),2081063,29067,0,0,25900,0
(null),2081063,29067,0,0,27892,0
(null),2081063,29067,0,0,29885,0
(null),2081063,29067,0,0,31877,0
(null),2081063,29067,0,0,18446744073709551615,0
(null),2081063,29067,0,1,0,784704
(null),2081063,29067,0,1,62,199896
(null),2081063,29067,0,1,101,83969
(null),2081063,29067,0,1,124,184599
(null),2081063,29067,0,1,186,135799
(null),2081063,29067,0,1,249,692096
(null),2081063,29067,0,1,1992,0
(null),2081063,29067,0,1,3984,0
(null),2081063,29067,0,1,5977,0
(null),2081063,29067,0,1,7969,0
(null),2081063,29067,0,1,9961,0
(null),2081063,29067,0,1,11954,0
(null),2081063,29067,0,1,12962,0
(null),2081063,29067,0,1,13946,0
(null),2081063,29067,0,1,15938,0
(null),2081063,29067,0,1,17931,0
(null),2081063,29067,0,1,19923,0
(null),2081063,29067,0,1,21915,0
(null),2081063,29067,0,1,23908,0
(null),2081063,29067,0,1,25900,0
(null),2081063,29067,0,1,27892,0
(null),2081063,29067,0,1,29885,0
(null),2081063,29067,0,1,31877,0
(null),2081063,29067,0,1,18446744073709551615,0
(null),2081063,29067,1,1,0,0
(null),2081063,29067,1,1,62,0
(null),2081063,29067,1,1,101,0
(null),2081063,29067,1,1,124,0
(null),2081063,29067,1,1,186,0
(null),2081063,29067,1,1,249,0
(null),2081063,29067,1,1,1992,0
(null),2081063,29067,1,1,3984,0
(null),2081063,29067,1,1,5977,0
(null),2081063,29067,1,1,7969,0
(null),2081063,29067,1,1,9961,0
(null),2081063,29067,1,1,11954,0
(null),2081063,29067,1,1,12962,0
(null),2081063,29067,1,1,13946,0
(null),2081063,29067,1,1,15938,0
(null),2081063,29067,1,1,17931,0
(null),2081063,29067,1,1,19923,0
(null),2081063,29067,1,1,21915,0
(null),2081063,29067,1,1,23908,0
(null),2081063,29067,1,1,25900,0
(null),2081063,29067,1,1,27892,0
(null),2081063,29067,1,1,29885,0
(null),2081063,29067,1,1,31877,0
(null),2081063,29067,1,1,18446744073709551615,0
(null),2081063,29067,2,1,0,0
(null),2081063,29067,2,1,62,0
(null),2081063,29067,2,1,101,0
(null),2081063,29067,2,1,124,0
(null),2081063,29067,2,1,186,0
(null),2081063,29067,2,1,249,0
(null),2081063,29067,2,1,1992,0
(null),2081063,29067,2,1,3984,0
(null),2081063,29067,2,1,5977,0
(null),2081063,29067,2,1,7969,0
(null),2081063,29067,2,1,9961,0
(null),2081063,29067,2,1,11954,0
(null),2081063,29067,2,1,12962,0
(null),2081063,29067,2,1,13946,0
(null),2081063,29067,2,1,15938,0
(null),2081063,29067,2,1,17931,0
(null),2081063,29067,2,1,19923,0
(null),2081063,29067,2,1,21915,0
(null),2081063,29067,2,1,23908,0
(null),2081063,29067,2,1,25900,0
(null),2081063,29067,2,1,27892,0
(null),2081063,29067,2,1,29885,0
(null),2081063,29067,2,1,31877,0
(null),2081063,29067,2,1,18446744073709551615,0
(null),2081063,29067,3,1,0,0
(null),2081063,29067,3,1,62,0
(null),2081063,29067,3,1,101,0
(null),2081063,29067,3,1,124,0
(null),2081063,29067,3,1,186,0
(null),2081063,29067,3,1,249,0
(null),2081063,29067,3,1,1992,0
(null),2081063,29067,3,1,3984,0
(null),2081063,29067,3,1,5977,0
(null),2081063,29067,3,1,7969,0
(null),2081063,29067,3,1,9961,0
(null),2081063,29067,3,1,11954,0
(null),2081063,29067,3,1,12962,0
(null),2081063,29067,3,1,13946,0
(null),2081063,29067,3,1,15938,0
(null),2081063,29067,3,1,17931,0
(null),2081063,29067,3,1,19923,0
(null),2081063,29067,3,1,21915,0
(null),2081063,29067,3,1,23908,0
(null),2081063,29067,3,1,25900,0
(null),2081063,29067,3,1,27892,0
(null),2081063,29067,3,1,29885,0
(null),2081063,29067,3,1,31877,0
(null),2081063,29067,3,1,18446744073709551615,0
