matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1916152,22835,36,0,0,254798
(null),1916152,22835,36,0,64,3369
(null),1916152,22835,36,0,128,172
(null),1916152,22835,36,0,192,65
(null),1916152,22835,36,0,256,105
(null),1916152,22835,36,0,2048,35
(null),1916152,22835,36,0,4096,4109
(null),1916152,22835,36,0,6144,0
(null),1916152,22835,36,0,8192,0
(null),1916152,22835,36,0,10240,0
(null),1916152,22835,36,0,12288,0
(null),1916152,22835,36,0,14336,0
(null),1916152,22835,36,0,16384,0
(null),1916152,22835,36,0,18432,0
(null),1916152,22835,36,0,20480,0
(null),1916152,22835,36,0,22528,0
(null),1916152,22835,36,0,24576,0
(null),1916152,22835,36,0,26624,0
(null),1916152,22835,36,0,28672,0
(null),1916152,22835,36,0,30720,0
(null),1916152,22835,36,0,32768,0
(null),1916152,22835,36,0,18446744073709551615,0
(null),1916152,22835,33,0,0,225767
(null),1916152,22835,33,0,64,3207
(null),1916152,22835,33,0,128,157
(null),1916152,22835,33,0,192,44
(null),1916152,22835,33,0,256,85
(null),1916152,22835,33,0,2048,3674
(null),1916152,22835,33,0,4096,0
(null),1916152,22835,33,0,6144,0
(null),1916152,22835,33,0,8192,0
(null),1916152,22835,33,0,10240,0
(null),1916152,22835,33,0,12288,0
(null),1916152,22835,33,0,14336,0
(null),1916152,22835,33,0,16384,0
(null),1916152,22835,33,0,18432,0
(null),1916152,22835,33,0,20480,0
(null),1916152,22835,33,0,22528,0
(null),1916152,22835,33,0,24576,0
(null),1916152,22835,33,0,26624,0
(null),1916152,22835,33,0,28672,0
(null),1916152,22835,33,0,30720,0
(null),1916152,22835,33,0,32768,0
(null),1916152,22835,33,0,18446744073709551615,0
(null),1916152,22835,35,0,0,156910
(null),1916152,22835,35,0,64,2117
(null),1916152,22835,35,0,128,125
(null),1916152,22835,35,0,192,26
(null),1916152,22835,35,0,256,65
(null),1916152,22835,35,0,2048,2565
(null),1916152,22835,35,0,4096,0
(null),1916152,22835,35,0,6144,0
(null),1916152,22835,35,0,8192,0
