matrix,nnz,nrows,cache_id,shared,mindist,count
(null),3387388,403394,15,0,0,207549
(null),3387388,403394,15,0,64,493
(null),3387388,403394,15,0,128,361
(null),3387388,403394,15,0,192,390
(null),3387388,403394,15,0,256,8839
(null),3387388,403394,15,0,2048,8186
(null),3387388,403394,15,0,4096,6219
(null),3387388,403394,15,0,6144,4047
(null),3387388,403394,15,0,8192,2238
(null),3387388,403394,15,0,10240,6424
(null),3387388,403394,15,0,12288,0
(null),3387388,403394,15,0,14336,0
(null),3387388,403394,15,0,16384,0
(null),3387388,403394,15,0,18432,0
(null),3387388,403394,15,0,20480,0
(null),3387388,403394,15,0,22528,0
(null),3387388,403394,15,0,24576,0
(null),3387388,403394,15,0,26624,0
(null),3387388,403394,15,0,28672,0
(null),3387388,403394,15,0,30720,0
(null),3387388,403394,15,0,32768,0
(null),3387388,403394,15,0,18446744073709551615,0
(null),3387388,403394,19,0,0,199052
(null),3387388,403394,19,0,64,438
(null),3387388,403394,19,0,128,390
(null),3387388,403394,19,0,192,393
(null),3387388,403394,19,0,256,8458
(null),3387388,403394,19,0,2048,7736
(null),3387388,403394,19,0,4096,6305
(null),3387388,403394,19,0,6144,4504
(null),3387388,403394,19,0,8192,2771
(null),3387388,403394,19,0,10240,7067
(null),3387388,403394,19,0,12288,0
(null),3387388,403394,19,0,14336,0
(null),3387388,403394,19,0,16384,0
(null),3387388,403394,19,0,18432,0
(null),3387388,403394,19,0,20480,0
(null),3387388,403394,19,0,22528,0
(null),3387388,403394,19,0,24576,0
(null),3387388,403394,19,0,26624,0
(null),3387388,403394,19,0,28672,0
(null),3387388,403394,19,0,30720,0
(null),3387388,403394,19,0,32768,0
(null),3387388,403394,19,0,18446744073709551615,0
(null),3387388,403394,31,0,0,178098
(null),3387388,403394,31,0,64,388
(null),3387388,403394,31,0,128,337
(null),3387388,403394,31,0,192,320
(null),3387388,403394,31,0,256,6823
(null),3387388,403394,31,0,2048,6521
(null),3387388,403394,31,0,4096,5627
(null),3387388,403394,31,0,6144,4766
(null),3387388,403394,31,0,8192,3846
(null),3387388,403394,31,0,10240,2788
(null),3387388,403394,31,0,12288,6906
(null),3387388,403394,31,0,14336,0
(null),3387388,403394,31,0,16384,0
(null),3387388,403394,31,0,18432,0
(null),3387388,403394,31,0,20480,0
(null),3387388,403394,31,0,22528,0
(null),3387388,403394,31,0,24576,0
(null),3387388,403394,31,0,26624,0
(null),3387388,403394,31,0,28672,0
(null),3387388,403394,31,0,30720,0
(null),3387388,403394,31,0,32768,0
(null),3387388,403394,31,0,18446744073709551615,0
(null),3387388,403394,29,0,0,181884
(null),3387388,403394,29,0,64,454
(null),3387388,403394,29,0,128,280
(null),3387388,403394,29,0,192,304
(null),3387388,403394,29,0,256,7142
(null),3387388,403394,29,0,2048,6817
(null),3387388,403394,29,0,4096,5861
(null),3387388,403394,29,0,6144,4945
(null),3387388,403394,29,0,8192,3858
(null),3387388,403394,29,0,10240,2765
(null),3387388,403394,29,0,12288,6868
(null),3387388,403394,29,0,14336,0
(null),3387388,403394,29,0,16384,0
(null),3387388,403394,29,0,18432,0
(null),3387388,403394,29,0,20480,0
(null),3387388,403394,29,0,22528,0
(null),3387388,403394,29,0,24576,0
(null),3387388,403394,29,0,26624,0
(null),3387388,403394,29,0,28672,0
(null),3387388,403394,29,0,30720,0
(null),3387388,403394,29,0,32768,0
(null),3387388,403394,29,0,18446744073709551615,0
(null),3387388,403394,32,0,0,174812
(null),3387388,403394,32,0,64,401
(null),3387388,403394,32,0,128,290
(null),3387388,403394,32,0,192,246
(null),3387388,403394,32,0,256,6743
(null),3387388,403394,32,0,2048,6457
(null),3387388,403394,32,0,4096,5469
(null),3387388,403394,32,0,6144,4833
(null),3387388,403394,32,0,8192,3965
(null),3387388,403394,32,0,10240,2866
(null),3387388,403394,32,0,12288,6984
(null),3387388,403394,32,0,14336,0
(null),3387388,403394,32,0,16384,0
(null),3387388,403394,32,0,18432,0
(null),3387388,403394,32,0,20480,0
(null),3387388,403394,32,0,22528,0
(null),3387388,403394,32,0,24576,0
(null),3387388,403394,32,0,26624,0
(null),3387388,403394,32,0,28672,0
(null),3387388,403394,32,0,30720,0
(null),3387388,403394,32,0,32768,0
(null),3387388,403394,32,0,18446744073709551615,0
(null),3387388,403394,30,0,0,178295
(null),3387388,403394,30,0,64,481
(null),3387388,403394,30,0,128,358
(null),3387388,403394,30,0,192,320
(null),3387388,403394,30,0,256,7389
(null),3387388,403394,30,0,2048,6632
(null),3387388,403394,30,0,4096,5705
(null),3387388,403394,30,0,6144,4650
(null),3387388,403394,30,0,8192,3817
(null),3387388,403394,30,0,10240,2752
(null),3387388,403394,30,0,12288,6795
(null),3387388,403394,30,0,14336,0
(null),3387388,403394,30,0,16384,0
(null),3387388,403394,30,0,18432,0
(null),3387388,403394,30,0,20480,0
(null),3387388,403394,30,0,22528,0
(null),3387388,403394,30,0,24576,0
(null),3387388,403394,30,0,26624,0
(null),3387388,403394,30,0,28672,0
(null),3387388,403394,30,0,30720,0
(null),3387388,403394,30,0,32768,0
(null),3387388,403394,30,0,18446744073709551615,0
(null),3387388,403394,25,0,0,192533
(null),3387388,403394,25,0,64,389
(null),3387388,403394,25,0,128,316
(null),3387388,403394,25,0,192,319
(null),3387388,403394,25,0,256,7136
(null),3387388,403394,25,0,2048,6873
(null),3387388,403394,25,0,4096,5691
(null),3387388,403394,25,0,6144,4671
(null),3387388,403394,25,0,8192,3460
(null),3387388,403394,25,0,10240,2284
(null),3387388,403394,25,0,12288,6344
(null),3387388,403394,25,0,14336,0
(null),3387388,403394,25,0,16384,0
(null),3387388,403394,25,0,18432,0
(null),3387388,403394,25,0,20480,0
(null),3387388,403394,25,0,22528,0
(null),3387388,403394,25,0,24576,0
(null),3387388,403394,25,0,26624,0
(null),3387388,403394,25,0,28672,0
(null),3387388,403394,25,0,30720,0
(null),3387388,403394,25,0,32768,0
(null),3387388,403394,25,0,18446744073709551615,0
(null),3387388,403394,34,0,0,177222
(null),3387388,403394,34,0,64,379
(null),3387388,403394,34,0,128,323
(null),3387388,403394,34,0,192,263
(null),3387388,403394,34,0,256,6341
(null),3387388,403394,34,0,2048,6148
(null),3387388,403394,34,0,4096,5280
(null),3387388,403394,34,0,6144,4423
(null),3387388,403394,34,0,8192,3603
(null),3387388,403394,34,0,10240,2704
(null),3387388,403394,34,0,12288,7124
(null),3387388,403394,34,0,14336,0
(null),3387388,403394,34,0,16384,0
(null),3387388,403394,34,0,18432,0
(null),3387388,403394,34,0,20480,0
(null),3387388,403394,34,0,22528,0
(null),3387388,403394,34,0,24576,0
(null),3387388,403394,34,0,26624,0
(null),3387388,403394,34,0,28672,0
(null),3387388,403394,34,0,30720,0
(null),3387388,403394,34,0,32768,0
(null),3387388,403394,34,0,18446744073709551615,0
(null),3387388,403394,22,0,0,194948
(null),3387388,403394,22,0,64,381
(null),3387388,403394,22,0,128,361
(null),3387388,403394,22,0,192,294
(null),3387388,403394,22,0,256,8061
(null),3387388,403394,22,0,2048,7497
(null),3387388,403394,22,0,4096,6010
(null),3387388,403394,22,0,6144,4936
(null),3387388,403394,22,0,8192,3291
(null),3387388,403394,22,0,10240,1943
(null),3387388,403394,22,0,12288,5723
(null),3387388,403394,22,0,14336,0
(null),3387388,403394,22,0,16384,0
(null),3387388,403394,22,0,18432,0
(null),3387388,403394,22,0,20480,0
(null),3387388,403394,22,0,22528,0
(null),3387388,403394,22,0,24576,0
(null),3387388,403394,22,0,26624,0
(null),3387388,403394,22,0,28672,0
(null),3387388,403394,22,0,30720,0
(null),3387388,403394,22,0,32768,0
(null),3387388,403394,22,0,18446744073709551615,0
(null),3387388,403394,24,0,0,193541
(null),3387388,403394,24,0,64,416
(null),3387388,403394,24,0,128,291
(null),3387388,403394,24,0,192,329
(null),3387388,403394,24,0,256,7287
(null),3387388,403394,24,0,2048,7007
(null),3387388,403394,24,0,4096,5851
(null),3387388,403394,24,0,6144,4707
(null),3387388,403394,24,0,8192,3599
(null),3387388,403394,24,0,10240,2136
(null),3387388,403394,24,0,12288,6094
(null),3387388,403394,24,0,14336,0
(null),3387388,403394,24,0,16384,0
(null),3387388,403394,24,0,18432,0
(null),3387388,403394,24,0,20480,0
(null),3387388,403394,24,0,22528,0
(null),3387388,403394,24,0,24576,0
(null),3387388,403394,24,0,26624,0
(null),3387388,403394,24,0,28672,0
(null),3387388,403394,24,0,30720,0
(null),3387388,403394,24,0,32768,0
(null),3387388,403394,24,0,18446744073709551615,0
(null),3387388,403394,28,0,0,186124
(null),3387388,403394,28,0,64,379
