matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1615400,326186,38,0,0,54229
(null),1615400,326186,38,0,64,0
(null),1615400,326186,38,0,128,0
(null),1615400,326186,38,0,192,0
(null),1615400,326186,38,0,256,1299
(null),1615400,326186,38,0,2048,0
(null),1615400,326186,38,0,4096,0
(null),1615400,326186,38,0,6144,0
(null),1615400,326186,38,0,8192,0
(null),1615400,326186,38,0,10240,0
(null),1615400,326186,38,0,12288,0
(null),1615400,326186,38,0,14336,0
(null),1615400,326186,38,0,16384,0
(null),1615400,326186,38,0,18432,0
(null),1615400,326186,38,0,20480,0
(null),1615400,326186,38,0,22528,0
(null),1615400,326186,38,0,24576,0
(null),1615400,326186,38,0,26624,0
(null),1615400,326186,38,0,28672,0
(null),1615400,326186,38,0,30720,0
(null),1615400,326186,38,0,32768,0
(null),1615400,326186,38,0,18446744073709551615,0
(null),1615400,326186,28,0,0,143594
(null),1615400,326186,28,0,64,400
(null),1615400,326186,28,0,128,145
(null),1615400,326186,28,0,192,101
(null),1615400,326186,28,0,256,1344
(null),1615400,326186,28,0,2048,1087
(null),1615400,326186,28,0,4096,5364
(null),1615400,326186,28,0,6144,0
(null),1615400,326186,28,0,8192,0
(null),1615400,326186,28,0,10240,0
(null),1615400,326186,28,0,12288,0
(null),1615400,326186,28,0,14336,0
(null),1615400,326186,28,0,16384,0
(null),1615400,326186,28,0,18432,0
(null),1615400,326186,28,0,20480,0
(null),1615400,326186,28,0,22528,0
(null),1615400,326186,28,0,24576,0
(null),1615400,326186,28,0,26624,0
(null),1615400,326186,28,0,28672,0
(null),1615400,326186,28,0,30720,0
(null),1615400,326186,28,0,32768,0
(null),1615400,326186,28,0,18446744073709551615,0
(null),1615400,326186,15,0,0,134252
(null),1615400,326186,15,0,64,244
(null),1615400,326186,15,0,128,102
(null),1615400,326186,15,0,192,65
(null),1615400,326186,15,0,256,1047
(null),1615400,326186,15,0,2048,853
(null),1615400,326186,15,0,4096,4977
(null),1615400,326186,15,0,6144,0
(null),1615400,326186,15,0,8192,0
(null),1615400,326186,15,0,10240,0
(null),1615400,326186,15,0,12288,0
(null),1615400,326186,15,0,14336,0
(null),1615400,326186,15,0,16384,0
(null),1615400,326186,15,0,18432,0
(null),1615400,326186,15,0,20480,0
(null),1615400,326186,15,0,22528,0
(null),1615400,326186,15,0,24576,0
(null),1615400,326186,15,0,26624,0
(null),1615400,326186,15,0,28672,0
(null),1615400,326186,15,0,30720,0
(null),1615400,326186,15,0,32768,0
(null),1615400,326186,15,0,18446744073709551615,0
(null),1615400,326186,16,0,0,132406
(null),1615400,326186,16,0,64,265
(null),1615400,326186,16,0,128,129
