matrix,nnz,nrows,cache_id,shared,mindist,count
(null),774472352,27993600,40,0,0,49169274
(null),774472352,27993600,40,0,64,0
(null),774472352,27993600,40,0,128,0
(null),774472352,27993600,40,0,192,0
(null),774472352,27993600,40,0,256,109800
(null),774472352,27993600,40,0,2048,0
(null),774472352,27993600,40,0,4096,0
(null),774472352,27993600,40,0,6144,0
(null),774472352,27993600,40,0,8192,0
(null),774472352,27993600,40,0,10240,0
(null),774472352,27993600,40,0,12288,0
(null),774472352,27993600,40,0,14336,0
(null),774472352,27993600,40,0,16384,0
(null),774472352,27993600,40,0,18432,0
(null),774472352,27993600,40,0,20480,0
(null),774472352,27993600,40,0,22528,0
(null),774472352,27993600,40,0,24576,0
(null),774472352,27993600,40,0,26624,0
(null),774472352,27993600,40,0,28672,0
(null),774472352,27993600,40,0,30720,0
(null),774472352,27993600,40,0,32768,875749
(null),774472352,27993600,40,0,18446744073709551615,0
(null),774472352,27993600,47,0,0,49160853
(null),774472352,27993600,47,0,64,0
(null),774472352,27993600,47,0,128,0
(null),774472352,27993600,47,0,192,0
(null),774472352,27993600,47,0,256,109770
(null),774472352,27993600,47,0,2048,0
(null),774472352,27993600,47,0,4096,0
(null),774472352,27993600,47,0,6144,0
(null),774472352,27993600,47,0,8192,0
(null),774472352,27993600,47,0,10240,0
(null),774472352,27993600,47,0,12288,0
(null),774472352,27993600,47,0,14336,0
(null),774472352,27993600,47,0,16384,0
(null),774472352,27993600,47,0,18432,0
(null),774472352,27993600,47,0,20480,0
(null),774472352,27993600,47,0,22528,0
(null),774472352,27993600,47,0,24576,0
(null),774472352,27993600,47,0,26624,0
(null),774472352,27993600,47,0,28672,0
(null),774472352,27993600,47,0,30720,0
(null),774472352,27993600,47,0,32768,875584
(null),774472352,27993600,47,0,18446744073709551615,0
(null),774472352,27993600,37,0,0,49169286
(null),774472352,27993600,37,0,64,0
(null),774472352,27993600,37,0,128,0
(null),774472352,27993600,37,0,192,0
(null),774472352,27993600,37,0,256,109803
(null),774472352,27993600,37,0,2048,0
(null),774472352,27993600,37,0,4096,0
(null),774472352,27993600,37,0,6144,0
(null),774472352,27993600,37,0,8192,0
(null),774472352,27993600,37,0,10240,0
(null),774472352,27993600,37,0,12288,0
(null),774472352,27993600,37,0,14336,0
(null),774472352,27993600,37,0,16384,0
(null),774472352,27993600,37,0,18432,0
(null),774472352,27993600,37,0,20480,0
(null),774472352,27993600,37,0,22528,0
(null),774472352,27993600,37,0,24576,0
(null),774472352,27993600,37,0,26624,0
(null),774472352,27993600,37,0,28672,0
(null),774472352,27993600,37,0,30720,0
(null),774472352,27993600,37,0,32768,875752
(null),774472352,27993600,37,0,18446744073709551615,0
(null),774472352,27993600,42,0,0,49169286
(null),774472352,27993600,42,0,64,0
(null),774472352,27993600,42,0,128,0
(null),774472352,27993600,42,0,192,0
(null),774472352,27993600,42,0,256,109803
