matrix,nnz,nrows,cache_id,shared,mindist,count
(null),2449194,75468,35,0,0,127127
(null),2449194,75468,35,0,64,8270
(null),2449194,75468,35,0,128,532
(null),2449194,75468,35,0,192,142
(null),2449194,75468,35,0,256,241
(null),2449194,75468,35,0,2048,2313
(null),2449194,75468,35,0,4096,0
(null),2449194,75468,35,0,6144,0
(null),2449194,75468,35,0,8192,0
(null),2449194,75468,35,0,10240,0
(null),2449194,75468,35,0,12288,0
(null),2449194,75468,35,0,14336,0
(null),2449194,75468,35,0,16384,0
(null),2449194,75468,35,0,18432,0
(null),2449194,75468,35,0,20480,0
(null),2449194,75468,35,0,22528,0
(null),2449194,75468,35,0,24576,0
(null),2449194,75468,35,0,26624,0
(null),2449194,75468,35,0,28672,0
(null),2449194,75468,35,0,30720,0
(null),2449194,75468,35,0,32768,0
(null),2449194,75468,35,0,18446744073709551615,0
(null),2449194,75468,0,0,0,86208
(null),2449194,75468,0,0,64,751
(null),2449194,75468,0,0,128,87
(null),2449194,75468,0,0,192,22
(null),2449194,75468,0,0,256,1798
(null),2449194,75468,0,0,2048,0
(null),2449194,75468,0,0,4096,0
(null),2449194,75468,0,0,6144,0
(null),2449194,75468,0,0,8192,0
(null),2449194,75468,0,0,10240,0
(null),2449194,75468,0,0,12288,0
(null),2449194,75468,0,0,14336,0
(null),2449194,75468,0,0,16384,0
(null),2449194,75468,0,0,18432,0
(null),2449194,75468,0,0,20480,0
(null),2449194,75468,0,0,22528,0
(null),2449194,75468,0,0,24576,0
(null),2449194,75468,0,0,26624,0
(null),2449194,75468,0,0,28672,0
(null),2449194,75468,0,0,30720,0
(null),2449194,75468,0,0,32768,0
(null),2449194,75468,0,0,18446744073709551615,0
(null),2449194,75468,37,0,0,127663
(null),2449194,75468,37,0,64,788
(null),2449194,75468,37,0,128,98
(null),2449194,75468,37,0,192,25
(null),2449194,75468,37,0,256,175
(null),2449194,75468,37,0,2048,2217
(null),2449194,75468,37,0,4096,0
(null),2449194,75468,37,0,6144,0
(null),2449194,75468,37,0,8192,0
(null),2449194,75468,37,0,10240,0
(null),2449194,75468,37,0,12288,0
(null),2449194,75468,37,0,14336,0
(null),2449194,75468,37,0,16384,0
(null),2449194,75468,37,0,18432,0
(null),2449194,75468,37,0,20480,0
(null),2449194,75468,37,0,22528,0
(null),2449194,75468,37,0,24576,0
(null),2449194,75468,37,0,26624,0
(null),2449194,75468,37,0,28672,0
(null),2449194,75468,37,0,30720,0
(null),2449194,75468,37,0,32768,0
(null),2449194,75468,37,0,18446744073709551615,0
(null),2449194,75468,9,0,0,205788
(null),2449194,75468,9,0,64,11048
(null),2449194,75468,9,0,128,1569
(null),2449194,75468,9,0,192,483
(null),2449194,75468,9,0,256,774
(null),2449194,75468,9,0,2048,3661
(null),2449194,75468,9,0,4096,0
(null),2449194,75468,9,0,6144,0
(null),2449194,75468,9,0,8192,0
(null),2449194,75468,9,0,10240,0
(null),2449194,75468,9,0,12288,0
(null),2449194,75468,9,0,14336,0
(null),2449194,75468,9,0,16384,0
(null),2449194,75468,9,0,18432,0
(null),2449194,75468,9,0,20480,0
(null),2449194,75468,9,0,22528,0
(null),2449194,75468,9,0,24576,0
(null),2449194,75468,9,0,26624,0
(null),2449194,75468,9,0,28672,0
(null),2449194,75468,9,0,30720,0
(null),2449194,75468,9,0,32768,0
(null),2449194,75468,9,0,18446744073709551615,0
(null),2449194,75468,3,0,0,194613
(null),2449194,75468,3,0,64,14674
(null),2449194,75468,3,0,128,4090
(null),2449194,75468,3,0,192,934
(null),2449194,75468,3,0,256,944
(null),2449194,75468,3,0,2048,3862
(null),2449194,75468,3,0,4096,0
(null),2449194,75468,3,0,6144,0
(null),2449194,75468,3,0,8192,0
(null),2449194,75468,3,0,10240,0
(null),2449194,75468,3,0,12288,0
(null),2449194,75468,3,0,14336,0
(null),2449194,75468,3,0,16384,0
(null),2449194,75468,3,0,18432,0
(null),2449194,75468,3,0,20480,0
(null),2449194,75468,3,0,22528,0
(null),2449194,75468,3,0,24576,0
(null),2449194,75468,3,0,26624,0
(null),2449194,75468,3,0,28672,0
(null),2449194,75468,3,0,30720,0
(null),2449194,75468,3,0,32768,0
(null),2449194,75468,3,0,18446744073709551615,0
(null),2449194,75468,43,0,0,92691
(null),2449194,75468,43,0,64,1422
(null),2449194,75468,43,0,128,188
(null),2449194,75468,43,0,192,53
(null),2449194,75468,43,0,256,1884
(null),2449194,75468,43,0,2048,0
(null),2449194,75468,43,0,4096,0
(null),2449194,75468,43,0,6144,0
(null),2449194,75468,43,0,8192,0
(null),2449194,75468,43,0,10240,0
(null),2449194,75468,43,0,12288,0
(null),2449194,75468,43,0,14336,0
(null),2449194,75468,43,0,16384,0
(null),2449194,75468,43,0,18432,0
(null),2449194,75468,43,0,20480,0
(null),2449194,75468,43,0,22528,0
(null),2449194,75468,43,0,24576,0
(null),2449194,75468,43,0,26624,0
(null),2449194,75468,43,0,28672,0
(null),2449194,75468,43,0,30720,0
(null),2449194,75468,43,0,32768,0
(null),2449194,75468,43,0,18446744073709551615,0
(null),2449194,75468,39,0,0,125621
(null),2449194,75468,39,0,64,8238
(null),2449194,75468,39,0,128,765
(null),2449194,75468,39,0,192,203
(null),2449194,75468,39,0,256,402
(null),2449194,75468,39,0,2048,2280
(null),2449194,75468,39,0,4096,0
(null),2449194,75468,39,0,6144,0
(null),2449194,75468,39,0,8192,0
(null),2449194,75468,39,0,10240,0
(null),2449194,75468,39,0,12288,0
(null),2449194,75468,39,0,14336,0
(null),2449194,75468,39,0,16384,0
(null),2449194,75468,39,0,18432,0
(null),2449194,75468,39,0,20480,0
(null),2449194,75468,39,0,22528,0
(null),2449194,75468,39,0,24576,0
(null),2449194,75468,39,0,26624,0
(null),2449194,75468,39,0,28672,0
(null),2449194,75468,39,0,30720,0
(null),2449194,75468,39,0,32768,0
(null),2449194,75468,39,0,18446744073709551615,0
(null),2449194,75468,46,0,0,81405
(null),2449194,75468,46,0,64,3896
(null),2449194,75468,46,0,128,323
(null),2449194,75468,46,0,192,79
(null),2449194,75468,46,0,256,1652
(null),2449194,75468,46,0,2048,0
(null),2449194,75468,46,0,4096,0
(null),2449194,75468,46,0,6144,0
(null),2449194,75468,46,0,8192,0
(null),2449194,75468,46,0,10240,0
(null),2449194,75468,46,0,12288,0
(null),2449194,75468,46,0,14336,0
(null),2449194,75468,46,0,16384,0
(null),2449194,75468,46,0,18432,0
(null),2449194,75468,46,0,20480,0
(null),2449194,75468,46,0,22528,0
(null),2449194,75468,46,0,24576,0
(null),2449194,75468,46,0,26624,0
(null),2449194,75468,46,0,28672,0
(null),2449194,75468,46,0,30720,0
(null),2449194,75468,46,0,32768,0
(null),2449194,75468,46,0,18446744073709551615,0
(null),2449194,75468,36,0,0,136546
(null),2449194,75468,36,0,64,8405
(null),2449194,75468,36,0,128,1209
(null),2449194,75468,36,0,192,215
(null),2449194,75468,36,0,256,396
(null),2449194,75468,36,0,2048,2471
(null),2449194,75468,36,0,4096,0
(null),2449194,75468,36,0,6144,0
(null),2449194,75468,36,0,8192,0
(null),2449194,75468,36,0,10240,0
(null),2449194,75468,36,0,12288,0
(null),2449194,75468,36,0,14336,0
(null),2449194,75468,36,0,16384,0
(null),2449194,75468,36,0,18432,0
(null),2449194,75468,36,0,20480,0
(null),2449194,75468,36,0,22528,0
(null),2449194,75468,36,0,24576,0
(null),2449194,75468,36,0,26624,0
(null),2449194,75468,36,0,28672,0
(null),2449194,75468,36,0,30720,0
(null),2449194,75468,36,0,32768,0
(null),2449194,75468,36,0,18446744073709551615,0
(null),2449194,75468,42,0,0,100999
(null),2449194,75468,42,0,64,901
(null),2449194,75468,42,0,128,123
(null),2449194,75468,42,0,192,59
(null),2449194,75468,42,0,256,2028
(null),2449194,75468,42,0,2048,0
(null),2449194,75468,42,0,4096,0
(null),2449194,75468,42,0,6144,0
(null),2449194,75468,42,0,8192,0
(null),2449194,75468,42,0,10240,0
(null),2449194,75468,42,0,12288,0
(null),2449194,75468,42,0,14336,0
(null),2449194,75468,42,0,16384,0
(null),2449194,75468,42,0,18432,0
(null),2449194,75468,42,0,20480,0
(null),2449194,75468,42,0,22528,0
(null),2449194,75468,42,0,24576,0
(null),2449194,75468,42,0,26624,0
(null),2449194,75468,42,0,28672,0
(null),2449194,75468,42,0,30720,0
(null),2449194,75468,42,0,32768,0
(null),2449194,75468,42,0,18446744073709551615,0
(null),2449194,75468,47,0,0,84514
(null),2449194,75468,47,0,64,907
(null),2449194,75468,47,0,128,103
(null),2449194,75468,47,0,192,29
(null),2449194,75468,47,0,256,1571
(null),2449194,75468,47,0,2048,0
(null),2449194,75468,47,0,4096,0
(null),2449194,75468,47,0,6144,0
(null),2449194,75468,47,0,8192,0
(null),2449194,75468,47,0,10240,0
