matrix,nnz,nrows,cache_id,shared,mindist,count
(null),6175377,643994,21,0,0,348288
(null),6175377,643994,21,0,64,1869
(null),6175377,643994,21,0,128,679
(null),6175377,643994,21,0,192,276
(null),6175377,643994,21,0,256,443
(null),6175377,643994,21,0,2048,60
(null),6175377,643994,21,0,4096,418
(null),6175377,643994,21,0,6144,6173
(null),6175377,643994,21,0,8192,0
(null),6175377,643994,21,0,10240,0
(null),6175377,643994,21,0,12288,0
(null),6175377,643994,21,0,14336,0
(null),6175377,643994,21,0,16384,0
(null),6175377,643994,21,0,18432,0
(null),6175377,643994,21,0,20480,0
(null),6175377,643994,21,0,22528,0
(null),6175377,643994,21,0,24576,0
(null),6175377,643994,21,0,26624,0
(null),6175377,643994,21,0,28672,0
(null),6175377,643994,21,0,30720,0
(null),6175377,643994,21,0,32768,0
(null),6175377,643994,21,0,18446744073709551615,0
(null),6175377,643994,24,0,0,332284
(null),6175377,643994,24,0,64,416
(null),6175377,643994,24,0,128,224
(null),6175377,643994,24,0,192,133
(null),6175377,643994,24,0,256,859
(null),6175377,643994,24,0,2048,46
(null),6175377,643994,24,0,4096,392
(null),6175377,643994,24,0,6144,6359
(null),6175377,643994,24,0,8192,0
(null),6175377,643994,24,0,10240,0
(null),6175377,643994,24,0,12288,0
(null),6175377,643994,24,0,14336,0
(null),6175377,643994,24,0,16384,0
(null),6175377,643994,24,0,18432,0
(null),6175377,643994,24,0,20480,0
(null),6175377,643994,24,0,22528,0
(null),6175377,643994,24,0,24576,0
(null),6175377,643994,24,0,26624,0
(null),6175377,643994,24,0,28672,0
(null),6175377,643994,24,0,30720,0
(null),6175377,643994,24,0,32768,0
(null),6175377,643994,24,0,18446744073709551615,0
(null),6175377,643994,12,0,0,348260
(null),6175377,643994,12,0,64,898
(null),6175377,643994,12,0,128,460
(null),6175377,643994,12,0,192,285
(null),6175377,643994,12,0,256,982
(null),6175377,643994,12,0,2048,73
(null),6175377,643994,12,0,4096,398
(null),6175377,643994,12,0,6144,6337
(null),6175377,643994,12,0,8192,0
(null),6175377,643994,12,0,10240,0
(null),6175377,643994,12,0,12288,0
(null),6175377,643994,12,0,14336,0
(null),6175377,643994,12,0,16384,0
(null),6175377,643994,12,0,18432,0
(null),6175377,643994,12,0,20480,0
(null),6175377,643994,12,0,22528,0
(null),6175377,643994,12,0,24576,0
(null),6175377,643994,12,0,26624,0
(null),6175377,643994,12,0,28672,0
(null),6175377,643994,12,0,30720,0
(null),6175377,643994,12,0,32768,0
(null),6175377,643994,12,0,18446744073709551615,0
(null),6175377,643994,35,0,0,323399
(null),6175377,643994,35,0,64,843
(null),6175377,643994,35,0,128,449
(null),6175377,643994,35,0,192,307
(null),6175377,643994,35,0,256,928
(null),6175377,643994,35,0,2048,203
(null),6175377,643994,35,0,4096,411
(null),6175377,643994,35,0,6144,5981
