matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1457506,131072,9,0,0,94702
(null),1457506,131072,9,0,64,15
(null),1457506,131072,9,0,128,5
(null),1457506,131072,9,0,192,2
(null),1457506,131072,9,0,256,1720
(null),1457506,131072,9,0,2048,0
(null),1457506,131072,9,0,4096,0
(null),1457506,131072,9,0,6144,0
(null),1457506,131072,9,0,8192,0
(null),1457506,131072,9,0,10240,0
(null),1457506,131072,9,0,12288,0
(null),1457506,131072,9,0,14336,0
(null),1457506,131072,9,0,16384,0
(null),1457506,131072,9,0,18432,0
(null),1457506,131072,9,0,20480,0
(null),1457506,131072,9,0,22528,0
(null),1457506,131072,9,0,24576,0
(null),1457506,131072,9,0,26624,0
(null),1457506,131072,9,0,28672,0
(null),1457506,131072,9,0,30720,0
(null),1457506,131072,9,0,32768,0
(null),1457506,131072,9,0,18446744073709551615,0
(null),1457506,131072,8,0,0,94902
(null),1457506,131072,8,0,64,12
(null),1457506,131072,8,0,128,3
(null),1457506,131072,8,0,192,2
(null),1457506,131072,8,0,256,1729
(null),1457506,131072,8,0,2048,0
(null),1457506,131072,8,0,4096,0
(null),1457506,131072,8,0,6144,0
(null),1457506,131072,8,0,8192,0
(null),1457506,131072,8,0,10240,0
(null),1457506,131072,8,0,12288,0
(null),1457506,131072,8,0,14336,0
(null),1457506,131072,8,0,16384,0
(null),1457506,131072,8,0,18432,0
(null),1457506,131072,8,0,20480,0
(null),1457506,131072,8,0,22528,0
(null),1457506,131072,8,0,24576,0
(null),1457506,131072,8,0,26624,0
(null),1457506,131072,8,0,28672,0
(null),1457506,131072,8,0,30720,0
(null),1457506,131072,8,0,32768,0
(null),1457506,131072,8,0,18446744073709551615,0
(null),1457506,131072,7,0,0,95283
(null),1457506,131072,7,0,64,11
(null),1457506,131072,7,0,128,3
(null),1457506,131072,7,0,192,3
(null),1457506,131072,7,0,256,1735
(null),1457506,131072,7,0,2048,0
(null),1457506,131072,7,0,4096,0
(null),1457506,131072,7,0,6144,0
(null),1457506,131072,7,0,8192,0
(null),1457506,131072,7,0,10240,0
(null),1457506,131072,7,0,12288,0
(null),1457506,131072,7,0,14336,0
(null),1457506,131072,7,0,16384,0
(null),1457506,131072,7,0,18432,0
