matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1935324,22098,28,0,0,126622
(null),1935324,22098,28,0,64,3
(null),1935324,22098,28,0,128,1
(null),1935324,22098,28,0,192,3
(null),1935324,22098,28,0,256,92
(null),1935324,22098,28,0,2048,2000
(null),1935324,22098,28,0,4096,0
(null),1935324,22098,28,0,6144,0
(null),1935324,22098,28,0,8192,0
(null),1935324,22098,28,0,10240,0
(null),1935324,22098,28,0,12288,0
(null),1935324,22098,28,0,14336,0
(null),1935324,22098,28,0,16384,0
(null),1935324,22098,28,0,18432,0
(null),1935324,22098,28,0,20480,0
(null),1935324,22098,28,0,22528,0
(null),1935324,22098,28,0,24576,0
(null),1935324,22098,28,0,26624,0
(null),1935324,22098,28,0,28672,0
(null),1935324,22098,28,0,30720,0
(null),1935324,22098,28,0,32768,0
(null),1935324,22098,28,0,18446744073709551615,0
(null),1935324,22098,2,0,0,119239
(null),1935324,22098,2,0,64,4
(null),1935324,22098,2,0,128,0
(null),1935324,22098,2,0,192,0
(null),1935324,22098,2,0,256,1938
(null),1935324,22098,2,0,2048,0
(null),1935324,22098,2,0,4096,0
(null),1935324,22098,2,0,6144,0
(null),1935324,22098,2,0,8192,0
(null),1935324,22098,2,0,10240,0
(null),1935324,22098,2,0,12288,0
(null),1935324,22098,2,0,14336,0
(null),1935324,22098,2,0,16384,0
(null),1935324,22098,2,0,18432,0
(null),1935324,22098,2,0,20480,0
(null),1935324,22098,2,0,22528,0
(null),1935324,22098,2,0,24576,0
(null),1935324,22098,2,0,26624,0
(null),1935324,22098,2,0,28672,0
(null),1935324,22098,2,0,30720,0
(null),1935324,22098,2,0,32768,0
(null),1935324,22098,2,0,18446744073709551615,0
(null),1935324,22098,32,0,0,121170
(null),1935324,22098,32,0,64,0
(null),1935324,22098,32,0,128,2
(null),1935324,22098,32,0,192,0
(null),1935324,22098,32,0,256,2005
(null),1935324,22098,32,0,2048,0
(null),1935324,22098,32,0,4096,0
(null),1935324,22098,32,0,6144,0
(null),1935324,22098,32,0,8192,0
(null),1935324,22098,32,0,10240,0
(null),1935324,22098,32,0,12288,0
(null),1935324,22098,32,0,14336,0
(null),1935324,22098,32,0,16384,0
(null),1935324,22098,32,0,18432,0
(null),1935324,22098,32,0,20480,0
(null),1935324,22098,32,0,22528,0
(null),1935324,22098,32,0,24576,0
(null),1935324,22098,32,0,26624,0
(null),1935324,22098,32,0,28672,0
