matrix,nnz,nrows,cache_id,shared,mindist,count
(null),2118662,156317,1,0,0,135021
(null),2118662,156317,1,0,64,122
(null),2118662,156317,1,0,128,183
(null),2118662,156317,1,0,192,73
(null),2118662,156317,1,0,256,435
(null),2118662,156317,1,0,2048,2501
(null),2118662,156317,1,0,4096,0
(null),2118662,156317,1,0,6144,0
(null),2118662,156317,1,0,8192,0
(null),2118662,156317,1,0,10240,0
(null),2118662,156317,1,0,12288,0
(null),2118662,156317,1,0,14336,0
(null),2118662,156317,1,0,16384,0
(null),2118662,156317,1,0,18432,0
(null),2118662,156317,1,0,20480,0
(null),2118662,156317,1,0,22528,0
(null),2118662,156317,1,0,24576,0
(null),2118662,156317,1,0,26624,0
(null),2118662,156317,1,0,28672,0
(null),2118662,156317,1,0,30720,0
(null),2118662,156317,1,0,32768,0
(null),2118662,156317,1,0,18446744073709551615,0
(null),2118662,156317,16,0,0,141320
(null),2118662,156317,16,0,64,2
(null),2118662,156317,16,0,128,7
(null),2118662,156317,16,0,192,157
(null),2118662,156317,16,0,256,688
(null),2118662,156317,16,0,2048,2845
(null),2118662,156317,16,0,4096,0
(null),2118662,156317,16,0,6144,0
(null),2118662,156317,16,0,8192,0
(null),2118662,156317,16,0,10240,0
(null),2118662,156317,16,0,12288,0
(null),2118662,156317,16,0,14336,0
(null),2118662,156317,16,0,16384,0
(null),2118662,156317,16,0,18432,0
(null),2118662,156317,16,0,20480,0
(null),2118662,156317,16,0,22528,0
(null),2118662,156317,16,0,24576,0
(null),2118662,156317,16,0,26624,0
(null),2118662,156317,16,0,28672,0
(null),2118662,156317,16,0,30720,0
(null),2118662,156317,16,0,32768,0
(null),2118662,156317,16,0,18446744073709551615,0
(null),2118662,156317,5,0,0,131220
(null),2118662,156317,5,0,64,122
(null),2118662,156317,5,0,128,164
(null),2118662,156317,5,0,192,47
(null),2118662,156317,5,0,256,291
(null),2118662,156317,5,0,2048,2420
(null),2118662,156317,5,0,4096,0
(null),2118662,156317,5,0,6144,0
(null),2118662,156317,5,0,8192,0
(null),2118662,156317,5,0,10240,0
(null),2118662,156317,5,0,12288,0
(null),2118662,156317,5,0,14336,0
(null),2118662,156317,5,0,16384,0
(null),2118662,156317,5,0,18432,0
(null),2118662,156317,5,0,20480,0
(null),2118662,156317,5,0,22528,0
(null),2118662,156317,5,0,24576,0
(null),2118662,156317,5,0,26624,0
(null),2118662,156317,5,0,28672,0
(null),2118662,156317,5,0,30720,0
(null),2118662,156317,5,0,32768,0
(null),2118662,156317,5,0,18446744073709551615,0
(null),2118662,156317,27,0,0,137489
(null),2118662,156317,27,0,64,248
(null),2118662,156317,27,0,128,95
(null),2118662,156317,27,0,192,79
(null),2118662,156317,27,0,256,262
(null),2118662,156317,27,0,2048,3048
(null),2118662,156317,27,0,4096,0
(null),2118662,156317,27,0,6144,0
(null),2118662,156317,27,0,8192,0
(null),2118662,156317,27,0,10240,0
(null),2118662,156317,27,0,12288,0
(null),2118662,156317,27,0,14336,0
(null),2118662,156317,27,0,16384,0
(null),2118662,156317,27,0,18432,0
(null),2118662,156317,27,0,20480,0
(null),2118662,156317,27,0,22528,0
(null),2118662,156317,27,0,24576,0
(null),2118662,156317,27,0,26624,0
(null),2118662,156317,27,0,28672,0
(null),2118662,156317,27,0,30720,0
(null),2118662,156317,27,0,32768,0
(null),2118662,156317,27,0,18446744073709551615,0
(null),2118662,156317,25,0,0,141446
(null),2118662,156317,25,0,64,604
(null),2118662,156317,25,0,128,56
(null),2118662,156317,25,0,192,33
(null),2118662,156317,25,0,256,295
(null),2118662,156317,25,0,2048,3293
(null),2118662,156317,25,0,4096,0
(null),2118662,156317,25,0,6144,0
(null),2118662,156317,25,0,8192,0
(null),2118662,156317,25,0,10240,0
(null),2118662,156317,25,0,12288,0
(null),2118662,156317,25,0,14336,0
(null),2118662,156317,25,0,16384,0
(null),2118662,156317,25,0,18432,0
(null),2118662,156317,25,0,20480,0
(null),2118662,156317,25,0,22528,0
(null),2118662,156317,25,0,24576,0
(null),2118662,156317,25,0,26624,0
(null),2118662,156317,25,0,28672,0
(null),2118662,156317,25,0,30720,0
(null),2118662,156317,25,0,32768,0
(null),2118662,156317,25,0,18446744073709551615,0
(null),2118662,156317,8,0,0,146862
(null),2118662,156317,8,0,64,486
(null),2118662,156317,8,0,128,5
(null),2118662,156317,8,0,192,4
(null),2118662,156317,8,0,256,275
(null),2118662,156317,8,0,2048,3222
(null),2118662,156317,8,0,4096,0
(null),2118662,156317,8,0,6144,0
(null),2118662,156317,8,0,8192,0
(null),2118662,156317,8,0,10240,0
(null),2118662,156317,8,0,12288,0
(null),2118662,156317,8,0,14336,0
(null),2118662,156317,8,0,16384,0
(null),2118662,156317,8,0,18432,0
(null),2118662,156317,8,0,20480,0
(null),2118662,156317,8,0,22528,0
(null),2118662,156317,8,0,24576,0
(null),2118662,156317,8,0,26624,0
(null),2118662,156317,8,0,28672,0
(null),2118662,156317,8,0,30720,0
(null),2118662,156317,8,0,32768,0
(null),2118662,156317,8,0,18446744073709551615,0
(null),2118662,156317,10,0,0,148803
(null),2118662,156317,10,0,64,98
(null),2118662,156317,10,0,128,73
(null),2118662,156317,10,0,192,257
(null),2118662,156317,10,0,256,679
(null),2118662,156317,10,0,2048,3095
(null),2118662,156317,10,0,4096,0
(null),2118662,156317,10,0,6144,0
(null),2118662,156317,10,0,8192,0
(null),2118662,156317,10,0,10240,0
(null),2118662,156317,10,0,12288,0
(null),2118662,156317,10,0,14336,0
(null),2118662,156317,10,0,16384,0
(null),2118662,156317,10,0,18432,0
(null),2118662,156317,10,0,20480,0
(null),2118662,156317,10,0,22528,0
(null),2118662,156317,10,0,24576,0
(null),2118662,156317,10,0,26624,0
(null),2118662,156317,10,0,28672,0
(null),2118662,156317,10,0,30720,0
(null),2118662,156317,10,0,32768,0
(null),2118662,156317,10,0,18446744073709551615,0
(null),2118662,156317,45,0,0,139657
(null),2118662,156317,45,0,64,411
(null),2118662,156317,45,0,128,60
(null),2118662,156317,45,0,192,15
(null),2118662,156317,45,0,256,402
(null),2118662,156317,45,0,2048,2612
(null),2118662,156317,45,0,4096,0
(null),2118662,156317,45,0,6144,0
(null),2118662,156317,45,0,8192,0
(null),2118662,156317,45,0,10240,0
(null),2118662,156317,45,0,12288,0
(null),2118662,156317,45,0,14336,0
(null),2118662,156317,45,0,16384,0
(null),2118662,156317,45,0,18432,0
(null),2118662,156317,45,0,20480,0
(null),2118662,156317,45,0,22528,0
(null),2118662,156317,45,0,24576,0
(null),2118662,156317,45,0,26624,0
(null),2118662,156317,45,0,28672,0
(null),2118662,156317,45,0,30720,0
(null),2118662,156317,45,0,32768,0
(null),2118662,156317,45,0,18446744073709551615,0
(null),2118662,156317,9,0,0,124274
(null),2118662,156317,9,0,64,214
(null),2118662,156317,9,0,128,14
(null),2118662,156317,9,0,192,1
(null),2118662,156317,9,0,256,13
(null),2118662,156317,9,0,2048,2584
(null),2118662,156317,9,0,4096,0
(null),2118662,156317,9,0,6144,0
(null),2118662,156317,9,0,8192,0
(null),2118662,156317,9,0,10240,0
(null),2118662,156317,9,0,12288,0
(null),2118662,156317,9,0,14336,0
(null),2118662,156317,9,0,16384,0
(null),2118662,156317,9,0,18432,0
