matrix,nnz,nrows,cache_id,shared,mindist,count
(null),5970947,61349,8,0,0,120270
(null),5970947,61349,8,0,64,419
(null),5970947,61349,8,0,128,15204
(null),5970947,61349,8,0,192,41
(null),5970947,61349,8,0,256,446
(null),5970947,61349,8,0,2048,0
(null),5970947,61349,8,0,4096,0
(null),5970947,61349,8,0,6144,0
(null),5970947,61349,8,0,8192,0
(null),5970947,61349,8,0,10240,0
(null),5970947,61349,8,0,12288,0
(null),5970947,61349,8,0,14336,0
(null),5970947,61349,8,0,16384,0
(null),5970947,61349,8,0,18432,0
(null),5970947,61349,8,0,20480,0
(null),5970947,61349,8,0,22528,0
(null),5970947,61349,8,0,24576,0
(null),5970947,61349,8,0,26624,0
(null),5970947,61349,8,0,28672,0
(null),5970947,61349,8,0,30720,0
(null),5970947,61349,8,0,32768,0
(null),5970947,61349,8,0,18446744073709551615,0
(null),5970947,61349,42,0,0,54545
(null),5970947,61349,42,0,64,134
(null),5970947,61349,42,0,128,2394
(null),5970947,61349,42,0,192,3
(null),5970947,61349,42,0,256,550
(null),5970947,61349,42,0,2048,0
(null),5970947,61349,42,0,4096,0
(null),5970947,61349,42,0,6144,0
(null),5970947,61349,42,0,8192,0
(null),5970947,61349,42,0,10240,0
(null),5970947,61349,42,0,12288,0
(null),5970947,61349,42,0,14336,0
(null),5970947,61349,42,0,16384,0
(null),5970947,61349,42,0,18432,0
(null),5970947,61349,42,0,20480,0
(null),5970947,61349,42,0,22528,0
(null),5970947,61349,42,0,24576,0
(null),5970947,61349,42,0,26624,0
(null),5970947,61349,42,0,28672,0
(null),5970947,61349,42,0,30720,0
(null),5970947,61349,42,0,32768,0
(null),5970947,61349,42,0,18446744073709551615,0
(null),5970947,61349,41,0,0,69751
(null),5970947,61349,41,0,64,272
(null),5970947,61349,41,0,128,5593
(null),5970947,61349,41,0,192,3
(null),5970947,61349,41,0,256,546
(null),5970947,61349,41,0,2048,0
(null),5970947,61349,41,0,4096,0
(null),5970947,61349,41,0,6144,0
(null),5970947,61349,41,0,8192,0
(null),5970947,61349,41,0,10240,0
(null),5970947,61349,41,0,12288,0
(null),5970947,61349,41,0,14336,0
(null),5970947,61349,41,0,16384,0
(null),5970947,61349,41,0,18432,0
(null),5970947,61349,41,0,20480,0
(null),5970947,61349,41,0,22528,0
(null),5970947,61349,41,0,24576,0
(null),5970947,61349,41,0,26624,0
(null),5970947,61349,41,0,28672,0
(null),5970947,61349,41,0,30720,0
(null),5970947,61349,41,0,32768,0
(null),5970947,61349,41,0,18446744073709551615,0
(null),5970947,61349,35,0,0,148742
(null),5970947,61349,35,0,64,8624
(null),5970947,61349,35,0,128,11629
(null),5970947,61349,35,0,192,890
(null),5970947,61349,35,0,256,718
(null),5970947,61349,35,0,2048,0
(null),5970947,61349,35,0,4096,0
(null),5970947,61349,35,0,6144,0
(null),5970947,61349,35,0,8192,0
(null),5970947,61349,35,0,10240,0
(null),5970947,61349,35,0,12288,0
(null),5970947,61349,35,0,14336,0
(null),5970947,61349,35,0,16384,0
(null),5970947,61349,35,0,18432,0
(null),5970947,61349,35,0,20480,0
(null),5970947,61349,35,0,22528,0
(null),5970947,61349,35,0,24576,0
(null),5970947,61349,35,0,26624,0
(null),5970947,61349,35,0,28672,0
(null),5970947,61349,35,0,30720,0
(null),5970947,61349,35,0,32768,0
(null),5970947,61349,35,0,18446744073709551615,0
(null),5970947,61349,28,0,0,217398
(null),5970947,61349,28,0,64,984
(null),5970947,61349,28,0,128,31142
(null),5970947,61349,28,0,192,0
(null),5970947,61349,28,0,256,620
(null),5970947,61349,28,0,2048,0
(null),5970947,61349,28,0,4096,0
(null),5970947,61349,28,0,6144,0
(null),5970947,61349,28,0,8192,0
(null),5970947,61349,28,0,10240,0
(null),5970947,61349,28,0,12288,0
(null),5970947,61349,28,0,14336,0
(null),5970947,61349,28,0,16384,0
(null),5970947,61349,28,0,18432,0
(null),5970947,61349,28,0,20480,0
(null),5970947,61349,28,0,22528,0
(null),5970947,61349,28,0,24576,0
(null),5970947,61349,28,0,26624,0
(null),5970947,61349,28,0,28672,0
(null),5970947,61349,28,0,30720,0
(null),5970947,61349,28,0,32768,0
(null),5970947,61349,28,0,18446744073709551615,0
(null),5970947,61349,43,0,0,43281
(null),5970947,61349,43,0,64,43
(null),5970947,61349,43,0,128,42
(null),5970947,61349,43,0,192,11
(null),5970947,61349,43,0,256,467
(null),5970947,61349,43,0,2048,0
(null),5970947,61349,43,0,4096,0
(null),5970947,61349,43,0,6144,0
(null),5970947,61349,43,0,8192,0
(null),5970947,61349,43,0,10240,0
(null),5970947,61349,43,0,12288,0
(null),5970947,61349,43,0,14336,0
(null),5970947,61349,43,0,16384,0
(null),5970947,61349,43,0,18432,0
(null),5970947,61349,43,0,20480,0
(null),5970947,61349,43,0,22528,0
(null),5970947,61349,43,0,24576,0
(null),5970947,61349,43,0,26624,0
(null),5970947,61349,43,0,28672,0
(null),5970947,61349,43,0,30720,0
(null),5970947,61349,43,0,32768,0
(null),5970947,61349,43,0,18446744073709551615,0
(null),5970947,61349,32,0,0,219261
(null),5970947,61349,32,0,64,5113
(null),5970947,61349,32,0,128,25284
(null),5970947,61349,32,0,192,3048
(null),5970947,61349,32,0,256,662
(null),5970947,61349,32,0,2048,0
(null),5970947,61349,32,0,4096,0
(null),5970947,61349,32,0,6144,0
(null),5970947,61349,32,0,8192,0
(null),5970947,61349,32,0,10240,0
(null),5970947,61349,32,0,12288,0
(null),5970947,61349,32,0,14336,0
(null),5970947,61349,32,0,16384,0
