matrix,nnz,nrows,cache_id,shared,mindist,count
(null),15011265,185639,34,0,0,280551
(null),15011265,185639,34,0,64,23803
(null),15011265,185639,34,0,128,1547
(null),15011265,185639,34,0,192,68
(null),15011265,185639,34,0,256,1727
(null),15011265,185639,34,0,2048,0
(null),15011265,185639,34,0,4096,0
(null),15011265,185639,34,0,6144,0
(null),15011265,185639,34,0,8192,0
(null),15011265,185639,34,0,10240,0
(null),15011265,185639,34,0,12288,0
(null),15011265,185639,34,0,14336,0
(null),15011265,185639,34,0,16384,0
(null),15011265,185639,34,0,18432,0
(null),15011265,185639,34,0,20480,0
(null),15011265,185639,34,0,22528,0
(null),15011265,185639,34,0,24576,0
(null),15011265,185639,34,0,26624,0
(null),15011265,185639,34,0,28672,0
(null),15011265,185639,34,0,30720,0
(null),15011265,185639,34,0,32768,0
(null),15011265,185639,34,0,18446744073709551615,0
(null),15011265,185639,40,0,0,250216
(null),15011265,185639,40,0,64,29811
(null),15011265,185639,40,0,128,3200
(null),15011265,185639,40,0,192,154
(null),15011265,185639,40,0,256,1763
(null),15011265,185639,40,0,2048,0
(null),15011265,185639,40,0,4096,0
(null),15011265,185639,40,0,6144,0
(null),15011265,185639,40,0,8192,0
(null),15011265,185639,40,0,10240,0
(null),15011265,185639,40,0,12288,0
(null),15011265,185639,40,0,14336,0
(null),15011265,185639,40,0,16384,0
(null),15011265,185639,40,0,18432,0
(null),15011265,185639,40,0,20480,0
(null),15011265,185639,40,0,22528,0
(null),15011265,185639,40,0,24576,0
(null),15011265,185639,40,0,26624,0
(null),15011265,185639,40,0,28672,0
(null),15011265,185639,40,0,30720,0
(null),15011265,185639,40,0,32768,0
(null),15011265,185639,40,0,18446744073709551615,0
(null),15011265,185639,13,0,0,323820
(null),15011265,185639,13,0,64,51733
(null),15011265,185639,13,0,128,1224
(null),15011265,185639,13,0,192,56
(null),15011265,185639,13,0,256,1773
(null),15011265,185639,13,0,2048,0
(null),15011265,185639,13,0,4096,0
(null),15011265,185639,13,0,6144,0
(null),15011265,185639,13,0,8192,0
(null),15011265,185639,13,0,10240,0
(null),15011265,185639,13,0,12288,0
(null),15011265,185639,13,0,14336,0
(null),15011265,185639,13,0,16384,0
(null),15011265,185639,13,0,18432,0
(null),15011265,185639,13,0,20480,0
(null),15011265,185639,13,0,22528,0
(null),15011265,185639,13,0,24576,0
(null),15011265,185639,13,0,26624,0
(null),15011265,185639,13,0,28672,0
(null),15011265,185639,13,0,30720,0
(null),15011265,185639,13,0,32768,0
(null),15011265,185639,13,0,18446744073709551615,0
