matrix,nnz,nrows,cache_id,shared,mindist,count
(null),14148858,63838,29,0,0,338415
(null),14148858,63838,29,0,64,436
(null),14148858,63838,29,0,128,90
(null),14148858,63838,29,0,192,71
(null),14148858,63838,29,0,256,315
(null),14148858,63838,29,0,2048,0
(null),14148858,63838,29,0,4096,0
(null),14148858,63838,29,0,6144,0
(null),14148858,63838,29,0,8192,0
(null),14148858,63838,29,0,10240,0
(null),14148858,63838,29,0,12288,0
(null),14148858,63838,29,0,14336,0
(null),14148858,63838,29,0,16384,0
(null),14148858,63838,29,0,18432,0
(null),14148858,63838,29,0,20480,0
(null),14148858,63838,29,0,22528,0
(null),14148858,63838,29,0,24576,0
(null),14148858,63838,29,0,26624,0
(null),14148858,63838,29,0,28672,0
(null),14148858,63838,29,0,30720,0
(null),14148858,63838,29,0,32768,0
(null),14148858,63838,29,0,18446744073709551615,0
(null),14148858,63838,28,0,0,349935
(null),14148858,63838,28,0,64,435
(null),14148858,63838,28,0,128,145
(null),14148858,63838,28,0,192,37
(null),14148858,63838,28,0,256,433
(null),14148858,63838,28,0,2048,0
(null),14148858,63838,28,0,4096,0
(null),14148858,63838,28,0,6144,0
(null),14148858,63838,28,0,8192,0
(null),14148858,63838,28,0,10240,0
(null),14148858,63838,28,0,12288,0
(null),14148858,63838,28,0,14336,0
(null),14148858,63838,28,0,16384,0
(null),14148858,63838,28,0,18432,0
(null),14148858,63838,28,0,20480,0
(null),14148858,63838,28,0,22528,0
(null),14148858,63838,28,0,24576,0
(null),14148858,63838,28,0,26624,0
(null),14148858,63838,28,0,28672,0
(null),14148858,63838,28,0,30720,0
(null),14148858,63838,28,0,32768,0
(null),14148858,63838,28,0,18446744073709551615,0
(null),14148858,63838,23,0,0,290716
(null),14148858,63838,23,0,64,319
(null),14148858,63838,23,0,128,4
(null),14148858,63838,23,0,192,13
(null),14148858,63838,23,0,256,350
(null),14148858,63838,23,0,2048,0
(null),14148858,63838,23,0,4096,0
(null),14148858,63838,23,0,6144,0
(null),14148858,63838,23,0,8192,0
(null),14148858,63838,23,0,10240,0
(null),14148858,63838,23,0,12288,0
(null),14148858,63838,23,0,14336,0
(null),14148858,63838,23,0,16384,0
(null),14148858,63838,23,0,18432,0
(null),14148858,63838,23,0,20480,0
(null),14148858,63838,23,0,22528,0
(null),14148858,63838,23,0,24576,0
(null),14148858,63838,23,0,26624,0
(null),14148858,63838,23,0,28672,0
(null),14148858,63838,23,0,30720,0
(null),14148858,63838,23,0,32768,0
(null),14148858,63838,23,0,18446744073709551615,0
(null),14148858,63838,24,0,0,279337
(null),14148858,63838,24,0,64,307
(null),14148858,63838,24,0,128,42
(null),14148858,63838,24,0,192,37
(null),14148858,63838,24,0,256,294
(null),14148858,63838,24,0,2048,0
(null),14148858,63838,24,0,4096,0
(null),14148858,63838,24,0,6144,0
(null),14148858,63838,24,0,8192,0
(null),14148858,63838,24,0,10240,0
(null),14148858,63838,24,0,12288,0
(null),14148858,63838,24,0,14336,0
(null),14148858,63838,24,0,16384,0
(null),14148858,63838,24,0,18432,0
(null),14148858,63838,24,0,20480,0
(null),14148858,63838,24,0,22528,0
(null),14148858,63838,24,0,24576,0
(null),14148858,63838,24,0,26624,0
(null),14148858,63838,24,0,28672,0
(null),14148858,63838,24,0,30720,0
(null),14148858,63838,24,0,32768,0
(null),14148858,63838,24,0,18446744073709551615,0
(null),14148858,63838,8,0,0,294457
(null),14148858,63838,8,0,64,468
(null),14148858,63838,8,0,128,143
(null),14148858,63838,8,0,192,64
(null),14148858,63838,8,0,256,350
(null),14148858,63838,8,0,2048,0
(null),14148858,63838,8,0,4096,0
(null),14148858,63838,8,0,6144,0
(null),14148858,63838,8,0,8192,0
(null),14148858,63838,8,0,10240,0
(null),14148858,63838,8,0,12288,0
(null),14148858,63838,8,0,14336,0
(null),14148858,63838,8,0,16384,0
(null),14148858,63838,8,0,18432,0
(null),14148858,63838,8,0,20480,0
(null),14148858,63838,8,0,22528,0
(null),14148858,63838,8,0,24576,0
(null),14148858,63838,8,0,26624,0
(null),14148858,63838,8,0,28672,0
(null),14148858,63838,8,0,30720,0
(null),14148858,63838,8,0,32768,0
(null),14148858,63838,8,0,18446744073709551615,0
(null),14148858,63838,25,0,0,320977
(null),14148858,63838,25,0,64,578
(null),14148858,63838,25,0,128,70
(null),14148858,63838,25,0,192,21
