matrix,nnz,nrows,cache_id,shared,mindist,count
(null),16313034,7733822,43,0,0,601672
(null),16313034,7733822,43,0,64,355
(null),16313034,7733822,43,0,128,212
(null),16313034,7733822,43,0,192,175
(null),16313034,7733822,43,0,256,1459
(null),16313034,7733822,43,0,2048,768
(null),16313034,7733822,43,0,4096,530
(null),16313034,7733822,43,0,6144,398
(null),16313034,7733822,43,0,8192,235
(null),16313034,7733822,43,0,10240,146
(null),16313034,7733822,43,0,12288,191
(null),16313034,7733822,43,0,14336,165
(null),16313034,7733822,43,0,16384,150
(null),16313034,7733822,43,0,18432,147
(null),16313034,7733822,43,0,20480,179
(null),16313034,7733822,43,0,22528,174
(null),16313034,7733822,43,0,24576,184
(null),16313034,7733822,43,0,26624,276
(null),16313034,7733822,43,0,28672,537
(null),16313034,7733822,43,0,30720,528
(null),16313034,7733822,43,0,32768,33342
(null),16313034,7733822,43,0,18446744073709551615,0
(null),16313034,7733822,38,0,0,613187
(null),16313034,7733822,38,0,64,253
(null),16313034,7733822,38,0,128,148
(null),16313034,7733822,38,0,192,127
(null),16313034,7733822,38,0,256,1069
(null),16313034,7733822,38,0,2048,567
(null),16313034,7733822,38,0,4096,404
(null),16313034,7733822,38,0,6144,304
(null),16313034,7733822,38,0,8192,322
(null),16313034,7733822,38,0,10240,276
(null),16313034,7733822,38,0,12288,263
(null),16313034,7733822,38,0,14336,283
(null),16313034,7733822,38,0,16384,315
(null),16313034,7733822,38,0,18432,301
(null),16313034,7733822,38,0,20480,253
(null),16313034,7733822,38,0,22528,266
(null),16313034,7733822,38,0,24576,320
(null),16313034,7733822,38,0,26624,308
(null),16313034,7733822,38,0,28672,386
(null),16313034,7733822,38,0,30720,643
(null),16313034,7733822,38,0,32768,30869
(null),16313034,7733822,38,0,18446744073709551615,0
(null),16313034,7733822,24,0,0,618005
(null),16313034,7733822,24,0,64,544
(null),16313034,7733822,24,0,128,341
(null),16313034,7733822,24,0,192,199
(null),16313034,7733822,24,0,256,2232
(null),16313034,7733822,24,0,2048,1186
(null),16313034,7733822,24,0,4096,768
(null),16313034,7733822,24,0,6144,509
(null),16313034,7733822,24,0,8192,407
(null),16313034,7733822,24,0,10240,400
(null),16313034,7733822,24,0,12288,314
(null),16313034,7733822,24,0,14336,321
(null),16313034,7733822,24,0,16384,354
(null),16313034,7733822,24,0,18432,317
(null),16313034,7733822,24,0,20480,403
(null),16313034,7733822,24,0,22528,324
(null),16313034,7733822,24,0,24576,441
(null),16313034,7733822,24,0,26624,697
(null),16313034,7733822,24,0,28672,926
(null),16313034,7733822,24,0,30720,28121
(null),16313034,7733822,24,0,32768,0
(null),16313034,7733822,24,0,18446744073709551615,0
(null),16313034,7733822,44,0,0,585285
(null),16313034,7733822,44,0,64,476
(null),16313034,7733822,44,0,128,258
(null),16313034,7733822,44,0,192,169
(null),16313034,7733822,44,0,256,1803
(null),16313034,7733822,44,0,2048,1028
(null),16313034,7733822,44,0,4096,714
(null),16313034,7733822,44,0,6144,638
(null),16313034,7733822,44,0,8192,582
(null),16313034,7733822,44,0,10240,565
(null),16313034,7733822,44,0,12288,559
(null),16313034,7733822,44,0,14336,587
(null),16313034,7733822,44,0,16384,515
(null),16313034,7733822,44,0,18432,498
(null),16313034,7733822,44,0,20480,482
(null),16313034,7733822,44,0,22528,505
(null),16313034,7733822,44,0,24576,474
(null),16313034,7733822,44,0,26624,490
(null),16313034,7733822,44,0,28672,513
(null),16313034,7733822,44,0,30720,488
(null),16313034,7733822,44,0,32768,39469
(null),16313034,7733822,44,0,18446744073709551615,0
(null),16313034,7733822,35,0,0,615378
(null),16313034,7733822,35,0,64,285
(null),16313034,7733822,35,0,128,149
(null),16313034,7733822,35,0,192,148
(null),16313034,7733822,35,0,256,1282
(null),16313034,7733822,35,0,2048,703
(null),16313034,7733822,35,0,4096,532
(null),16313034,7733822,35,0,6144,559
(null),16313034,7733822,35,0,8192,376
(null),16313034,7733822,35,0,10240,316
(null),16313034,7733822,35,0,12288,311
(null),16313034,7733822,35,0,14336,232
(null),16313034,7733822,35,0,16384,237
(null),16313034,7733822,35,0,18432,255
(null),16313034,7733822,35,0,20480,302
(null),16313034,7733822,35,0,22528,304
(null),16313034,7733822,35,0,24576,404
(null),16313034,7733822,35,0,26624,448
(null),16313034,7733822,35,0,28672,497
(null),16313034,7733822,35,0,30720,757
(null),16313034,7733822,35,0,32768,30193
(null),16313034,7733822,35,0,18446744073709551615,0
(null),16313034,7733822,25,0,0,613832
(null),16313034,7733822,25,0,64,531
(null),16313034,7733822,25,0,128,283
(null),16313034,7733822,25,0,192,299
(null),16313034,7733822,25,0,256,2169
(null),16313034,7733822,25,0,2048,963
(null),16313034,7733822,25,0,4096,651
(null),16313034,7733822,25,0,6144,501
(null),16313034,7733822,25,0,8192,432
(null),16313034,7733822,25,0,10240,394
(null),16313034,7733822,25,0,12288,322
(null),16313034,7733822,25,0,14336,377
(null),16313034,7733822,25,0,16384,335
(null),16313034,7733822,25,0,18432,336
(null),16313034,7733822,25,0,20480,339
(null),16313034,7733822,25,0,22528,365
(null),16313034,7733822,25,0,24576,351
(null),16313034,7733822,25,0,26624,443
(null),16313034,7733822,25,0,28672,511
(null),16313034,7733822,25,0,30720,685
(null),16313034,7733822,25,0,32768,31212
(null),16313034,7733822,25,0,18446744073709551615,0
(null),16313034,7733822,30,0,0,613573
(null),16313034,7733822,30,0,64,651
(null),16313034,7733822,30,0,128,263
(null),16313034,7733822,30,0,192,247
(null),16313034,7733822,30,0,256,1743
(null),16313034,7733822,30,0,2048,530
(null),16313034,7733822,30,0,4096,304
(null),16313034,7733822,30,0,6144,218
(null),16313034,7733822,30,0,8192,184
(null),16313034,7733822,30,0,10240,236
(null),16313034,7733822,30,0,12288,218
(null),16313034,7733822,30,0,14336,187
(null),16313034,7733822,30,0,16384,197
(null),16313034,7733822,30,0,18432,168
(null),16313034,7733822,30,0,20480,198
(null),16313034,7733822,30,0,22528,265
(null),16313034,7733822,30,0,24576,399
(null),16313034,7733822,30,0,26624,1782
(null),16313034,7733822,30,0,28672,25527
(null),16313034,7733822,30,0,30720,0
(null),16313034,7733822,30,0,32768,0
(null),16313034,7733822,30,0,18446744073709551615,0
(null),16313034,7733822,33,0,0,614210
(null),16313034,7733822,33,0,64,431
(null),16313034,7733822,33,0,128,252
(null),16313034,7733822,33,0,192,192
(null),16313034,7733822,33,0,256,1601
(null),16313034,7733822,33,0,2048,895
(null),16313034,7733822,33,0,4096,692
(null),16313034,7733822,33,0,6144,531
(null),16313034,7733822,33,0,8192,483
(null),16313034,7733822,33,0,10240,423
(null),16313034,7733822,33,0,12288,402
(null),16313034,7733822,33,0,14336,450
(null),16313034,7733822,33,0,16384,416
(null),16313034,7733822,33,0,18432,361
(null),16313034,7733822,33,0,20480,379
(null),16313034,7733822,33,0,22528,454
(null),16313034,7733822,33,0,24576,388
(null),16313034,7733822,33,0,26624,370
(null),16313034,7733822,33,0,28672,448
(null),16313034,7733822,33,0,30720,505
(null),16313034,7733822,33,0,32768,34361
(null),16313034,7733822,33,0,18446744073709551615,0
(null),16313034,7733822,29,0,0,617519
(null),16313034,7733822,29,0,64,455
(null),16313034,7733822,29,0,128,185
(null),16313034,7733822,29,0,192,162
(null),16313034,7733822,29,0,256,1763
(null),16313034,7733822,29,0,2048,596
(null),16313034,7733822,29,0,4096,292
(null),16313034,7733822,29,0,6144,258
(null),16313034,7733822,29,0,8192,237
(null),16313034,7733822,29,0,10240,139
(null),16313034,7733822,29,0,12288,149
(null),16313034,7733822,29,0,14336,148
(null),16313034,7733822,29,0,16384,151
(null),16313034,7733822,29,0,18432,240
(null),16313034,7733822,29,0,20480,267
(null),16313034,7733822,29,0,22528,332
(null),16313034,7733822,29,0,24576,691
(null),16313034,7733822,29,0,26624,25774
(null),16313034,7733822,29,0,28672,0
(null),16313034,7733822,29,0,30720,0
(null),16313034,7733822,29,0,32768,0
(null),16313034,7733822,29,0,18446744073709551615,0
(null),16313034,7733822,26,0,0,620008
(null),16313034,7733822,26,0,64,644
(null),16313034,7733822,26,0,128,291
(null),16313034,7733822,26,0,192,211
(null),16313034,7733822,26,0,256,1988
(null),16313034,7733822,26,0,2048,638
(null),16313034,7733822,26,0,4096,427
(null),16313034,7733822,26,0,6144,366
(null),16313034,7733822,26,0,8192,319
(null),16313034,7733822,26,0,10240,276
(null),16313034,7733822,26,0,12288,260
(null),16313034,7733822,26,0,14336,211
(null),16313034,7733822,26,0,16384,271
(null),16313034,7733822,26,0,18432,264
(null),16313034,7733822,26,0,20480,296
