matrix,nnz,nrows,cache_id,shared,mindist,count
(null),3599932,96307,47,0,0,91549
(null),3599932,96307,47,0,64,0
(null),3599932,96307,47,0,128,0
(null),3599932,96307,47,0,192,0
(null),3599932,96307,47,0,256,630
(null),3599932,96307,47,0,2048,0
(null),3599932,96307,47,0,4096,0
(null),3599932,96307,47,0,6144,0
(null),3599932,96307,47,0,8192,0
(null),3599932,96307,47,0,10240,0
(null),3599932,96307,47,0,12288,0
(null),3599932,96307,47,0,14336,0
(null),3599932,96307,47,0,16384,0
(null),3599932,96307,47,0,18432,0
(null),3599932,96307,47,0,20480,0
(null),3599932,96307,47,0,22528,0
(null),3599932,96307,47,0,24576,0
(null),3599932,96307,47,0,26624,0
(null),3599932,96307,47,0,28672,0
(null),3599932,96307,47,0,30720,0
(null),3599932,96307,47,0,32768,0
(null),3599932,96307,47,0,18446744073709551615,0
(null),3599932,96307,37,0,0,77444
(null),3599932,96307,37,0,64,0
(null),3599932,96307,37,0,128,0
(null),3599932,96307,37,0,192,3
(null),3599932,96307,37,0,256,285
(null),3599932,96307,37,0,2048,0
(null),3599932,96307,37,0,4096,0
(null),3599932,96307,37,0,6144,0
(null),3599932,96307,37,0,8192,0
(null),3599932,96307,37,0,10240,0
(null),3599932,96307,37,0,12288,0
(null),3599932,96307,37,0,14336,0
(null),3599932,96307,37,0,16384,0
(null),3599932,96307,37,0,18432,0
(null),3599932,96307,37,0,20480,0
(null),3599932,96307,37,0,22528,0
(null),3599932,96307,37,0,24576,0
(null),3599932,96307,37,0,26624,0
(null),3599932,96307,37,0,28672,0
(null),3599932,96307,37,0,30720,0
(null),3599932,96307,37,0,32768,0
(null),3599932,96307,37,0,18446744073709551615,0
(null),3599932,96307,30,0,0,77536
(null),3599932,96307,30,0,64,0
(null),3599932,96307,30,0,128,0
(null),3599932,96307,30,0,192,16
(null),3599932,96307,30,0,256,268
(null),3599932,96307,30,0,2048,0
(null),3599932,96307,30,0,4096,0
(null),3599932,96307,30,0,6144,0
(null),3599932,96307,30,0,8192,0
(null),3599932,96307,30,0,10240,0
(null),3599932,96307,30,0,12288,0
(null),3599932,96307,30,0,14336,0
(null),3599932,96307,30,0,16384,0
(null),3599932,96307,30,0,18432,0
(null),3599932,96307,30,0,20480,0
(null),3599932,96307,30,0,22528,0
(null),3599932,96307,30,0,24576,0
(null),3599932,96307,30,0,26624,0
(null),3599932,96307,30,0,28672,0
(null),3599932,96307,30,0,30720,0
(null),3599932,96307,30,0,32768,0
(null),3599932,96307,30,0,18446744073709551615,0
(null),3599932,96307,33,0,0,77156
(null),3599932,96307,33,0,64,0
(null),3599932,96307,33,0,128,0
(null),3599932,96307,33,0,192,3
(null),3599932,96307,33,0,256,284
(null),3599932,96307,33,0,2048,0
(null),3599932,96307,33,0,4096,0
(null),3599932,96307,33,0,6144,0
(null),3599932,96307,33,0,8192,0
(null),3599932,96307,33,0,10240,0
(null),3599932,96307,33,0,12288,0
(null),3599932,96307,33,0,14336,0
(null),3599932,96307,33,0,16384,0
(null),3599932,96307,33,0,18432,0
(null),3599932,96307,33,0,20480,0
(null),3599932,96307,33,0,22528,0
(null),3599932,96307,33,0,24576,0
(null),3599932,96307,33,0,26624,0
(null),3599932,96307,33,0,28672,0
(null),3599932,96307,33,0,30720,0
(null),3599932,96307,33,0,32768,0
(null),3599932,96307,33,0,18446744073709551615,0
(null),3599932,96307,31,0,0,77570
(null),3599932,96307,31,0,64,0
(null),3599932,96307,31,0,128,0
(null),3599932,96307,31,0,192,1
(null),3599932,96307,31,0,256,289
(null),3599932,96307,31,0,2048,0
(null),3599932,96307,31,0,4096,0
(null),3599932,96307,31,0,6144,0
(null),3599932,96307,31,0,8192,0
(null),3599932,96307,31,0,10240,0
(null),3599932,96307,31,0,12288,0
(null),3599932,96307,31,0,14336,0
(null),3599932,96307,31,0,16384,0
(null),3599932,96307,31,0,18432,0
(null),3599932,96307,31,0,20480,0
(null),3599932,96307,31,0,22528,0
(null),3599932,96307,31,0,24576,0
(null),3599932,96307,31,0,26624,0
(null),3599932,96307,31,0,28672,0
(null),3599932,96307,31,0,30720,0
(null),3599932,96307,31,0,32768,0
(null),3599932,96307,31,0,18446744073709551615,0
(null),3599932,96307,27,0,0,78205
(null),3599932,96307,27,0,64,0
(null),3599932,96307,27,0,128,0
(null),3599932,96307,27,0,192,2
(null),3599932,96307,27,0,256,286
(null),3599932,96307,27,0,2048,0
(null),3599932,96307,27,0,4096,0
(null),3599932,96307,27,0,6144,0
(null),3599932,96307,27,0,8192,0
(null),3599932,96307,27,0,10240,0
(null),3599932,96307,27,0,12288,0
(null),3599932,96307,27,0,14336,0
(null),3599932,96307,27,0,16384,0
(null),3599932,96307,27,0,18432,0
(null),3599932,96307,27,0,20480,0
(null),3599932,96307,27,0,22528,0
(null),3599932,96307,27,0,24576,0
(null),3599932,96307,27,0,26624,0
(null),3599932,96307,27,0,28672,0
(null),3599932,96307,27,0,30720,0
(null),3599932,96307,27,0,32768,0
(null),3599932,96307,27,0,18446744073709551615,0
(null),3599932,96307,24,0,0,77170
(null),3599932,96307,24,0,64,0
(null),3599932,96307,24,0,128,0
(null),3599932,96307,24,0,192,14
(null),3599932,96307,24,0,256,270
(null),3599932,96307,24,0,2048,0
(null),3599932,96307,24,0,4096,0
(null),3599932,96307,24,0,6144,0
(null),3599932,96307,24,0,8192,0
(null),3599932,96307,24,0,10240,0
(null),3599932,96307,24,0,12288,0
(null),3599932,96307,24,0,14336,0
(null),3599932,96307,24,0,16384,0
(null),3599932,96307,24,0,18432,0
(null),3599932,96307,24,0,20480,0
(null),3599932,96307,24,0,22528,0
(null),3599932,96307,24,0,24576,0
(null),3599932,96307,24,0,26624,0
(null),3599932,96307,24,0,28672,0
(null),3599932,96307,24,0,30720,0
(null),3599932,96307,24,0,32768,0
(null),3599932,96307,24,0,18446744073709551615,0
(null),3599932,96307,28,0,0,77158
(null),3599932,96307,28,0,64,0
(null),3599932,96307,28,0,128,0
(null),3599932,96307,28,0,192,15
(null),3599932,96307,28,0,256,271
(null),3599932,96307,28,0,2048,0
(null),3599932,96307,28,0,4096,0
(null),3599932,96307,28,0,6144,0
(null),3599932,96307,28,0,8192,0
(null),3599932,96307,28,0,10240,0
(null),3599932,96307,28,0,12288,0
(null),3599932,96307,28,0,14336,0
(null),3599932,96307,28,0,16384,0
(null),3599932,96307,28,0,18432,0
(null),3599932,96307,28,0,20480,0
(null),3599932,96307,28,0,22528,0
(null),3599932,96307,28,0,24576,0
(null),3599932,96307,28,0,26624,0
(null),3599932,96307,28,0,28672,0
