matrix,nnz,nrows,cache_id,shared,mindist,count
(null),3358036,214765,3,0,0,47833
(null),3358036,214765,3,0,64,1060
(null),3358036,214765,3,0,128,469
(null),3358036,214765,3,0,192,386
(null),3358036,214765,3,0,256,14097
(null),3358036,214765,3,0,2048,0
(null),3358036,214765,3,0,4096,0
(null),3358036,214765,3,0,6144,0
(null),3358036,214765,3,0,8192,0
(null),3358036,214765,3,0,10240,0
(null),3358036,214765,3,0,12288,0
(null),3358036,214765,3,0,14336,0
(null),3358036,214765,3,0,16384,0
(null),3358036,214765,3,0,18432,0
(null),3358036,214765,3,0,20480,0
(null),3358036,214765,3,0,22528,0
(null),3358036,214765,3,0,24576,0
(null),3358036,214765,3,0,26624,0
(null),3358036,214765,3,0,28672,0
(null),3358036,214765,3,0,30720,0
(null),3358036,214765,3,0,32768,0
(null),3358036,214765,3,0,18446744073709551615,0
(null),3358036,214765,0,0,0,46944
(null),3358036,214765,0,0,64,4120
(null),3358036,214765,0,0,128,3564
(null),3358036,214765,0,0,192,1095
(null),3358036,214765,0,0,256,10422
(null),3358036,214765,0,0,2048,2220
(null),3358036,214765,0,0,4096,0
(null),3358036,214765,0,0,6144,0
(null),3358036,214765,0,0,8192,0
(null),3358036,214765,0,0,10240,0
(null),3358036,214765,0,0,12288,0
(null),3358036,214765,0,0,14336,0
(null),3358036,214765,0,0,16384,0
(null),3358036,214765,0,0,18432,0
(null),3358036,214765,0,0,20480,0
(null),3358036,214765,0,0,22528,0
(null),3358036,214765,0,0,24576,0
(null),3358036,214765,0,0,26624,0
(null),3358036,214765,0,0,28672,0
(null),3358036,214765,0,0,30720,0
(null),3358036,214765,0,0,32768,0
(null),3358036,214765,0,0,18446744073709551615,0
(null),3358036,214765,6,0,0,52285
(null),3358036,214765,6,0,64,1908
(null),3358036,214765,6,0,128,1618
(null),3358036,214765,6,0,192,3747
(null),3358036,214765,6,0,256,3866
(null),3358036,214765,6,0,2048,0
(null),3358036,214765,6,0,4096,0
(null),3358036,214765,6,0,6144,0
(null),3358036,214765,6,0,8192,0
(null),3358036,214765,6,0,10240,0
(null),3358036,214765,6,0,12288,0
(null),3358036,214765,6,0,14336,0
(null),3358036,214765,6,0,16384,0
(null),3358036,214765,6,0,18432,0
(null),3358036,214765,6,0,20480,0
(null),3358036,214765,6,0,22528,0
(null),3358036,214765,6,0,24576,0
(null),3358036,214765,6,0,26624,0
(null),3358036,214765,6,0,28672,0
(null),3358036,214765,6,0,30720,0
(null),3358036,214765,6,0,32768,0
(null),3358036,214765,6,0,18446744073709551615,0
(null),3358036,214765,1,0,0,52796
(null),3358036,214765,1,0,64,1989
(null),3358036,214765,1,0,128,2186
(null),3358036,214765,1,0,192,5182
(null),3358036,214765,1,0,256,1621
(null),3358036,214765,1,0,2048,0
(null),3358036,214765,1,0,4096,0
(null),3358036,214765,1,0,6144,0
(null),3358036,214765,1,0,8192,0
(null),3358036,214765,1,0,10240,0
(null),3358036,214765,1,0,12288,0
(null),3358036,214765,1,0,14336,0
(null),3358036,214765,1,0,16384,0
(null),3358036,214765,1,0,18432,0
(null),3358036,214765,1,0,20480,0
(null),3358036,214765,1,0,22528,0
(null),3358036,214765,1,0,24576,0
(null),3358036,214765,1,0,26624,0
(null),3358036,214765,1,0,28672,0
(null),3358036,214765,1,0,30720,0
(null),3358036,214765,1,0,32768,0
(null),3358036,214765,1,0,18446744073709551615,0
(null),3358036,214765,24,0,0,73402
(null),3358036,214765,24,0,64,2838
(null),3358036,214765,24,0,128,2019
(null),3358036,214765,24,0,192,1324
(null),3358036,214765,24,0,256,6642
(null),3358036,214765,24,0,2048,1323
(null),3358036,214765,24,0,4096,0
(null),3358036,214765,24,0,6144,0
(null),3358036,214765,24,0,8192,0
(null),3358036,214765,24,0,10240,0
(null),3358036,214765,24,0,12288,0
(null),3358036,214765,24,0,14336,0
(null),3358036,214765,24,0,16384,0
(null),3358036,214765,24,0,18432,0
(null),3358036,214765,24,0,20480,0
(null),3358036,214765,24,0,22528,0
(null),3358036,214765,24,0,24576,0
(null),3358036,214765,24,0,26624,0
(null),3358036,214765,24,0,28672,0
(null),3358036,214765,24,0,30720,0
(null),3358036,214765,24,0,32768,0
(null),3358036,214765,24,0,18446744073709551615,0
(null),3358036,214765,22,0,0,69264
(null),3358036,214765,22,0,64,1291
(null),3358036,214765,22,0,128,982
(null),3358036,214765,22,0,192,851
(null),3358036,214765,22,0,256,11999
(null),3358036,214765,22,0,2048,2292
(null),3358036,214765,22,0,4096,0
(null),3358036,214765,22,0,6144,0
(null),3358036,214765,22,0,8192,0
(null),3358036,214765,22,0,10240,0
(null),3358036,214765,22,0,12288,0
(null),3358036,214765,22,0,14336,0
(null),3358036,214765,22,0,16384,0
(null),3358036,214765,22,0,18432,0
(null),3358036,214765,22,0,20480,0
(null),3358036,214765,22,0,22528,0
(null),3358036,214765,22,0,24576,0
(null),3358036,214765,22,0,26624,0
(null),3358036,214765,22,0,28672,0
(null),3358036,214765,22,0,30720,0
(null),3358036,214765,22,0,32768,0
(null),3358036,214765,22,0,18446744073709551615,0
(null),3358036,214765,19,0,0,73964
(null),3358036,214765,19,0,64,1347
(null),3358036,214765,19,0,128,866
(null),3358036,214765,19,0,192,722
(null),3358036,214765,19,0,256,12173
(null),3358036,214765,19,0,2048,3712
(null),3358036,214765,19,0,4096,0
(null),3358036,214765,19,0,6144,0
(null),3358036,214765,19,0,8192,0
(null),3358036,214765,19,0,10240,0
(null),3358036,214765,19,0,12288,0
(null),3358036,214765,19,0,14336,0
(null),3358036,214765,19,0,16384,0
(null),3358036,214765,19,0,18432,0
(null),3358036,214765,19,0,20480,0
(null),3358036,214765,19,0,22528,0
(null),3358036,214765,19,0,24576,0
(null),3358036,214765,19,0,26624,0
(null),3358036,214765,19,0,28672,0
(null),3358036,214765,19,0,30720,0
(null),3358036,214765,19,0,32768,0
(null),3358036,214765,19,0,18446744073709551615,0
(null),3358036,214765,31,0,0,12517
(null),3358036,214765,31,0,64,1755
(null),3358036,214765,31,0,128,1813
(null),3358036,214765,31,0,192,1714
(null),3358036,214765,31,0,256,48170
(null),3358036,214765,31,0,2048,14546
(null),3358036,214765,31,0,4096,0
(null),3358036,214765,31,0,6144,0
(null),3358036,214765,31,0,8192,0
(null),3358036,214765,31,0,10240,0
(null),3358036,214765,31,0,12288,0
(null),3358036,214765,31,0,14336,0
(null),3358036,214765,31,0,16384,0
(null),3358036,214765,31,0,18432,0
(null),3358036,214765,31,0,20480,0
(null),3358036,214765,31,0,22528,0
(null),3358036,214765,31,0,24576,0
(null),3358036,214765,31,0,26624,0
(null),3358036,214765,31,0,28672,0
(null),3358036,214765,31,0,30720,0
(null),3358036,214765,31,0,32768,0
(null),3358036,214765,31,0,18446744073709551615,0
(null),3358036,214765,35,0,0,13112
(null),3358036,214765,35,0,64,1393
(null),3358036,214765,35,0,128,1339
(null),3358036,214765,35,0,192,1335
(null),3358036,214765,35,0,256,35066
(null),3358036,214765,35,0,2048,23799
(null),3358036,214765,35,0,4096,5672
(null),3358036,214765,35,0,6144,0
(null),3358036,214765,35,0,8192,0
(null),3358036,214765,35,0,10240,0
(null),3358036,214765,35,0,12288,0
(null),3358036,214765,35,0,14336,0
(null),3358036,214765,35,0,16384,0
(null),3358036,214765,35,0,18432,0
(null),3358036,214765,35,0,20480,0
(null),3358036,214765,35,0,22528,0
(null),3358036,214765,35,0,24576,0
(null),3358036,214765,35,0,26624,0
(null),3358036,214765,35,0,28672,0
(null),3358036,214765,35,0,30720,0
(null),3358036,214765,35,0,32768,0
(null),3358036,214765,35,0,18446744073709551615,0
(null),3358036,214765,33,0,0,12860
(null),3358036,214765,33,0,64,1539
(null),3358036,214765,33,0,128,1526
(null),3358036,214765,33,0,192,1602
(null),3358036,214765,33,0,256,38941
(null),3358036,214765,33,0,2048,21674
(null),3358036,214765,33,0,4096,3402
(null),3358036,214765,33,0,6144,0
(null),3358036,214765,33,0,8192,0
(null),3358036,214765,33,0,10240,0
(null),3358036,214765,33,0,12288,0
(null),3358036,214765,33,0,14336,0
(null),3358036,214765,33,0,16384,0
(null),3358036,214765,33,0,18432,0
(null),3358036,214765,33,0,20480,0
(null),3358036,214765,33,0,22528,0
(null),3358036,214765,33,0,24576,0
(null),3358036,214765,33,0,26624,0
(null),3358036,214765,33,0,28672,0
(null),3358036,214765,33,0,30720,0
(null),3358036,214765,33,0,32768,0
(null),3358036,214765,33,0,18446744073709551615,0
(null),3358036,214765,14,0,0,76520
(null),3358036,214765,14,0,64,4168
(null),3358036,214765,14,0,128,1715
(null),3358036,214765,14,0,192,1138
(null),3358036,214765,14,0,256,5198
(null),3358036,214765,14,0,2048,0
(null),3358036,214765,14,0,4096,0
(null),3358036,214765,14,0,6144,0
(null),3358036,214765,14,0,8192,0
(null),3358036,214765,14,0,10240,0
(null),3358036,214765,14,0,12288,0
(null),3358036,214765,14,0,14336,0
(null),3358036,214765,14,0,16384,0
(null),3358036,214765,14,0,18432,0
(null),3358036,214765,14,0,20480,0
(null),3358036,214765,14,0,22528,0
(null),3358036,214765,14,0,24576,0
(null),3358036,214765,14,0,26624,0
(null),3358036,214765,14,0,28672,0
(null),3358036,214765,14,0,30720,0
(null),3358036,214765,14,0,32768,0
(null),3358036,214765,14,0,18446744073709551615,0
(null),3358036,214765,32,0,0,12766
(null),3358036,214765,32,0,64,1662
(null),3358036,214765,32,0,128,1535
(null),3358036,214765,32,0,192,1658
(null),3358036,214765,32,0,256,43333
(null),3358036,214765,32,0,2048,17721
(null),3358036,214765,32,0,4096,0
(null),3358036,214765,32,0,6144,0
(null),3358036,214765,32,0,8192,0
(null),3358036,214765,32,0,10240,0
(null),3358036,214765,32,0,12288,0
(null),3358036,214765,32,0,14336,0
(null),3358036,214765,32,0,16384,0
(null),3358036,214765,32,0,18432,0
(null),3358036,214765,32,0,20480,0
(null),3358036,214765,32,0,22528,0
(null),3358036,214765,32,0,24576,0
(null),3358036,214765,32,0,26624,0
(null),3358036,214765,32,0,28672,0
(null),3358036,214765,32,0,30720,0
(null),3358036,214765,32,0,32768,0
(null),3358036,214765,32,0,18446744073709551615,0
(null),3358036,214765,28,0,0,79331
(null),3358036,214765,28,0,64,3738
(null),3358036,214765,28,0,128,1051
(null),3358036,214765,28,0,192,183
(null),3358036,214765,28,0,256,2679
(null),3358036,214765,28,0,2048,0
(null),3358036,214765,28,0,4096,0
(null),3358036,214765,28,0,6144,0
(null),3358036,214765,28,0,8192,0
(null),3358036,214765,28,0,10240,0
(null),3358036,214765,28,0,12288,0
(null),3358036,214765,28,0,14336,0
(null),3358036,214765,28,0,16384,0
(null),3358036,214765,28,0,18432,0
(null),3358036,214765,28,0,20480,0
(null),3358036,214765,28,0,22528,0
(null),3358036,214765,28,0,24576,0
(null),3358036,214765,28,0,26624,0
(null),3358036,214765,28,0,28672,0
(null),3358036,214765,28,0,30720,0
(null),3358036,214765,28,0,32768,0
(null),3358036,214765,28,0,18446744073709551615,0
(null),3358036,214765,30,0,0,12719
(null),3358036,214765,30,0,64,1825
(null),3358036,214765,30,0,128,1820
(null),3358036,214765,30,0,192,1832
(null),3358036,214765,30,0,256,49737
(null),3358036,214765,30,0,2048,13318
(null),3358036,214765,30,0,4096,0
(null),3358036,214765,30,0,6144,0
(null),3358036,214765,30,0,8192,0
(null),3358036,214765,30,0,10240,0
(null),3358036,214765,30,0,12288,0
(null),3358036,214765,30,0,14336,0
(null),3358036,214765,30,0,16384,0
(null),3358036,214765,30,0,18432,0
(null),3358036,214765,30,0,20480,0
(null),3358036,214765,30,0,22528,0
(null),3358036,214765,30,0,24576,0
(null),3358036,214765,30,0,26624,0
(null),3358036,214765,30,0,28672,0
(null),3358036,214765,30,0,30720,0
(null),3358036,214765,30,0,32768,0
(null),3358036,214765,30,0,18446744073709551615,0
(null),3358036,214765,29,0,0,48683
(null),3358036,214765,29,0,64,2682
(null),3358036,214765,29,0,128,1301
(null),3358036,214765,29,0,192,1135
