matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1416620,288987,29,0,0,24423
(null),1416620,288987,29,0,64,2988
(null),1416620,288987,29,0,128,2717
(null),1416620,288987,29,0,192,3194
(null),1416620,288987,29,0,256,8132
(null),1416620,288987,29,0,2048,0
(null),1416620,288987,29,0,4096,0
(null),1416620,288987,29,0,6144,0
(null),1416620,288987,29,0,8192,0
(null),1416620,288987,29,0,10240,0
(null),1416620,288987,29,0,12288,0
(null),1416620,288987,29,0,14336,0
(null),1416620,288987,29,0,16384,0
(null),1416620,288987,29,0,18432,0
(null),1416620,288987,29,0,20480,0
(null),1416620,288987,29,0,22528,0
(null),1416620,288987,29,0,24576,0
(null),1416620,288987,29,0,26624,0
(null),1416620,288987,29,0,28672,0
(null),1416620,288987,29,0,30720,0
(null),1416620,288987,29,0,32768,0
(null),1416620,288987,29,0,18446744073709551615,0
(null),1416620,288987,27,0,0,36933
(null),1416620,288987,27,0,64,2727
(null),1416620,288987,27,0,128,197
(null),1416620,288987,27,0,192,206
(null),1416620,288987,27,0,256,1350
(null),1416620,288987,27,0,2048,0
(null),1416620,288987,27,0,4096,0
(null),1416620,288987,27,0,6144,0
(null),1416620,288987,27,0,8192,0
(null),1416620,288987,27,0,10240,0
(null),1416620,288987,27,0,12288,0
(null),1416620,288987,27,0,14336,0
(null),1416620,288987,27,0,16384,0
(null),1416620,288987,27,0,18432,0
(null),1416620,288987,27,0,20480,0
(null),1416620,288987,27,0,22528,0
(null),1416620,288987,27,0,24576,0
(null),1416620,288987,27,0,26624,0
(null),1416620,288987,27,0,28672,0
(null),1416620,288987,27,0,30720,0
(null),1416620,288987,27,0,32768,0
(null),1416620,288987,27,0,18446744073709551615,0
(null),1416620,288987,12,0,0,34337
(null),1416620,288987,12,0,64,3090
(null),1416620,288987,12,0,128,2230
(null),1416620,288987,12,0,192,497
(null),1416620,288987,12,0,256,1013
(null),1416620,288987,12,0,2048,0
(null),1416620,288987,12,0,4096,0
(null),1416620,288987,12,0,6144,0
(null),1416620,288987,12,0,8192,0
(null),1416620,288987,12,0,10240,0
(null),1416620,288987,12,0,12288,0
(null),1416620,288987,12,0,14336,0
(null),1416620,288987,12,0,16384,0
(null),1416620,288987,12,0,18432,0
(null),1416620,288987,12,0,20480,0
(null),1416620,288987,12,0,22528,0
(null),1416620,288987,12,0,24576,0
(null),1416620,288987,12,0,26624,0
(null),1416620,288987,12,0,28672,0
(null),1416620,288987,12,0,30720,0
(null),1416620,288987,12,0,32768,0
(null),1416620,288987,12,0,18446744073709551615,0
(null),1416620,288987,33,0,0,33449
(null),1416620,288987,33,0,64,6275
(null),1416620,288987,33,0,128,1158
(null),1416620,288987,33,0,192,34
(null),1416620,288987,33,0,256,869
(null),1416620,288987,33,0,2048,0
(null),1416620,288987,33,0,4096,0
(null),1416620,288987,33,0,6144,0
(null),1416620,288987,33,0,8192,0
(null),1416620,288987,33,0,10240,0
(null),1416620,288987,33,0,12288,0
(null),1416620,288987,33,0,14336,0
(null),1416620,288987,33,0,16384,0
