matrix,nnz,nrows,cache_id,shared,mindist,count
(null),3597188,73752,0,0,0,74938
(null),3597188,73752,0,0,64,23
(null),3597188,73752,0,0,128,137
(null),3597188,73752,0,0,192,0
(null),3597188,73752,0,0,256,0
(null),3597188,73752,0,0,2048,0
(null),3597188,73752,0,0,4096,0
(null),3597188,73752,0,0,6144,0
(null),3597188,73752,0,0,8192,0
(null),3597188,73752,0,0,10240,0
(null),3597188,73752,0,0,12288,0
(null),3597188,73752,0,0,14336,0
(null),3597188,73752,0,0,16384,0
(null),3597188,73752,0,0,18432,0
(null),3597188,73752,0,0,20480,0
(null),3597188,73752,0,0,22528,0
(null),3597188,73752,0,0,24576,0
(null),3597188,73752,0,0,26624,0
(null),3597188,73752,0,0,28672,0
(null),3597188,73752,0,0,30720,0
(null),3597188,73752,0,0,32768,0
(null),3597188,73752,0,0,18446744073709551615,0
(null),3597188,73752,7,0,0,76618
(null),3597188,73752,7,0,64,96
(null),3597188,73752,7,0,128,148
(null),3597188,73752,7,0,192,0
(null),3597188,73752,7,0,256,0
(null),3597188,73752,7,0,2048,0
(null),3597188,73752,7,0,4096,0
(null),3597188,73752,7,0,6144,0
(null),3597188,73752,7,0,8192,0
(null),3597188,73752,7,0,10240,0
(null),3597188,73752,7,0,12288,0
(null),3597188,73752,7,0,14336,0
(null),3597188,73752,7,0,16384,0
(null),3597188,73752,7,0,18432,0
(null),3597188,73752,7,0,20480,0
(null),3597188,73752,7,0,22528,0
(null),3597188,73752,7,0,24576,0
(null),3597188,73752,7,0,26624,0
(null),3597188,73752,7,0,28672,0
(null),3597188,73752,7,0,30720,0
(null),3597188,73752,7,0,32768,0
(null),3597188,73752,7,0,18446744073709551615,0
(null),3597188,73752,31,0,0,77053
(null),3597188,73752,31,0,64,100
(null),3597188,73752,31,0,128,43
(null),3597188,73752,31,0,192,133
(null),3597188,73752,31,0,256,0
(null),3597188,73752,31,0,2048,0
(null),3597188,73752,31,0,4096,0
(null),3597188,73752,31,0,6144,0
(null),3597188,73752,31,0,8192,0
(null),3597188,73752,31,0,10240,0
(null),3597188,73752,31,0,12288,0
(null),3597188,73752,31,0,14336,0
(null),3597188,73752,31,0,16384,0
(null),3597188,73752,31,0,18432,0
(null),3597188,73752,31,0,20480,0
(null),3597188,73752,31,0,22528,0
(null),3597188,73752,31,0,24576,0
(null),3597188,73752,31,0,26624,0
(null),3597188,73752,31,0,28672,0
(null),3597188,73752,31,0,30720,0
(null),3597188,73752,31,0,32768,0
(null),3597188,73752,31,0,18446744073709551615,0
(null),3597188,73752,44,0,0,78035
(null),3597188,73752,44,0,64,62
(null),3597188,73752,44,0,128,42
(null),3597188,73752,44,0,192,149
(null),3597188,73752,44,0,256,0
(null),3597188,73752,44,0,2048,0
(null),3597188,73752,44,0,4096,0
(null),3597188,73752,44,0,6144,0
(null),3597188,73752,44,0,8192,0
(null),3597188,73752,44,0,10240,0
(null),3597188,73752,44,0,12288,0
(null),3597188,73752,44,0,14336,0
(null),3597188,73752,44,0,16384,0
(null),3597188,73752,44,0,18432,0
(null),3597188,73752,44,0,20480,0
(null),3597188,73752,44,0,22528,0
(null),3597188,73752,44,0,24576,0
(null),3597188,73752,44,0,26624,0
(null),3597188,73752,44,0,28672,0
(null),3597188,73752,44,0,30720,0
(null),3597188,73752,44,0,32768,0
(null),3597188,73752,44,0,18446744073709551615,0
(null),3597188,73752,34,0,0,79421
(null),3597188,73752,34,0,64,71
(null),3597188,73752,34,0,128,48
(null),3597188,73752,34,0,192,162
(null),3597188,73752,34,0,256,0
(null),3597188,73752,34,0,2048,0
(null),3597188,73752,34,0,4096,0
(null),3597188,73752,34,0,6144,0
(null),3597188,73752,34,0,8192,0
(null),3597188,73752,34,0,10240,0
(null),3597188,73752,34,0,12288,0
(null),3597188,73752,34,0,14336,0
(null),3597188,73752,34,0,16384,0
(null),3597188,73752,34,0,18432,0
(null),3597188,73752,34,0,20480,0
(null),3597188,73752,34,0,22528,0
(null),3597188,73752,34,0,24576,0
(null),3597188,73752,34,0,26624,0
(null),3597188,73752,34,0,28672,0
(null),3597188,73752,34,0,30720,0
(null),3597188,73752,34,0,32768,0
(null),3597188,73752,34,0,18446744073709551615,0
(null),3597188,73752,28,0,0,78364
(null),3597188,73752,28,0,64,104
(null),3597188,73752,28,0,128,29
(null),3597188,73752,28,0,192,141
(null),3597188,73752,28,0,256,0
(null),3597188,73752,28,0,2048,0
(null),3597188,73752,28,0,4096,0
(null),3597188,73752,28,0,6144,0
(null),3597188,73752,28,0,8192,0
(null),3597188,73752,28,0,10240,0
(null),3597188,73752,28,0,12288,0
(null),3597188,73752,28,0,14336,0
(null),3597188,73752,28,0,16384,0
(null),3597188,73752,28,0,18432,0
(null),3597188,73752,28,0,20480,0
(null),3597188,73752,28,0,22528,0
(null),3597188,73752,28,0,24576,0
(null),3597188,73752,28,0,26624,0
(null),3597188,73752,28,0,28672,0
(null),3597188,73752,28,0,30720,0
(null),3597188,73752,28,0,32768,0
(null),3597188,73752,28,0,18446744073709551615,0
(null),3597188,73752,24,0,0,77974
(null),3597188,73752,24,0,64,101
(null),3597188,73752,24,0,128,32
(null),3597188,73752,24,0,192,139
(null),3597188,73752,24,0,256,0
(null),3597188,73752,24,0,2048,0
(null),3597188,73752,24,0,4096,0
(null),3597188,73752,24,0,6144,0
(null),3597188,73752,24,0,8192,0
(null),3597188,73752,24,0,10240,0
(null),3597188,73752,24,0,12288,0
(null),3597188,73752,24,0,14336,0
(null),3597188,73752,24,0,16384,0
(null),3597188,73752,24,0,18432,0
(null),3597188,73752,24,0,20480,0
(null),3597188,73752,24,0,22528,0
(null),3597188,73752,24,0,24576,0
(null),3597188,73752,24,0,26624,0
(null),3597188,73752,24,0,28672,0
(null),3597188,73752,24,0,30720,0
(null),3597188,73752,24,0,32768,0
(null),3597188,73752,24,0,18446744073709551615,0
(null),3597188,73752,25,0,0,78284
(null),3597188,73752,25,0,64,103
(null),3597188,73752,25,0,128,26
(null),3597188,73752,25,0,192,141
(null),3597188,73752,25,0,256,0
(null),3597188,73752,25,0,2048,0
(null),3597188,73752,25,0,4096,0
(null),3597188,73752,25,0,6144,0
(null),3597188,73752,25,0,8192,0
(null),3597188,73752,25,0,10240,0
(null),3597188,73752,25,0,12288,0
(null),3597188,73752,25,0,14336,0
(null),3597188,73752,25,0,16384,0
(null),3597188,73752,25,0,18432,0
(null),3597188,73752,25,0,20480,0
(null),3597188,73752,25,0,22528,0
(null),3597188,73752,25,0,24576,0
(null),3597188,73752,25,0,26624,0
(null),3597188,73752,25,0,28672,0
(null),3597188,73752,25,0,30720,0
(null),3597188,73752,25,0,32768,0
(null),3597188,73752,25,0,18446744073709551615,0
(null),3597188,73752,35,0,0,76496
(null),3597188,73752,35,0,64,57
(null),3597188,73752,35,0,128,65
(null),3597188,73752,35,0,192,144
(null),3597188,73752,35,0,256,0
(null),3597188,73752,35,0,2048,0
(null),3597188,73752,35,0,4096,0
(null),3597188,73752,35,0,6144,0
(null),3597188,73752,35,0,8192,0
(null),3597188,73752,35,0,10240,0
(null),3597188,73752,35,0,12288,0
(null),3597188,73752,35,0,14336,0
(null),3597188,73752,35,0,16384,0
(null),3597188,73752,35,0,18432,0
(null),3597188,73752,35,0,20480,0
(null),3597188,73752,35,0,22528,0
(null),3597188,73752,35,0,24576,0
(null),3597188,73752,35,0,26624,0
(null),3597188,73752,35,0,28672,0
(null),3597188,73752,35,0,30720,0
(null),3597188,73752,35,0,32768,0
(null),3597188,73752,35,0,18446744073709551615,0
(null),3597188,73752,30,0,0,78726
(null),3597188,73752,30,0,64,105
(null),3597188,73752,30,0,128,33
(null),3597188,73752,30,0,192,145
(null),3597188,73752,30,0,256,0
(null),3597188,73752,30,0,2048,0
(null),3597188,73752,30,0,4096,0
(null),3597188,73752,30,0,6144,0
(null),3597188,73752,30,0,8192,0
(null),3597188,73752,30,0,10240,0
(null),3597188,73752,30,0,12288,0
(null),3597188,73752,30,0,14336,0
(null),3597188,73752,30,0,16384,0
(null),3597188,73752,30,0,18432,0
(null),3597188,73752,30,0,20480,0
(null),3597188,73752,30,0,22528,0
(null),3597188,73752,30,0,24576,0
(null),3597188,73752,30,0,26624,0
