matrix,nnz,nrows,cache_id,shared,mindist,count
(null),14836504,151926,7,0,0,477639
(null),14836504,151926,7,0,64,1331
(null),14836504,151926,7,0,128,134
(null),14836504,151926,7,0,192,68
(null),14836504,151926,7,0,256,484
(null),14836504,151926,7,0,2048,0
(null),14836504,151926,7,0,4096,0
(null),14836504,151926,7,0,6144,0
(null),14836504,151926,7,0,8192,0
(null),14836504,151926,7,0,10240,0
(null),14836504,151926,7,0,12288,0
(null),14836504,151926,7,0,14336,0
(null),14836504,151926,7,0,16384,0
(null),14836504,151926,7,0,18432,0
(null),14836504,151926,7,0,20480,0
(null),14836504,151926,7,0,22528,0
(null),14836504,151926,7,0,24576,0
(null),14836504,151926,7,0,26624,0
(null),14836504,151926,7,0,28672,0
(null),14836504,151926,7,0,30720,0
(null),14836504,151926,7,0,32768,0
(null),14836504,151926,7,0,18446744073709551615,0
(null),14836504,151926,2,0,0,424173
(null),14836504,151926,2,0,64,196
(null),14836504,151926,2,0,128,72
(null),14836504,151926,2,0,192,49
(null),14836504,151926,2,0,256,355
(null),14836504,151926,2,0,2048,0
(null),14836504,151926,2,0,4096,0
(null),14836504,151926,2,0,6144,0
(null),14836504,151926,2,0,8192,0
(null),14836504,151926,2,0,10240,0
(null),14836504,151926,2,0,12288,0
(null),14836504,151926,2,0,14336,0
(null),14836504,151926,2,0,16384,0
(null),14836504,151926,2,0,18432,0
(null),14836504,151926,2,0,20480,0
(null),14836504,151926,2,0,22528,0
(null),14836504,151926,2,0,24576,0
(null),14836504,151926,2,0,26624,0
(null),14836504,151926,2,0,28672,0
(null),14836504,151926,2,0,30720,0
(null),14836504,151926,2,0,32768,0
(null),14836504,151926,2,0,18446744073709551615,0
(null),14836504,151926,0,0,0,448463
(null),14836504,151926,0,0,64,362
(null),14836504,151926,0,0,128,98
(null),14836504,151926,0,0,192,65
(null),14836504,151926,0,0,256,344
(null),14836504,151926,0,0,2048,0
(null),14836504,151926,0,0,4096,0
(null),14836504,151926,0,0,6144,0
(null),14836504,151926,0,0,8192,0
(null),14836504,151926,0,0,10240,0
(null),14836504,151926,0,0,12288,0
(null),14836504,151926,0,0,14336,0
(null),14836504,151926,0,0,16384,0
(null),14836504,151926,0,0,18432,0
(null),14836504,151926,0,0,20480,0
(null),14836504,151926,0,0,22528,0
(null),14836504,151926,0,0,24576,0
(null),14836504,151926,0,0,26624,0
(null),14836504,151926,0,0,28672,0
(null),14836504,151926,0,0,30720,0
(null),14836504,151926,0,0,32768,0
(null),14836504,151926,0,0,18446744073709551615,0
(null),14836504,151926,10,0,0,430915
(null),14836504,151926,10,0,64,772
(null),14836504,151926,10,0,128,39
(null),14836504,151926,10,0,192,39
(null),14836504,151926,10,0,256,470
(null),14836504,151926,10,0,2048,0
(null),14836504,151926,10,0,4096,0
(null),14836504,151926,10,0,6144,0
(null),14836504,151926,10,0,8192,0
(null),14836504,151926,10,0,10240,0
(null),14836504,151926,10,0,12288,0
(null),14836504,151926,10,0,14336,0
(null),14836504,151926,10,0,16384,0
(null),14836504,151926,10,0,18432,0
(null),14836504,151926,10,0,20480,0
(null),14836504,151926,10,0,22528,0
(null),14836504,151926,10,0,24576,0
(null),14836504,151926,10,0,26624,0
(null),14836504,151926,10,0,28672,0
(null),14836504,151926,10,0,30720,0
(null),14836504,151926,10,0,32768,0
(null),14836504,151926,10,0,18446744073709551615,0
(null),14836504,151926,9,0,0,459254
(null),14836504,151926,9,0,64,359
(null),14836504,151926,9,0,128,56
(null),14836504,151926,9,0,192,26
(null),14836504,151926,9,0,256,369
(null),14836504,151926,9,0,2048,0
(null),14836504,151926,9,0,4096,0
(null),14836504,151926,9,0,6144,0
(null),14836504,151926,9,0,8192,0
(null),14836504,151926,9,0,10240,0
(null),14836504,151926,9,0,12288,0
(null),14836504,151926,9,0,14336,0
(null),14836504,151926,9,0,16384,0
(null),14836504,151926,9,0,18432,0
(null),14836504,151926,9,0,20480,0
(null),14836504,151926,9,0,22528,0
(null),14836504,151926,9,0,24576,0
(null),14836504,151926,9,0,26624,0
(null),14836504,151926,9,0,28672,0
(null),14836504,151926,9,0,30720,0
(null),14836504,151926,9,0,32768,0
(null),14836504,151926,9,0,18446744073709551615,0
(null),14836504,151926,3,0,0,294483
(null),14836504,151926,3,0,64,757
(null),14836504,151926,3,0,128,130
(null),14836504,151926,3,0,192,42
(null),14836504,151926,3,0,256,494
(null),14836504,151926,3,0,2048,0
(null),14836504,151926,3,0,4096,0
(null),14836504,151926,3,0,6144,0
(null),14836504,151926,3,0,8192,0
(null),14836504,151926,3,0,10240,0
(null),14836504,151926,3,0,12288,0
(null),14836504,151926,3,0,14336,0
(null),14836504,151926,3,0,16384,0
(null),14836504,151926,3,0,18432,0
(null),14836504,151926,3,0,20480,0
(null),14836504,151926,3,0,22528,0
(null),14836504,151926,3,0,24576,0
(null),14836504,151926,3,0,26624,0
(null),14836504,151926,3,0,28672,0
(null),14836504,151926,3,0,30720,0
(null),14836504,151926,3,0,32768,0
(null),14836504,151926,3,0,18446744073709551615,0
(null),14836504,151926,6,0,0,442384
(null),14836504,151926,6,0,64,481
(null),14836504,151926,6,0,128,66
(null),14836504,151926,6,0,192,60
(null),14836504,151926,6,0,256,340
(null),14836504,151926,6,0,2048,0
(null),14836504,151926,6,0,4096,0
(null),14836504,151926,6,0,6144,0
(null),14836504,151926,6,0,8192,0
(null),14836504,151926,6,0,10240,0
(null),14836504,151926,6,0,12288,0
(null),14836504,151926,6,0,14336,0
(null),14836504,151926,6,0,16384,0
(null),14836504,151926,6,0,18432,0
(null),14836504,151926,6,0,20480,0
(null),14836504,151926,6,0,22528,0
(null),14836504,151926,6,0,24576,0
(null),14836504,151926,6,0,26624,0
(null),14836504,151926,6,0,28672,0
(null),14836504,151926,6,0,30720,0
(null),14836504,151926,6,0,32768,0
(null),14836504,151926,6,0,18446744073709551615,0
(null),14836504,151926,11,0,0,455851
(null),14836504,151926,11,0,64,388
(null),14836504,151926,11,0,128,31
(null),14836504,151926,11,0,192,32
(null),14836504,151926,11,0,256,419
(null),14836504,151926,11,0,2048,0
(null),14836504,151926,11,0,4096,0
(null),14836504,151926,11,0,6144,0
(null),14836504,151926,11,0,8192,0
(null),14836504,151926,11,0,10240,0
(null),14836504,151926,11,0,12288,0
(null),14836504,151926,11,0,14336,0
(null),14836504,151926,11,0,16384,0
(null),14836504,151926,11,0,18432,0
(null),14836504,151926,11,0,20480,0
(null),14836504,151926,11,0,22528,0
(null),14836504,151926,11,0,24576,0
(null),14836504,151926,11,0,26624,0
(null),14836504,151926,11,0,28672,0
(null),14836504,151926,11,0,30720,0
(null),14836504,151926,11,0,32768,0
(null),14836504,151926,11,0,18446744073709551615,0
(null),14836504,151926,4,0,0,433306
(null),14836504,151926,4,0,64,766
(null),14836504,151926,4,0,128,149
(null),14836504,151926,4,0,192,29
(null),14836504,151926,4,0,256,577
(null),14836504,151926,4,0,2048,0
(null),14836504,151926,4,0,4096,0
(null),14836504,151926,4,0,6144,0
(null),14836504,151926,4,0,8192,0
(null),14836504,151926,4,0,10240,0
(null),14836504,151926,4,0,12288,0
(null),14836504,151926,4,0,14336,0
(null),14836504,151926,4,0,16384,0
(null),14836504,151926,4,0,18432,0
(null),14836504,151926,4,0,20480,0
(null),14836504,151926,4,0,22528,0
(null),14836504,151926,4,0,24576,0
(null),14836504,151926,4,0,26624,0
(null),14836504,151926,4,0,28672,0
(null),14836504,151926,4,0,30720,0
(null),14836504,151926,4,0,32768,0
(null),14836504,151926,4,0,18446744073709551615,0
(null),14836504,151926,36,0,0,232716
(null),14836504,151926,36,0,64,596
(null),14836504,151926,36,0,128,185
(null),14836504,151926,36,0,192,86
(null),14836504,151926,36,0,256,370
(null),14836504,151926,36,0,2048,0
(null),14836504,151926,36,0,4096,0
(null),14836504,151926,36,0,6144,0
(null),14836504,151926,36,0,8192,0
(null),14836504,151926,36,0,10240,0
(null),14836504,151926,36,0,12288,0
