matrix,nnz,nrows,cache_id,shared,mindist,count
(null),3083796,1090920,3,0,0,102768
(null),3083796,1090920,3,0,64,1655
(null),3083796,1090920,3,0,128,763
(null),3083796,1090920,3,0,192,472
(null),3083796,1090920,3,0,256,2037
(null),3083796,1090920,3,0,2048,2330
(null),3083796,1090920,3,0,4096,0
(null),3083796,1090920,3,0,6144,0
(null),3083796,1090920,3,0,8192,0
(null),3083796,1090920,3,0,10240,0
(null),3083796,1090920,3,0,12288,0
(null),3083796,1090920,3,0,14336,0
(null),3083796,1090920,3,0,16384,0
(null),3083796,1090920,3,0,18432,0
(null),3083796,1090920,3,0,20480,0
(null),3083796,1090920,3,0,22528,0
(null),3083796,1090920,3,0,24576,0
(null),3083796,1090920,3,0,26624,0
(null),3083796,1090920,3,0,28672,0
(null),3083796,1090920,3,0,30720,0
(null),3083796,1090920,3,0,32768,0
(null),3083796,1090920,3,0,18446744073709551615,0
(null),3083796,1090920,5,0,0,102802
(null),3083796,1090920,5,0,64,1859
(null),3083796,1090920,5,0,128,837
(null),3083796,1090920,5,0,192,502
(null),3083796,1090920,5,0,256,2267
(null),3083796,1090920,5,0,2048,2484
(null),3083796,1090920,5,0,4096,0
(null),3083796,1090920,5,0,6144,0
(null),3083796,1090920,5,0,8192,0
(null),3083796,1090920,5,0,10240,0
(null),3083796,1090920,5,0,12288,0
(null),3083796,1090920,5,0,14336,0
(null),3083796,1090920,5,0,16384,0
(null),3083796,1090920,5,0,18432,0
(null),3083796,1090920,5,0,20480,0
(null),3083796,1090920,5,0,22528,0
(null),3083796,1090920,5,0,24576,0
(null),3083796,1090920,5,0,26624,0
(null),3083796,1090920,5,0,28672,0
(null),3083796,1090920,5,0,30720,0
(null),3083796,1090920,5,0,32768,0
(null),3083796,1090920,5,0,18446744073709551615,0
(null),3083796,1090920,35,0,0,104408
(null),3083796,1090920,35,0,64,1732
(null),3083796,1090920,35,0,128,729
(null),3083796,1090920,35,0,192,436
(null),3083796,1090920,35,0,256,1755
(null),3083796,1090920,35,0,2048,2204
(null),3083796,1090920,35,0,4096,0
(null),3083796,1090920,35,0,6144,0
(null),3083796,1090920,35,0,8192,0
(null),3083796,1090920,35,0,10240,0
(null),3083796,1090920,35,0,12288,0
(null),3083796,1090920,35,0,14336,0
(null),3083796,1090920,35,0,16384,0
(null),3083796,1090920,35,0,18432,0
(null),3083796,1090920,35,0,20480,0
(null),3083796,1090920,35,0,22528,0
(null),3083796,1090920,35,0,24576,0
(null),3083796,1090920,35,0,26624,0
(null),3083796,1090920,35,0,28672,0
(null),3083796,1090920,35,0,30720,0
(null),3083796,1090920,35,0,32768,0
(null),3083796,1090920,35,0,18446744073709551615,0
(null),3083796,1090920,45,0,0,102583
(null),3083796,1090920,45,0,64,922
(null),3083796,1090920,45,0,128,331
(null),3083796,1090920,45,0,192,230
(null),3083796,1090920,45,0,256,1541
(null),3083796,1090920,45,0,2048,2339
(null),3083796,1090920,45,0,4096,0
(null),3083796,1090920,45,0,6144,0
(null),3083796,1090920,45,0,8192,0
(null),3083796,1090920,45,0,10240,0
(null),3083796,1090920,45,0,12288,0
(null),3083796,1090920,45,0,14336,0
(null),3083796,1090920,45,0,16384,0
(null),3083796,1090920,45,0,18432,0
(null),3083796,1090920,45,0,20480,0
(null),3083796,1090920,45,0,22528,0
(null),3083796,1090920,45,0,24576,0
(null),3083796,1090920,45,0,26624,0
(null),3083796,1090920,45,0,28672,0
(null),3083796,1090920,45,0,30720,0
(null),3083796,1090920,45,0,32768,0
(null),3083796,1090920,45,0,18446744073709551615,0
(null),3083796,1090920,34,0,0,102814
(null),3083796,1090920,34,0,64,1163
(null),3083796,1090920,34,0,128,569
(null),3083796,1090920,34,0,192,314
(null),3083796,1090920,34,0,256,1522
(null),3083796,1090920,34,0,2048,3035
(null),3083796,1090920,34,0,4096,0
(null),3083796,1090920,34,0,6144,0
(null),3083796,1090920,34,0,8192,0
(null),3083796,1090920,34,0,10240,0
(null),3083796,1090920,34,0,12288,0
(null),3083796,1090920,34,0,14336,0
(null),3083796,1090920,34,0,16384,0
(null),3083796,1090920,34,0,18432,0
(null),3083796,1090920,34,0,20480,0
(null),3083796,1090920,34,0,22528,0
(null),3083796,1090920,34,0,24576,0
(null),3083796,1090920,34,0,26624,0
(null),3083796,1090920,34,0,28672,0
(null),3083796,1090920,34,0,30720,0
(null),3083796,1090920,34,0,32768,0
(null),3083796,1090920,34,0,18446744073709551615,0
(null),3083796,1090920,39,0,0,101165
(null),3083796,1090920,39,0,64,2310
(null),3083796,1090920,39,0,128,988
(null),3083796,1090920,39,0,192,593
(null),3083796,1090920,39,0,256,1882
(null),3083796,1090920,39,0,2048,2531
(null),3083796,1090920,39,0,4096,0
(null),3083796,1090920,39,0,6144,0
(null),3083796,1090920,39,0,8192,0
(null),3083796,1090920,39,0,10240,0
(null),3083796,1090920,39,0,12288,0
(null),3083796,1090920,39,0,14336,0
(null),3083796,1090920,39,0,16384,0
(null),3083796,1090920,39,0,18432,0
(null),3083796,1090920,39,0,20480,0
(null),3083796,1090920,39,0,22528,0
(null),3083796,1090920,39,0,24576,0
(null),3083796,1090920,39,0,26624,0
(null),3083796,1090920,39,0,28672,0
(null),3083796,1090920,39,0,30720,0
(null),3083796,1090920,39,0,32768,0
(null),3083796,1090920,39,0,18446744073709551615,0
(null),3083796,1090920,24,0,0,101762
(null),3083796,1090920,24,0,64,1767
(null),3083796,1090920,24,0,128,724
(null),3083796,1090920,24,0,192,386
(null),3083796,1090920,24,0,256,1457
(null),3083796,1090920,24,0,2048,2081
(null),3083796,1090920,24,0,4096,0
(null),3083796,1090920,24,0,6144,0
(null),3083796,1090920,24,0,8192,0
(null),3083796,1090920,24,0,10240,0
(null),3083796,1090920,24,0,12288,0
(null),3083796,1090920,24,0,14336,0
(null),3083796,1090920,24,0,16384,0
(null),3083796,1090920,24,0,18432,0
(null),3083796,1090920,24,0,20480,0
(null),3083796,1090920,24,0,22528,0
(null),3083796,1090920,24,0,24576,0
(null),3083796,1090920,24,0,26624,0
(null),3083796,1090920,24,0,28672,0
(null),3083796,1090920,24,0,30720,0
(null),3083796,1090920,24,0,32768,0
(null),3083796,1090920,24,0,18446744073709551615,0
(null),3083796,1090920,31,0,0,103463
(null),3083796,1090920,31,0,64,1696
(null),3083796,1090920,31,0,128,694
(null),3083796,1090920,31,0,192,318
(null),3083796,1090920,31,0,256,1358
(null),3083796,1090920,31,0,2048,2147
(null),3083796,1090920,31,0,4096,0
(null),3083796,1090920,31,0,6144,0
(null),3083796,1090920,31,0,8192,0
(null),3083796,1090920,31,0,10240,0
(null),3083796,1090920,31,0,12288,0
(null),3083796,1090920,31,0,14336,0
(null),3083796,1090920,31,0,16384,0
(null),3083796,1090920,31,0,18432,0
(null),3083796,1090920,31,0,20480,0
(null),3083796,1090920,31,0,22528,0
(null),3083796,1090920,31,0,24576,0
(null),3083796,1090920,31,0,26624,0
(null),3083796,1090920,31,0,28672,0
(null),3083796,1090920,31,0,30720,0
(null),3083796,1090920,31,0,32768,0
(null),3083796,1090920,31,0,18446744073709551615,0
(null),3083796,1090920,26,0,0,102869
(null),3083796,1090920,26,0,64,1691
(null),3083796,1090920,26,0,128,872
(null),3083796,1090920,26,0,192,561
(null),3083796,1090920,26,0,256,3058
(null),3083796,1090920,26,0,2048,2093
(null),3083796,1090920,26,0,4096,0
(null),3083796,1090920,26,0,6144,0
(null),3083796,1090920,26,0,8192,0
(null),3083796,1090920,26,0,10240,0
(null),3083796,1090920,26,0,12288,0
(null),3083796,1090920,26,0,14336,0
(null),3083796,1090920,26,0,16384,0
(null),3083796,1090920,26,0,18432,0
(null),3083796,1090920,26,0,20480,0
(null),3083796,1090920,26,0,22528,0
(null),3083796,1090920,26,0,24576,0
(null),3083796,1090920,26,0,26624,0
(null),3083796,1090920,26,0,28672,0
(null),3083796,1090920,26,0,30720,0
(null),3083796,1090920,26,0,32768,0
(null),3083796,1090920,26,0,18446744073709551615,0
(null),3083796,1090920,25,0,0,106607
(null),3083796,1090920,25,0,64,1209
(null),3083796,1090920,25,0,128,596
(null),3083796,1090920,25,0,192,415
(null),3083796,1090920,25,0,256,2098
(null),3083796,1090920,25,0,2048,2423
(null),3083796,1090920,25,0,4096,0
(null),3083796,1090920,25,0,6144,0
(null),3083796,1090920,25,0,8192,0
(null),3083796,1090920,25,0,10240,0
(null),3083796,1090920,25,0,12288,0
(null),3083796,1090920,25,0,14336,0
(null),3083796,1090920,25,0,16384,0
(null),3083796,1090920,25,0,18432,0
(null),3083796,1090920,25,0,20480,0
(null),3083796,1090920,25,0,22528,0
(null),3083796,1090920,25,0,24576,0
(null),3083796,1090920,25,0,26624,0
(null),3083796,1090920,25,0,28672,0
(null),3083796,1090920,25,0,30720,0
(null),3083796,1090920,25,0,32768,0
(null),3083796,1090920,25,0,18446744073709551615,0
(null),3083796,1090920,30,0,0,100024
(null),3083796,1090920,30,0,64,1272
(null),3083796,1090920,30,0,128,596
(null),3083796,1090920,30,0,192,504
(null),3083796,1090920,30,0,256,2635
(null),3083796,1090920,30,0,2048,1859
(null),3083796,1090920,30,0,4096,0
(null),3083796,1090920,30,0,6144,0
(null),3083796,1090920,30,0,8192,0
(null),3083796,1090920,30,0,10240,0
(null),3083796,1090920,30,0,12288,0
(null),3083796,1090920,30,0,14336,0
(null),3083796,1090920,30,0,16384,0
(null),3083796,1090920,30,0,18432,0
(null),3083796,1090920,30,0,20480,0
(null),3083796,1090920,30,0,22528,0
(null),3083796,1090920,30,0,24576,0
(null),3083796,1090920,30,0,26624,0
(null),3083796,1090920,30,0,28672,0
(null),3083796,1090920,30,0,30720,0
(null),3083796,1090920,30,0,32768,0
(null),3083796,1090920,30,0,18446744073709551615,0
(null),3083796,1090920,32,0,0,95966
(null),3083796,1090920,32,0,64,2513
(null),3083796,1090920,32,0,128,1313
(null),3083796,1090920,32,0,192,780
(null),3083796,1090920,32,0,256,3471
(null),3083796,1090920,32,0,2048,1795
(null),3083796,1090920,32,0,4096,0
(null),3083796,1090920,32,0,6144,0
(null),3083796,1090920,32,0,8192,0
(null),3083796,1090920,32,0,10240,0
(null),3083796,1090920,32,0,12288,0
(null),3083796,1090920,32,0,14336,0
(null),3083796,1090920,32,0,16384,0
(null),3083796,1090920,32,0,18432,0
(null),3083796,1090920,32,0,20480,0
(null),3083796,1090920,32,0,22528,0
(null),3083796,1090920,32,0,24576,0
(null),3083796,1090920,32,0,26624,0
(null),3083796,1090920,32,0,28672,0
(null),3083796,1090920,32,0,30720,0
(null),3083796,1090920,32,0,32768,0
(null),3083796,1090920,32,0,18446744073709551615,0
(null),3083796,1090920,33,0,0,106581
(null),3083796,1090920,33,0,64,1015
(null),3083796,1090920,33,0,128,534
(null),3083796,1090920,33,0,192,366
(null),3083796,1090920,33,0,256,2265
(null),3083796,1090920,33,0,2048,2265
(null),3083796,1090920,33,0,4096,0
(null),3083796,1090920,33,0,6144,0
(null),3083796,1090920,33,0,8192,0
(null),3083796,1090920,33,0,10240,0
(null),3083796,1090920,33,0,12288,0
(null),3083796,1090920,33,0,14336,0
(null),3083796,1090920,33,0,16384,0
(null),3083796,1090920,33,0,18432,0
(null),3083796,1090920,33,0,20480,0
