matrix,nnz,nrows,cache_id,shared,mindist,count
(null),5080961,726713,36,0,0,134071
(null),5080961,726713,36,0,64,256
(null),5080961,726713,36,0,128,256
(null),5080961,726713,36,0,192,118
(null),5080961,726713,36,0,256,1478
(null),5080961,726713,36,0,2048,0
(null),5080961,726713,36,0,4096,0
(null),5080961,726713,36,0,6144,0
(null),5080961,726713,36,0,8192,0
(null),5080961,726713,36,0,10240,0
(null),5080961,726713,36,0,12288,0
(null),5080961,726713,36,0,14336,0
(null),5080961,726713,36,0,16384,0
(null),5080961,726713,36,0,18432,0
(null),5080961,726713,36,0,20480,0
(null),5080961,726713,36,0,22528,0
(null),5080961,726713,36,0,24576,0
(null),5080961,726713,36,0,26624,0
(null),5080961,726713,36,0,28672,0
(null),5080961,726713,36,0,30720,0
(null),5080961,726713,36,0,32768,0
(null),5080961,726713,36,0,18446744073709551615,0
(null),5080961,726713,0,0,0,133683
(null),5080961,726713,0,0,64,230
(null),5080961,726713,0,0,128,0
(null),5080961,726713,0,0,192,0
(null),5080961,726713,0,0,256,1436
(null),5080961,726713,0,0,2048,0
(null),5080961,726713,0,0,4096,0
(null),5080961,726713,0,0,6144,0
(null),5080961,726713,0,0,8192,0
(null),5080961,726713,0,0,10240,0
(null),5080961,726713,0,0,12288,0
(null),5080961,726713,0,0,14336,0
(null),5080961,726713,0,0,16384,0
(null),5080961,726713,0,0,18432,0
(null),5080961,726713,0,0,20480,0
(null),5080961,726713,0,0,22528,0
(null),5080961,726713,0,0,24576,0
(null),5080961,726713,0,0,26624,0
(null),5080961,726713,0,0,28672,0
(null),5080961,726713,0,0,30720,0
(null),5080961,726713,0,0,32768,0
(null),5080961,726713,0,0,18446744073709551615,0
(null),5080961,726713,33,0,0,134061
(null),5080961,726713,33,0,64,256
(null),5080961,726713,33,0,128,246
(null),5080961,726713,33,0,192,147
(null),5080961,726713,33,0,256,1483
(null),5080961,726713,33,0,2048,0
(null),5080961,726713,33,0,4096,0
(null),5080961,726713,33,0,6144,0
(null),5080961,726713,33,0,8192,0
(null),5080961,726713,33,0,10240,0
(null),5080961,726713,33,0,12288,0
(null),5080961,726713,33,0,14336,0
(null),5080961,726713,33,0,16384,0
(null),5080961,726713,33,0,18432,0
(null),5080961,726713,33,0,20480,0
(null),5080961,726713,33,0,22528,0
(null),5080961,726713,33,0,24576,0
(null),5080961,726713,33,0,26624,0
(null),5080961,726713,33,0,28672,0
(null),5080961,726713,33,0,30720,0
(null),5080961,726713,33,0,32768,0
(null),5080961,726713,33,0,18446744073709551615,0
(null),5080961,726713,40,0,0,134093
(null),5080961,726713,40,0,64,293
(null),5080961,726713,40,0,128,281
(null),5080961,726713,40,0,192,38
