matrix,nnz,nrows,cache_id,shared,mindist,count
(null),19753078,1634989,17,0,0,124763
(null),19753078,1634989,17,0,64,21296
(null),19753078,1634989,17,0,128,11773
(null),19753078,1634989,17,0,192,8829
(null),19753078,1634989,17,0,256,74216
(null),19753078,1634989,17,0,2048,33728
(null),19753078,1634989,17,0,4096,23190
(null),19753078,1634989,17,0,6144,17986
(null),19753078,1634989,17,0,8192,14624
(null),19753078,1634989,17,0,10240,11875
(null),19753078,1634989,17,0,12288,10684
(null),19753078,1634989,17,0,14336,9327
(null),19753078,1634989,17,0,16384,8218
(null),19753078,1634989,17,0,18432,7610
(null),19753078,1634989,17,0,20480,6783
(null),19753078,1634989,17,0,22528,6207
(null),19753078,1634989,17,0,24576,5885
(null),19753078,1634989,17,0,26624,5267
(null),19753078,1634989,17,0,28672,4832
(null),19753078,1634989,17,0,30720,4349
(null),19753078,1634989,17,0,32768,29235
(null),19753078,1634989,17,0,18446744073709551615,0
(null),19753078,1634989,19,0,0,124488
(null),19753078,1634989,19,0,64,25532
(null),19753078,1634989,19,0,128,12712
(null),19753078,1634989,19,0,192,9053
(null),19753078,1634989,19,0,256,74304
(null),19753078,1634989,19,0,2048,33737
(null),19753078,1634989,19,0,4096,23040
(null),19753078,1634989,19,0,6144,18165
(null),19753078,1634989,19,0,8192,14275
(null),19753078,1634989,19,0,10240,12043
(null),19753078,1634989,19,0,12288,10744
(null),19753078,1634989,19,0,14336,9104
(null),19753078,1634989,19,0,16384,8211
(null),19753078,1634989,19,0,18432,7778
(null),19753078,1634989,19,0,20480,6564
(null),19753078,1634989,19,0,22528,6158
(null),19753078,1634989,19,0,24576,5695
(null),19753078,1634989,19,0,26624,5024
(null),19753078,1634989,19,0,28672,4646
(null),19753078,1634989,19,0,30720,4324
(null),19753078,1634989,19,0,32768,28539
(null),19753078,1634989,19,0,18446744073709551615,0
(null),19753078,1634989,43,0,0,98783
(null),19753078,1634989,43,0,64,11841
(null),19753078,1634989,43,0,128,8306
