matrix,nnz,nrows,cache_id,shared,mindist,count
(null),15011265,185639,46,0,0,123279
(null),15011265,185639,46,0,62,68
(null),15011265,185639,46,0,101,39
(null),15011265,185639,46,0,124,113
(null),15011265,185639,46,0,187,109
(null),15011265,185639,46,0,249,1073
(null),15011265,185639,46,0,1998,0
(null),15011265,185639,46,0,3997,0
(null),15011265,185639,46,0,5995,0
(null),15011265,185639,46,0,7994,0
(null),15011265,185639,46,0,9992,0
(null),15011265,185639,46,0,11991,0
(null),15011265,185639,46,0,12978,0
(null),15011265,185639,46,0,13989,0
(null),15011265,185639,46,0,15988,0
(null),15011265,185639,46,0,17987,0
(null),15011265,185639,46,0,19985,0
(null),15011265,185639,46,0,21984,0
(null),15011265,185639,46,0,23982,0
(null),15011265,185639,46,0,25981,0
(null),15011265,185639,46,0,27979,0
(null),15011265,185639,46,0,29978,0
(null),15011265,185639,46,0,31977,0
(null),15011265,185639,46,0,18446744073709551615,0
(null),15011265,185639,2,0,0,125678
(null),15011265,185639,2,0,62,90
(null),15011265,185639,2,0,101,92
(null),15011265,185639,2,0,124,112
(null),15011265,185639,2,0,187,114
(null),15011265,185639,2,0,249,1045
(null),15011265,185639,2,0,1998,0
(null),15011265,185639,2,0,3997,0
(null),15011265,185639,2,0,5995,0
(null),15011265,185639,2,0,7994,0
(null),15011265,185639,2,0,9992,0
(null),15011265,185639,2,0,11991,0
(null),15011265,185639,2,0,12978,0
(null),15011265,185639,2,0,13989,0
(null),15011265,185639,2,0,15988,0
(null),15011265,185639,2,0,17987,0
(null),15011265,185639,2,0,19985,0
(null),15011265,185639,2,0,21984,0
(null),15011265,185639,2,0,23982,0
(null),15011265,185639,2,0,25981,0
(null),15011265,185639,2,0,27979,0
(null),15011265,185639,2,0,29978,0
(null),15011265,185639,2,0,31977,0
(null),15011265,185639,2,0,18446744073709551615,0
(null),15011265,185639,30,0,0,374454
(null),15011265,185639,30,0,62,60804
(null),15011265,185639,30,0,101,1288
(null),15011265,185639,30,0,124,2950
(null),15011265,185639,30,0,187,229
(null),15011265,185639,30,0,249,1274
(null),15011265,185639,30,0,1998,0
(null),15011265,185639,30,0,3997,0
(null),15011265,185639,30,0,5995,0
(null),15011265,185639,30,0,7994,0
(null),15011265,185639,30,0,9992,0
(null),15011265,185639,30,0,11991,0
(null),15011265,185639,30,0,12978,0
(null),15011265,185639,30,0,13989,0
(null),15011265,185639,30,0,15988,0
(null),15011265,185639,30,0,17987,0
(null),15011265,185639,30,0,19985,0
(null),15011265,185639,30,0,21984,0
(null),15011265,185639,30,0,23982,0
(null),15011265,185639,30,0,25981,0
(null),15011265,185639,30,0,27979,0
(null),15011265,185639,30,0,29978,0
(null),15011265,185639,30,0,31977,0
(null),15011265,185639,30,0,18446744073709551615,0
(null),15011265,185639,38,0,0,296104
(null),15011265,185639,38,0,62,42817
(null),15011265,185639,38,0,101,1014
(null),15011265,185639,38,0,124,3817
(null),15011265,185639,38,0,187,96
(null),15011265,185639,38,0,249,1434
(null),15011265,185639,38,0,1998,0
(null),15011265,185639,38,0,3997,0
(null),15011265,185639,38,0,5995,0
(null),15011265,185639,38,0,7994,0
(null),15011265,185639,38,0,9992,0
(null),15011265,185639,38,0,11991,0
(null),15011265,185639,38,0,12978,0
(null),15011265,185639,38,0,13989,0
(null),15011265,185639,38,0,15988,0
(null),15011265,185639,38,0,17987,0
(null),15011265,185639,38,0,19985,0
(null),15011265,185639,38,0,21984,0
(null),15011265,185639,38,0,23982,0
(null),15011265,185639,38,0,25981,0
(null),15011265,185639,38,0,27979,0
