matrix,nnz,nrows,cache_id,shared,mindist,count
(null),14148858,63838,4,0,0,552208
(null),14148858,63838,4,0,63,2129
(null),14148858,63838,4,0,102,600
(null),14148858,63838,4,0,126,689
(null),14148858,63838,4,0,190,277
(null),14148858,63838,4,0,253,1342
(null),14148858,63838,4,0,2029,0
(null),14148858,63838,4,0,4059,0
(null),14148858,63838,4,0,6089,0
(null),14148858,63838,4,0,8118,0
(null),14148858,63838,4,0,10148,0
(null),14148858,63838,4,0,12178,0
(null),14148858,63838,4,0,13060,0
(null),14148858,63838,4,0,14207,0
(null),14148858,63838,4,0,16237,0
(null),14148858,63838,4,0,18267,0
(null),14148858,63838,4,0,20296,0
(null),14148858,63838,4,0,22326,0
(null),14148858,63838,4,0,24356,0
(null),14148858,63838,4,0,26385,0
(null),14148858,63838,4,0,28415,0
(null),14148858,63838,4,0,30445,0
(null),14148858,63838,4,0,32474,0
(null),14148858,63838,4,0,18446744073709551615,0
(null),14148858,63838,45,0,0,236481
(null),14148858,63838,45,0,63,593
(null),14148858,63838,45,0,102,77
(null),14148858,63838,45,0,126,230
(null),14148858,63838,45,0,190,172
(null),14148858,63838,45,0,253,548
(null),14148858,63838,45,0,2029,0
(null),14148858,63838,45,0,4059,0
(null),14148858,63838,45,0,6089,0
(null),14148858,63838,45,0,8118,0
(null),14148858,63838,45,0,10148,0
(null),14148858,63838,45,0,12178,0
(null),14148858,63838,45,0,13060,0
(null),14148858,63838,45,0,14207,0
(null),14148858,63838,45,0,16237,0
(null),14148858,63838,45,0,18267,0
(null),14148858,63838,45,0,20296,0
(null),14148858,63838,45,0,22326,0
(null),14148858,63838,45,0,24356,0
(null),14148858,63838,45,0,26385,0
(null),14148858,63838,45,0,28415,0
(null),14148858,63838,45,0,30445,0
(null),14148858,63838,45,0,32474,0
(null),14148858,63838,45,0,18446744073709551615,0
(null),14148858,63838,31,0,0,334432
(null),14148858,63838,31,0,63,308
(null),14148858,63838,31,0,102,43
(null),14148858,63838,31,0,126,60
(null),14148858,63838,31,0,190,19
(null),14148858,63838,31,0,253,371
(null),14148858,63838,31,0,2029,0
(null),14148858,63838,31,0,4059,0
(null),14148858,63838,31,0,6089,0
(null),14148858,63838,31,0,8118,0
(null),14148858,63838,31,0,10148,0
(null),14148858,63838,31,0,12178,0
(null),14148858,63838,31,0,13060,0
(null),14148858,63838,31,0,14207,0
(null),14148858,63838,31,0,16237,0
(null),14148858,63838,31,0,18267,0
(null),14148858,63838,31,0,20296,0
(null),14148858,63838,31,0,22326,0
(null),14148858,63838,31,0,24356,0
(null),14148858,63838,31,0,26385,0
(null),14148858,63838,31,0,28415,0
(null),14148858,63838,31,0,30445,0
(null),14148858,63838,31,0,32474,0
(null),14148858,63838,31,0,18446744073709551615,0
(null),14148858,63838,38,0,0,140171
(null),14148858,63838,38,0,63,392
(null),14148858,63838,38,0,102,146
(null),14148858,63838,38,0,126,206
(null),14148858,63838,38,0,190,159
(null),14148858,63838,38,0,253,1684
(null),14148858,63838,38,0,2029,0
(null),14148858,63838,38,0,4059,0
(null),14148858,63838,38,0,6089,0
(null),14148858,63838,38,0,8118,0
(null),14148858,63838,38,0,10148,0
(null),14148858,63838,38,0,12178,0
(null),14148858,63838,38,0,13060,0
(null),14148858,63838,38,0,14207,0
(null),14148858,63838,38,0,16237,0
(null),14148858,63838,38,0,18267,0
(null),14148858,63838,38,0,20296,0
(null),14148858,63838,38,0,22326,0
(null),14148858,63838,38,0,24356,0
(null),14148858,63838,38,0,26385,0
(null),14148858,63838,38,0,28415,0
(null),14148858,63838,38,0,30445,0
(null),14148858,63838,38,0,32474,0
(null),14148858,63838,38,0,18446744073709551615,0
(null),14148858,63838,42,0,0,223035
(null),14148858,63838,42,0,63,470
(null),14148858,63838,42,0,102,115
(null),14148858,63838,42,0,126,105
(null),14148858,63838,42,0,190,109
(null),14148858,63838,42,0,253,722
(null),14148858,63838,42,0,2029,0
(null),14148858,63838,42,0,4059,0
(null),14148858,63838,42,0,6089,0
(null),14148858,63838,42,0,8118,0
(null),14148858,63838,42,0,10148,0
(null),14148858,63838,42,0,12178,0
