matrix,nnz,nrows,cache_id,shared,mindist,count
(null),12582816,2097152,28,0,0,258398
(null),12582816,2097152,28,0,47,555
(null),12582816,2097152,28,0,90,71
(null),12582816,2097152,28,0,95,211
(null),12582816,2097152,28,0,143,30
(null),12582816,2097152,28,0,191,400
(null),12582816,2097152,28,0,1535,2043
(null),12582816,2097152,28,0,3071,0
(null),12582816,2097152,28,0,4607,0
(null),12582816,2097152,28,0,6143,0
(null),12582816,2097152,28,0,7679,0
(null),12582816,2097152,28,0,9215,0
(null),12582816,2097152,28,0,10751,0
(null),12582816,2097152,28,0,11565,0
(null),12582816,2097152,28,0,12287,0
(null),12582816,2097152,28,0,13823,0
(null),12582816,2097152,28,0,15359,0
(null),12582816,2097152,28,0,16895,0
(null),12582816,2097152,28,0,18431,0
(null),12582816,2097152,28,0,19967,0
(null),12582816,2097152,28,0,21503,0
(null),12582816,2097152,28,0,23039,0
(null),12582816,2097152,28,0,24575,0
(null),12582816,2097152,28,0,18446744073709551615,0
(null),12582816,2097152,16,0,0,259171
(null),12582816,2097152,16,0,47,515
(null),12582816,2097152,16,0,90,62
(null),12582816,2097152,16,0,95,238
(null),12582816,2097152,16,0,143,34
(null),12582816,2097152,16,0,191,380
(null),12582816,2097152,16,0,1535,2043
(null),12582816,2097152,16,0,3071,0
(null),12582816,2097152,16,0,4607,0
(null),12582816,2097152,16,0,6143,0
(null),12582816,2097152,16,0,7679,0
(null),12582816,2097152,16,0,9215,0
(null),12582816,2097152,16,0,10751,0
(null),12582816,2097152,16,0,11565,0
(null),12582816,2097152,16,0,12287,0
(null),12582816,2097152,16,0,13823,0
(null),12582816,2097152,16,0,15359,0
(null),12582816,2097152,16,0,16895,0
(null),12582816,2097152,16,0,18431,0
(null),12582816,2097152,16,0,19967,0
(null),12582816,2097152,16,0,21503,0
(null),12582816,2097152,16,0,23039,0
(null),12582816,2097152,16,0,24575,0
(null),12582816,2097152,16,0,18446744073709551615,0
(null),12582816,2097152,44,0,0,258719
(null),12582816,2097152,44,0,47,526
(null),12582816,2097152,44,0,90,65
(null),12582816,2097152,44,0,95,214
(null),12582816,2097152,44,0,143,58
(null),12582816,2097152,44,0,191,392
(null),12582816,2097152,44,0,1535,2031
(null),12582816,2097152,44,0,3071,0
(null),12582816,2097152,44,0,4607,0
(null),12582816,2097152,44,0,6143,0
(null),12582816,2097152,44,0,7679,0
(null),12582816,2097152,44,0,9215,0
(null),12582816,2097152,44,0,10751,0
(null),12582816,2097152,44,0,11565,0
(null),12582816,2097152,44,0,12287,0
(null),12582816,2097152,44,0,13823,0
(null),12582816,2097152,44,0,15359,0
(null),12582816,2097152,44,0,16895,0
(null),12582816,2097152,44,0,18431,0
(null),12582816,2097152,44,0,19967,0
(null),12582816,2097152,44,0,21503,0
(null),12582816,2097152,44,0,23039,0
(null),12582816,2097152,44,0,24575,0
(null),12582816,2097152,44,0,18446744073709551615,0
(null),12582816,2097152,9,0,0,251587
(null),12582816,2097152,9,0,47,1140
(null),12582816,2097152,9,0,90,41
(null),12582816,2097152,9,0,95,600
(null),12582816,2097152,9,0,143,89
(null),12582816,2097152,9,0,191,1095
(null),12582816,2097152,9,0,1535,32
(null),12582816,2097152,9,0,3071,67
(null),12582816,2097152,9,0,4607,36
(null),12582816,2097152,9,0,6143,7578
(null),12582816,2097152,9,0,7679,0
(null),12582816,2097152,9,0,9215,0
(null),12582816,2097152,9,0,10751,0
(null),12582816,2097152,9,0,11565,0
(null),12582816,2097152,9,0,12287,0
(null),12582816,2097152,9,0,13823,0
(null),12582816,2097152,9,0,15359,0
(null),12582816,2097152,9,0,16895,0
(null),12582816,2097152,9,0,18431,0
(null),12582816,2097152,9,0,19967,0
(null),12582816,2097152,9,0,21503,0
(null),12582816,2097152,9,0,23039,0
(null),12582816,2097152,9,0,24575,0
(null),12582816,2097152,9,0,18446744073709551615,0
(null),12582816,2097152,40,0,0,258751
(null),12582816,2097152,40,0,47,554
(null),12582816,2097152,40,0,90,63
(null),12582816,2097152,40,0,95,240
(null),12582816,2097152,40,0,143,39
(null),12582816,2097152,40,0,191,379
(null),12582816,2097152,40,0,1535,2039
(null),12582816,2097152,40,0,3071,0
(null),12582816,2097152,40,0,4607,0
(null),12582816,2097152,40,0,6143,0
(null),12582816,2097152,40,0,7679,0
(null),12582816,2097152,40,0,9215,0
(null),12582816,2097152,40,0,10751,0
(null),12582816,2097152,40,0,11565,0
(null),12582816,2097152,40,0,12287,0
(null),12582816,2097152,40,0,13823,0
(null),12582816,2097152,40,0,15359,0
(null),12582816,2097152,40,0,16895,0
(null),12582816,2097152,40,0,18431,0
(null),12582816,2097152,40,0,19967,0
(null),12582816,2097152,40,0,21503,0
(null),12582816,2097152,40,0,23039,0
(null),12582816,2097152,40,0,24575,0
(null),12582816,2097152,40,0,18446744073709551615,0
(null),12582816,2097152,2,0,0,227267
(null),12582816,2097152,2,0,47,2547
(null),12582816,2097152,2,0,90,234
(null),12582816,2097152,2,0,95,869
(null),12582816,2097152,2,0,143,324
(null),12582816,2097152,2,0,191,2350
(null),12582816,2097152,2,0,1535,190
(null),12582816,2097152,2,0,3071,101
(null),12582816,2097152,2,0,4607,113
(null),12582816,2097152,2,0,6143,0
(null),12582816,2097152,2,0,7679,1
(null),12582816,2097152,2,0,9215,0
(null),12582816,2097152,2,0,10751,18
(null),12582816,2097152,2,0,11565,0
(null),12582816,2097152,2,0,12287,19
(null),12582816,2097152,2,0,13823,10
(null),12582816,2097152,2,0,15359,9
(null),12582816,2097152,2,0,16895,18
(null),12582816,2097152,2,0,18431,0
(null),12582816,2097152,2,0,19967,0
(null),12582816,2097152,2,0,21503,3
(null),12582816,2097152,2,0,23039,120
(null),12582816,2097152,2,0,24575,28298
(null),12582816,2097152,2,0,18446744073709551615,0
(null),12582816,2097152,37,0,0,258644
(null),12582816,2097152,37,0,47,570
(null),12582816,2097152,37,0,90,72
(null),12582816,2097152,37,0,95,247
(null),12582816,2097152,37,0,143,61
(null),12582816,2097152,37,0,191,418
(null),12582816,2097152,37,0,1535,2085
(null),12582816,2097152,37,0,3071,0
(null),12582816,2097152,37,0,4607,0
(null),12582816,2097152,37,0,6143,0
(null),12582816,2097152,37,0,7679,0
(null),12582816,2097152,37,0,9215,0
(null),12582816,2097152,37,0,10751,0
(null),12582816,2097152,37,0,11565,0
(null),12582816,2097152,37,0,12287,0
(null),12582816,2097152,37,0,13823,0
(null),12582816,2097152,37,0,15359,0
(null),12582816,2097152,37,0,16895,0
(null),12582816,2097152,37,0,18431,0
(null),12582816,2097152,37,0,19967,0
(null),12582816,2097152,37,0,21503,0
(null),12582816,2097152,37,0,23039,0
(null),12582816,2097152,37,0,24575,0
(null),12582816,2097152,37,0,18446744073709551615,0
(null),12582816,2097152,41,0,0,258857
(null),12582816,2097152,41,0,47,531
(null),12582816,2097152,41,0,90,67
