matrix,nnz,nrows,cache_id,shared,mindist,count
(null),48538952,1157456,37,0,0,901943
(null),48538952,1157456,37,0,61,3921
(null),48538952,1157456,37,0,100,951
(null),48538952,1157456,37,0,122,1708
(null),48538952,1157456,37,0,183,1071
(null),48538952,1157456,37,0,244,6128
(null),48538952,1157456,37,0,1954,0
(null),48538952,1157456,37,0,3909,0
(null),48538952,1157456,37,0,5864,0
(null),48538952,1157456,37,0,7819,0
(null),48538952,1157456,37,0,9773,0
(null),48538952,1157456,37,0,11728,0
(null),48538952,1157456,37,0,12861,0
(null),48538952,1157456,37,0,13683,0
(null),48538952,1157456,37,0,15638,0
(null),48538952,1157456,37,0,17592,0
(null),48538952,1157456,37,0,19547,0
(null),48538952,1157456,37,0,21502,0
(null),48538952,1157456,37,0,23457,0
(null),48538952,1157456,37,0,25412,0
(null),48538952,1157456,37,0,27366,0
(null),48538952,1157456,37,0,29321,0
(null),48538952,1157456,37,0,31276,0
(null),48538952,1157456,37,0,18446744073709551615,0
(null),48538952,1157456,16,0,0,895066
(null),48538952,1157456,16,0,61,4750
(null),48538952,1157456,16,0,100,1334
(null),48538952,1157456,16,0,122,1902
(null),48538952,1157456,16,0,183,1186
(null),48538952,1157456,16,0,244,4666
(null),48538952,1157456,16,0,1954,0
(null),48538952,1157456,16,0,3909,0
(null),48538952,1157456,16,0,5864,0
(null),48538952,1157456,16,0,7819,0
(null),48538952,1157456,16,0,9773,0
(null),48538952,1157456,16,0,11728,0
(null),48538952,1157456,16,0,12861,0
(null),48538952,1157456,16,0,13683,0
(null),48538952,1157456,16,0,15638,0
(null),48538952,1157456,16,0,17592,0
(null),48538952,1157456,16,0,19547,0
(null),48538952,1157456,16,0,21502,0
(null),48538952,1157456,16,0,23457,0
(null),48538952,1157456,16,0,25412,0
(null),48538952,1157456,16,0,27366,0
(null),48538952,1157456,16,0,29321,0
(null),48538952,1157456,16,0,31276,0
(null),48538952,1157456,16,0,18446744073709551615,0
(null),48538952,1157456,12,0,0,905971
(null),48538952,1157456,12,0,61,4282
(null),48538952,1157456,12,0,100,1102
(null),48538952,1157456,12,0,122,1887
(null),48538952,1157456,12,0,183,1067
(null),48538952,1157456,12,0,244,6401
(null),48538952,1157456,12,0,1954,592
(null),48538952,1157456,12,0,3909,0
(null),48538952,1157456,12,0,5864,0
(null),48538952,1157456,12,0,7819,0
(null),48538952,1157456,12,0,9773,0
(null),48538952,1157456,12,0,11728,0
(null),48538952,1157456,12,0,12861,0
(null),48538952,1157456,12,0,13683,0
(null),48538952,1157456,12,0,15638,0
(null),48538952,1157456,12,0,17592,0
(null),48538952,1157456,12,0,19547,0
(null),48538952,1157456,12,0,21502,0
(null),48538952,1157456,12,0,23457,0
(null),48538952,1157456,12,0,25412,0
(null),48538952,1157456,12,0,27366,0
(null),48538952,1157456,12,0,29321,0
(null),48538952,1157456,12,0,31276,0
(null),48538952,1157456,12,0,18446744073709551615,0
(null),48538952,1157456,19,0,0,881836
(null),48538952,1157456,19,0,61,3939
(null),48538952,1157456,19,0,100,897
(null),48538952,1157456,19,0,122,1587
(null),48538952,1157456,19,0,183,1046
(null),48538952,1157456,19,0,244,5199
(null),48538952,1157456,19,0,1954,0
(null),48538952,1157456,19,0,3909,0
(null),48538952,1157456,19,0,5864,0
(null),48538952,1157456,19,0,7819,0
(null),48538952,1157456,19,0,9773,0
(null),48538952,1157456,19,0,11728,0
(null),48538952,1157456,19,0,12861,0
(null),48538952,1157456,19,0,13683,0
(null),48538952,1157456,19,0,15638,0
(null),48538952,1157456,19,0,17592,0
(null),48538952,1157456,19,0,19547,0
(null),48538952,1157456,19,0,21502,0
(null),48538952,1157456,19,0,23457,0
