matrix,nnz,nrows,cache_id,shared,mindist,count
(null),108109320,50912018,37,0,0,1985841
(null),108109320,50912018,37,0,32,2836
(null),108109320,50912018,37,0,65,391
(null),108109320,50912018,37,0,74,752
(null),108109320,50912018,37,0,98,698
(null),108109320,50912018,37,0,131,4756
(null),108109320,50912018,37,0,1054,2642
(null),108109320,50912018,37,0,2109,1760
(null),108109320,50912018,37,0,3163,1380
(null),108109320,50912018,37,0,4218,1356
(null),108109320,50912018,37,0,5273,1006
(null),108109320,50912018,37,0,6327,1042
(null),108109320,50912018,37,0,7382,930
(null),108109320,50912018,37,0,8437,870
(null),108109320,50912018,37,0,9491,43
(null),108109320,50912018,37,0,9520,816
(null),108109320,50912018,37,0,10546,699
(null),108109320,50912018,37,0,11601,652
(null),108109320,50912018,37,0,12655,570
(null),108109320,50912018,37,0,13710,606
(null),108109320,50912018,37,0,14765,550
(null),108109320,50912018,37,0,15819,622
(null),108109320,50912018,37,0,16874,159500
(null),108109320,50912018,37,0,18446744073709551615,0
(null),108109320,50912018,47,0,0,1854305
(null),108109320,50912018,47,0,32,3063
(null),108109320,50912018,47,0,65,411
(null),108109320,50912018,47,0,74,891
(null),108109320,50912018,47,0,98,772
(null),108109320,50912018,47,0,131,8309
(null),108109320,50912018,47,0,1054,3714
(null),108109320,50912018,47,0,2109,2241
(null),108109320,50912018,47,0,3163,1870
(null),108109320,50912018,47,0,4218,1659
(null),108109320,50912018,47,0,5273,1479
(null),108109320,50912018,47,0,6327,1243
(null),108109320,50912018,47,0,7382,1092
(null),108109320,50912018,47,0,8437,906
(null),108109320,50912018,47,0,9491,47
(null),108109320,50912018,47,0,9520,954
(null),108109320,50912018,47,0,10546,885
(null),108109320,50912018,47,0,11601,752
(null),108109320,50912018,47,0,12655,686
(null),108109320,50912018,47,0,13710,766
(null),108109320,50912018,47,0,14765,624
(null),108109320,50912018,47,0,15819,654
(null),108109320,50912018,47,0,16874,194937
(null),108109320,50912018,47,0,18446744073709551615,0
(null),108109320,50912018,41,0,0,2007656
(null),108109320,50912018,41,0,32,3034
(null),108109320,50912018,41,0,65,445
(null),108109320,50912018,41,0,74,863
(null),108109320,50912018,41,0,98,764
(null),108109320,50912018,41,0,131,5570
(null),108109320,50912018,41,0,1054,2499
(null),108109320,50912018,41,0,2109,1473
(null),108109320,50912018,41,0,3163,1132
(null),108109320,50912018,41,0,4218,1053
(null),108109320,50912018,41,0,5273,888
(null),108109320,50912018,41,0,6327,816
(null),108109320,50912018,41,0,7382,538
(null),108109320,50912018,41,0,8437,540
(null),108109320,50912018,41,0,9491,20
(null),108109320,50912018,41,0,9520,530
(null),108109320,50912018,41,0,10546,490
(null),108109320,50912018,41,0,11601,475
(null),108109320,50912018,41,0,12655,393
(null),108109320,50912018,41,0,13710,545
(null),108109320,50912018,41,0,14765,325
(null),108109320,50912018,41,0,15819,339
(null),108109320,50912018,41,0,16874,121301
(null),108109320,50912018,41,0,18446744073709551615,0
(null),108109320,50912018,44,0,0,2034813
(null),108109320,50912018,44,0,32,9017
(null),108109320,50912018,44,0,65,1212
(null),108109320,50912018,44,0,74,2318
(null),108109320,50912018,44,0,98,2164
(null),108109320,50912018,44,0,131,11197
(null),108109320,50912018,44,0,1054,3828
(null),108109320,50912018,44,0,2109,2055
(null),108109320,50912018,44,0,3163,1720
(null),108109320,50912018,44,0,4218,1587
(null),108109320,50912018,44,0,5273,1168
(null),108109320,50912018,44,0,6327,1409
(null),108109320,50912018,44,0,7382,1040
(null),108109320,50912018,44,0,8437,1098
(null),108109320,50912018,44,0,9491,24
(null),108109320,50912018,44,0,9520,757
(null),108109320,50912018,44,0,10546,819
(null),108109320,50912018,44,0,11601,737
(null),108109320,50912018,44,0,12655,691
(null),108109320,50912018,44,0,13710,662
(null),108109320,50912018,44,0,14765,489
(null),108109320,50912018,44,0,15819,446
(null),108109320,50912018,44,0,16874,97582
(null),108109320,50912018,44,0,18446744073709551615,0
(null),108109320,50912018,43,0,0,2031052
(null),108109320,50912018,43,0,32,3837
(null),108109320,50912018,43,0,65,563
(null),108109320,50912018,43,0,74,1095
(null),108109320,50912018,43,0,98,1121
(null),108109320,50912018,43,0,131,6395
(null),108109320,50912018,43,0,1054,2571
(null),108109320,50912018,43,0,2109,1425
(null),108109320,50912018,43,0,3163,1166
(null),108109320,50912018,43,0,4218,791
(null),108109320,50912018,43,0,5273,766
(null),108109320,50912018,43,0,6327,689
(null),108109320,50912018,43,0,7382,509
(null),108109320,50912018,43,0,8437,460
(null),108109320,50912018,43,0,9491,29
(null),108109320,50912018,43,0,9520,473
(null),108109320,50912018,43,0,10546,362
(null),108109320,50912018,43,0,11601,308
(null),108109320,50912018,43,0,12655,232
(null),108109320,50912018,43,0,13710,260
(null),108109320,50912018,43,0,14765,214
(null),108109320,50912018,43,0,15819,227
(null),108109320,50912018,43,0,16874,88161
(null),108109320,50912018,43,0,18446744073709551615,0
(null),108109320,50912018,45,0,0,1876807
(null),108109320,50912018,45,0,32,3604
(null),108109320,50912018,45,0,65,537
(null),108109320,50912018,45,0,74,1096
(null),108109320,50912018,45,0,98,1015
(null),108109320,50912018,45,0,131,9528
(null),108109320,50912018,45,0,1054,4415
(null),108109320,50912018,45,0,2109,3077
(null),108109320,50912018,45,0,3163,2552
(null),108109320,50912018,45,0,4218,2108
(null),108109320,50912018,45,0,5273,1751
(null),108109320,50912018,45,0,6327,1553
(null),108109320,50912018,45,0,7382,1507
(null),108109320,50912018,45,0,8437,1407
(null),108109320,50912018,45,0,9491,42
(null),108109320,50912018,45,0,9520,1278
(null),108109320,50912018,45,0,10546,1137
(null),108109320,50912018,45,0,11601,1042
(null),108109320,50912018,45,0,12655,1042
(null),108109320,50912018,45,0,13710,956
(null),108109320,50912018,45,0,14765,905
(null),108109320,50912018,45,0,15819,821
(null),108109320,50912018,45,0,16874,233014
(null),108109320,50912018,45,0,18446744073709551615,0
(null),108109320,50912018,39,0,0,1994578
(null),108109320,50912018,39,0,32,2399
(null),108109320,50912018,39,0,65,317
(null),108109320,50912018,39,0,74,661
(null),108109320,50912018,39,0,98,634
(null),108109320,50912018,39,0,131,4499
(null),108109320,50912018,39,0,1054,2459
(null),108109320,50912018,39,0,2109,1498
(null),108109320,50912018,39,0,3163,1262
(null),108109320,50912018,39,0,4218,846
(null),108109320,50912018,39,0,5273,878
(null),108109320,50912018,39,0,6327,681
(null),108109320,50912018,39,0,7382,771
(null),108109320,50912018,39,0,8437,637
(null),108109320,50912018,39,0,9491,21
(null),108109320,50912018,39,0,9520,686
(null),108109320,50912018,39,0,10546,523
(null),108109320,50912018,39,0,11601,454
(null),108109320,50912018,39,0,12655,452
(null),108109320,50912018,39,0,13710,479
(null),108109320,50912018,39,0,14765,445
(null),108109320,50912018,39,0,15819,426
(null),108109320,50912018,39,0,16874,135831
(null),108109320,50912018,39,0,18446744073709551615,0
(null),108109320,50912018,38,0,0,1986548
(null),108109320,50912018,38,0,32,4072
(null),108109320,50912018,38,0,65,712
(null),108109320,50912018,38,0,74,1412
(null),108109320,50912018,38,0,98,1514
(null),108109320,50912018,38,0,131,8120
(null),108109320,50912018,38,0,1054,2339
(null),108109320,50912018,38,0,2109,1346
(null),108109320,50912018,38,0,3163,1217
(null),108109320,50912018,38,0,4218,960
(null),108109320,50912018,38,0,5273,887
(null),108109320,50912018,38,0,6327,807
(null),108109320,50912018,38,0,7382,614
(null),108109320,50912018,38,0,8437,651
(null),108109320,50912018,38,0,9491,14
(null),108109320,50912018,38,0,9520,571
(null),108109320,50912018,38,0,10546,475
(null),108109320,50912018,38,0,11601,449
(null),108109320,50912018,38,0,12655,417
(null),108109320,50912018,38,0,13710,463
(null),108109320,50912018,38,0,14765,468
(null),108109320,50912018,38,0,15819,358
(null),108109320,50912018,38,0,16874,142155
(null),108109320,50912018,38,0,18446744073709551615,0
(null),108109320,50912018,46,0,0,1842865
(null),108109320,50912018,46,0,32,3238
(null),108109320,50912018,46,0,65,509
(null),108109320,50912018,46,0,74,1134
(null),108109320,50912018,46,0,98,1135
(null),108109320,50912018,46,0,131,10157
(null),108109320,50912018,46,0,1054,3639
(null),108109320,50912018,46,0,2109,2415
(null),108109320,50912018,46,0,3163,2069
(null),108109320,50912018,46,0,4218,1794
(null),108109320,50912018,46,0,5273,1541
(null),108109320,50912018,46,0,6327,1336
(null),108109320,50912018,46,0,7382,1092
(null),108109320,50912018,46,0,8437,1090
(null),108109320,50912018,46,0,9491,20
(null),108109320,50912018,46,0,9520,1059
(null),108109320,50912018,46,0,10546,973
(null),108109320,50912018,46,0,11601,917
(null),108109320,50912018,46,0,12655,905
(null),108109320,50912018,46,0,13710,796
(null),108109320,50912018,46,0,14765,689
(null),108109320,50912018,46,0,15819,785
(null),108109320,50912018,46,0,16874,226738
(null),108109320,50912018,46,0,18446744073709551615,0
(null),108109320,50912018,3,0,0,2070140
(null),108109320,50912018,3,0,32,2198
(null),108109320,50912018,3,0,65,347
(null),108109320,50912018,3,0,74,626
(null),108109320,50912018,3,0,98,647
(null),108109320,50912018,3,0,131,5761
(null),108109320,50912018,3,0,1054,2522
(null),108109320,50912018,3,0,2109,1999
(null),108109320,50912018,3,0,3163,1786
(null),108109320,50912018,3,0,4218,1584
