matrix,nnz,nrows,cache_id,shared,mindist,count
(null),47997626,16002413,45,0,0,475285
(null),47997626,16002413,45,0,38,7915
(null),47997626,16002413,45,0,76,559
(null),47997626,16002413,45,0,80,3655
(null),47997626,16002413,45,0,115,2996
(null),47997626,16002413,45,0,153,59720
(null),47997626,16002413,45,0,1228,25650
(null),47997626,16002413,45,0,2457,17915
(null),47997626,16002413,45,0,3686,14141
(null),47997626,16002413,45,0,4914,11495
(null),47997626,16002413,45,0,6143,9074
(null),47997626,16002413,45,0,7372,8297
(null),47997626,16002413,45,0,8600,7732
(null),47997626,16002413,45,0,9829,3074
(null),47997626,16002413,45,0,10347,4026
(null),47997626,16002413,45,0,11058,6556
(null),47997626,16002413,45,0,12287,6074
(null),47997626,16002413,45,0,13515,5742
(null),47997626,16002413,45,0,14744,5564
(null),47997626,16002413,45,0,15973,5440
(null),47997626,16002413,45,0,17201,5346
(null),47997626,16002413,45,0,18430,5287
(null),47997626,16002413,45,0,19659,308427
(null),47997626,16002413,45,0,18446744073709551615,0
(null),47997626,16002413,47,0,0,428786
(null),47997626,16002413,47,0,38,9135
(null),47997626,16002413,47,0,76,755
(null),47997626,16002413,47,0,80,5167
(null),47997626,16002413,47,0,115,4281
(null),47997626,16002413,47,0,153,24686
(null),47997626,16002413,47,0,1228,7053
(null),47997626,16002413,47,0,2457,7138
(null),47997626,16002413,47,0,3686,9367
(null),47997626,16002413,47,0,4914,14727
(null),47997626,16002413,47,0,6143,17418
(null),47997626,16002413,47,0,7372,12896
(null),47997626,16002413,47,0,8600,12341
(null),47997626,16002413,47,0,9829,4933
(null),47997626,16002413,47,0,10347,5564
(null),47997626,16002413,47,0,11058,8232
(null),47997626,16002413,47,0,12287,7679
(null),47997626,16002413,47,0,13515,6423
(null),47997626,16002413,47,0,14744,5361
(null),47997626,16002413,47,0,15973,5603
(null),47997626,16002413,47,0,17201,5065
(null),47997626,16002413,47,0,18430,4725
(null),47997626,16002413,47,0,19659,392668
(null),47997626,16002413,47,0,18446744073709551615,0
(null),47997626,16002413,42,0,0,744710
(null),47997626,16002413,42,0,38,7194
(null),47997626,16002413,42,0,76,575
(null),47997626,16002413,42,0,80,3707
(null),47997626,16002413,42,0,115,2875
(null),47997626,16002413,42,0,153,18756
(null),47997626,16002413,42,0,1228,8234
(null),47997626,16002413,42,0,2457,6183
(null),47997626,16002413,42,0,3686,5555
(null),47997626,16002413,42,0,4914,5132
(null),47997626,16002413,42,0,6143,4969
(null),47997626,16002413,42,0,7372,4797
(null),47997626,16002413,42,0,8600,4589
(null),47997626,16002413,42,0,9829,1915
(null),47997626,16002413,42,0,10347,2637
(null),47997626,16002413,42,0,11058,4473
(null),47997626,16002413,42,0,12287,4299
(null),47997626,16002413,42,0,13515,4220
(null),47997626,16002413,42,0,14744,4141
(null),47997626,16002413,42,0,15973,4073
(null),47997626,16002413,42,0,17201,4412
(null),47997626,16002413,42,0,18430,5740
(null),47997626,16002413,42,0,19659,146392
(null),47997626,16002413,42,0,18446744073709551615,0
(null),47997626,16002413,2,0,0,698740
(null),47997626,16002413,2,0,38,11598
(null),47997626,16002413,2,0,76,996
(null),47997626,16002413,2,0,80,7539
(null),47997626,16002413,2,0,115,7339
(null),47997626,16002413,2,0,153,52177
(null),47997626,16002413,2,0,1228,15205
(null),47997626,16002413,2,0,2457,7121
(null),47997626,16002413,2,0,3686,5345
(null),47997626,16002413,2,0,4914,5023
(null),47997626,16002413,2,0,6143,5154
(null),47997626,16002413,2,0,7372,4972
(null),47997626,16002413,2,0,8600,8493
(null),47997626,16002413,2,0,9829,6031
(null),47997626,16002413,2,0,10347,5366
(null),47997626,16002413,2,0,11058,15458
(null),47997626,16002413,2,0,12287,17526
(null),47997626,16002413,2,0,13515,14148
(null),47997626,16002413,2,0,14744,13492
(null),47997626,16002413,2,0,15973,2381
(null),47997626,16002413,2,0,17201,3226
(null),47997626,16002413,2,0,18430,2459
(null),47997626,16002413,2,0,19659,90088
(null),47997626,16002413,2,0,18446744073709551615,0
(null),47997626,16002413,7,0,0,643393
(null),47997626,16002413,7,0,38,5867
(null),47997626,16002413,7,0,76,416
(null),47997626,16002413,7,0,80,3181
(null),47997626,16002413,7,0,115,2465
(null),47997626,16002413,7,0,153,20639
(null),47997626,16002413,7,0,1228,12985
(null),47997626,16002413,7,0,2457,11118
(null),47997626,16002413,7,0,3686,10659
(null),47997626,16002413,7,0,4914,10022
(null),47997626,16002413,7,0,6143,9621
(null),47997626,16002413,7,0,7372,9096
(null),47997626,16002413,7,0,8600,9281
(null),47997626,16002413,7,0,9829,3395
(null),47997626,16002413,7,0,10347,4698
(null),47997626,16002413,7,0,11058,8567
(null),47997626,16002413,7,0,12287,9196
(null),47997626,16002413,7,0,13515,7953
(null),47997626,16002413,7,0,14744,7234
(null),47997626,16002413,7,0,15973,7876
(null),47997626,16002413,7,0,17201,6720
(null),47997626,16002413,7,0,18430,6377
(null),47997626,16002413,7,0,19659,189370
(null),47997626,16002413,7,0,18446744073709551615,0
(null),47997626,16002413,0,0,0,595465
(null),47997626,16002413,0,0,38,16419
(null),47997626,16002413,0,0,76,1316
(null),47997626,16002413,0,0,80,9080
(null),47997626,16002413,0,0,115,7103
(null),47997626,16002413,0,0,153,56443
(null),47997626,16002413,0,0,1228,15216
(null),47997626,16002413,0,0,2457,13027
(null),47997626,16002413,0,0,3686,14485
(null),47997626,16002413,0,0,4914,14820
(null),47997626,16002413,0,0,6143,12630
(null),47997626,16002413,0,0,7372,9727
(null),47997626,16002413,0,0,8600,12032
(null),47997626,16002413,0,0,9829,5898
(null),47997626,16002413,0,0,10347,10225
(null),47997626,16002413,0,0,11058,17124
(null),47997626,16002413,0,0,12287,15411
(null),47997626,16002413,0,0,13515,13584
(null),47997626,16002413,0,0,14744,5815
(null),47997626,16002413,0,0,15973,6340
(null),47997626,16002413,0,0,17201,4596
(null),47997626,16002413,0,0,18430,3083
(null),47997626,16002413,0,0,19659,140050
(null),47997626,16002413,0,0,18446744073709551615,0
(null),47997626,16002413,9,0,0,632351
(null),47997626,16002413,9,0,38,6877
(null),47997626,16002413,9,0,76,504
(null),47997626,16002413,9,0,80,3684
(null),47997626,16002413,9,0,115,3061
(null),47997626,16002413,9,0,153,34451
(null),47997626,16002413,9,0,1228,15603
(null),47997626,16002413,9,0,2457,11643
(null),47997626,16002413,9,0,3686,10545
(null),47997626,16002413,9,0,4914,9476
(null),47997626,16002413,9,0,6143,8809
(null),47997626,16002413,9,0,7372,7740
(null),47997626,16002413,9,0,8600,7473
(null),47997626,16002413,9,0,9829,2768
(null),47997626,16002413,9,0,10347,3794
(null),47997626,16002413,9,0,11058,5713
(null),47997626,16002413,9,0,12287,5620
(null),47997626,16002413,9,0,13515,6300
(null),47997626,16002413,9,0,14744,5866
(null),47997626,16002413,9,0,15973,6174
(null),47997626,16002413,9,0,17201,6056
(null),47997626,16002413,9,0,18430,5976
(null),47997626,16002413,9,0,19659,199562
(null),47997626,16002413,9,0,18446744073709551615,0
(null),47997626,16002413,6,0,0,632814
(null),47997626,16002413,6,0,38,5692
(null),47997626,16002413,6,0,76,451
(null),47997626,16002413,6,0,80,3169
(null),47997626,16002413,6,0,115,2479
(null),47997626,16002413,6,0,153,20763
(null),47997626,16002413,6,0,1228,13054
(null),47997626,16002413,6,0,2457,11073
(null),47997626,16002413,6,0,3686,11178
(null),47997626,16002413,6,0,4914,10098
(null),47997626,16002413,6,0,6143,9968
(null),47997626,16002413,6,0,7372,10110
(null),47997626,16002413,6,0,8600,9709
(null),47997626,16002413,6,0,9829,3708
(null),47997626,16002413,6,0,10347,5751
(null),47997626,16002413,6,0,11058,9662
(null),47997626,16002413,6,0,12287,9334
(null),47997626,16002413,6,0,13515,7330
(null),47997626,16002413,6,0,14744,8331
(null),47997626,16002413,6,0,15973,6471
(null),47997626,16002413,6,0,17201,6307
(null),47997626,16002413,6,0,18430,5647
(null),47997626,16002413,6,0,19659,197032
(null),47997626,16002413,6,0,18446744073709551615,0
(null),47997626,16002413,3,0,0,727286
(null),47997626,16002413,3,0,38,10649
(null),47997626,16002413,3,0,76,888
(null),47997626,16002413,3,0,80,6602
(null),47997626,16002413,3,0,115,6157
(null),47997626,16002413,3,0,153,53301
(null),47997626,16002413,3,0,1228,12754
(null),47997626,16002413,3,0,2457,6484
(null),47997626,16002413,3,0,3686,5089
(null),47997626,16002413,3,0,4914,5087
(null),47997626,16002413,3,0,6143,4917
(null),47997626,16002413,3,0,7372,5091
(null),47997626,16002413,3,0,8600,9924
(null),47997626,16002413,3,0,9829,4547
(null),47997626,16002413,3,0,10347,4622
(null),47997626,16002413,3,0,11058,18192
(null),47997626,16002413,3,0,12287,11588
(null),47997626,16002413,3,0,13515,15267
(null),47997626,16002413,3,0,14744,4086
