matrix,nnz,nrows,cache_id,shared,mindist,count
(null),89239674,1048576,37,0,0,76027
(null),89239674,1048576,37,0,62,1858
(null),89239674,1048576,37,0,101,1391
(null),89239674,1048576,37,0,125,4377
(null),89239674,1048576,37,0,187,4714
(null),89239674,1048576,37,0,250,181251
(null),89239674,1048576,37,0,2000,197342
(null),89239674,1048576,37,0,4001,176654
(null),89239674,1048576,37,0,6002,163126
(null),89239674,1048576,37,0,8003,152093
(null),89239674,1048576,37,0,10004,128061
(null),89239674,1048576,37,0,12005,64106
(null),89239674,1048576,37,0,12985,55021
(null),89239674,1048576,37,0,14006,103068
(null),89239674,1048576,37,0,16007,93311
(null),89239674,1048576,37,0,18008,84191
(null),89239674,1048576,37,0,20009,75719
(null),89239674,1048576,37,0,22010,68528
(null),89239674,1048576,37,0,24011,60041
(null),89239674,1048576,37,0,26012,52747
(null),89239674,1048576,37,0,28013,44745
(null),89239674,1048576,37,0,30014,34822
(null),89239674,1048576,37,0,32015,8652
(null),89239674,1048576,37,0,18446744073709551615,0
(null),89239674,1048576,11,0,0,126364
(null),89239674,1048576,11,0,62,1834
(null),89239674,1048576,11,0,101,1358
(null),89239674,1048576,11,0,125,4613
(null),89239674,1048576,11,0,187,4707
(null),89239674,1048576,11,0,250,175700
(null),89239674,1048576,11,0,2000,189318
(null),89239674,1048576,11,0,4001,164583
(null),89239674,1048576,11,0,6002,149216
(null),89239674,1048576,11,0,8003,144087
(null),89239674,1048576,11,0,10004,117724
(null),89239674,1048576,11,0,12005,55179
(null),89239674,1048576,11,0,12985,58415
(null),89239674,1048576,11,0,14006,99387
(null),89239674,1048576,11,0,16007,94967
(null),89239674,1048576,11,0,18008,86871
(null),89239674,1048576,11,0,20009,77093
(null),89239674,1048576,11,0,22010,73474
(null),89239674,1048576,11,0,24011,62367
(null),89239674,1048576,11,0,26012,56948
(null),89239674,1048576,11,0,28013,48997
(null),89239674,1048576,11,0,30014,37727
(null),89239674,1048576,11,0,32015,9287
(null),89239674,1048576,11,0,18446744073709551615,0
(null),89239674,1048576,8,0,0,137302
(null),89239674,1048576,8,0,62,1808
(null),89239674,1048576,8,0,101,1367
(null),89239674,1048576,8,0,125,4494
(null),89239674,1048576,8,0,187,4774
(null),89239674,1048576,8,0,250,173893
(null),89239674,1048576,8,0,2000,192125
(null),89239674,1048576,8,0,4001,160924
(null),89239674,1048576,8,0,6002,148895
(null),89239674,1048576,8,0,8003,141806
(null),89239674,1048576,8,0,10004,125206
(null),89239674,1048576,8,0,12005,54000
(null),89239674,1048576,8,0,12985,59650
(null),89239674,1048576,8,0,14006,103470
(null),89239674,1048576,8,0,16007,97673
(null),89239674,1048576,8,0,18008,88773
(null),89239674,1048576,8,0,20009,84807
(null),89239674,1048576,8,0,22010,71661
(null),89239674,1048576,8,0,24011,65854
(null),89239674,1048576,8,0,26012,58930
(null),89239674,1048576,8,0,28013,50501
(null),89239674,1048576,8,0,30014,38947
(null),89239674,1048576,8,0,32015,9512
(null),89239674,1048576,8,0,18446744073709551615,0
(null),89239674,1048576,0,0,0,95457
(null),89239674,1048576,0,0,62,1804
(null),89239674,1048576,0,0,101,1346
(null),89239674,1048576,0,0,125,4544
(null),89239674,1048576,0,0,187,4637
(null),89239674,1048576,0,0,250,175301
(null),89239674,1048576,0,0,2000,191493
(null),89239674,1048576,0,0,4001,166279
(null),89239674,1048576,0,0,6002,149699
(null),89239674,1048576,0,0,8003,144484
(null),89239674,1048576,0,0,10004,125331
(null),89239674,1048576,0,0,12005,54981
(null),89239674,1048576,0,0,12985,56781
(null),89239674,1048576,0,0,14006,101638
(null),89239674,1048576,0,0,16007,96586
(null),89239674,1048576,0,0,18008,86036
(null),89239674,1048576,0,0,20009,78028
(null),89239674,1048576,0,0,22010,69122
(null),89239674,1048576,0,0,24011,62179
(null),89239674,1048576,0,0,26012,53048
(null),89239674,1048576,0,0,28013,44794
