matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1350309,22695,33,0,0,34018
(null),1350309,22695,33,0,61,34
(null),1350309,22695,33,0,101,0
(null),1350309,22695,33,0,123,0
(null),1350309,22695,33,0,185,0
(null),1350309,22695,33,0,247,0
(null),1350309,22695,33,0,1981,0
(null),1350309,22695,33,0,3962,0
(null),1350309,22695,33,0,5944,0
(null),1350309,22695,33,0,7925,0
(null),1350309,22695,33,0,9906,0
(null),1350309,22695,33,0,11888,0
(null),1350309,22695,33,0,12933,0
(null),1350309,22695,33,0,13869,0
(null),1350309,22695,33,0,15851,0
(null),1350309,22695,33,0,17832,0
(null),1350309,22695,33,0,19813,0
(null),1350309,22695,33,0,21795,0
(null),1350309,22695,33,0,23776,0
(null),1350309,22695,33,0,25758,0
(null),1350309,22695,33,0,27739,0
(null),1350309,22695,33,0,29720,0
(null),1350309,22695,33,0,31702,0
(null),1350309,22695,33,0,18446744073709551615,0
(null),1350309,22695,31,0,0,34331
(null),1350309,22695,31,0,61,17
(null),1350309,22695,31,0,101,0
(null),1350309,22695,31,0,123,0
(null),1350309,22695,31,0,185,0
(null),1350309,22695,31,0,247,0
(null),1350309,22695,31,0,1981,0
(null),1350309,22695,31,0,3962,0
(null),1350309,22695,31,0,5944,0
(null),1350309,22695,31,0,7925,0
(null),1350309,22695,31,0,9906,0
(null),1350309,22695,31,0,11888,0
(null),1350309,22695,31,0,12933,0
(null),1350309,22695,31,0,13869,0
(null),1350309,22695,31,0,15851,0
(null),1350309,22695,31,0,17832,0
(null),1350309,22695,31,0,19813,0
(null),1350309,22695,31,0,21795,0
(null),1350309,22695,31,0,23776,0
(null),1350309,22695,31,0,25758,0
(null),1350309,22695,31,0,27739,0
(null),1350309,22695,31,0,29720,0
(null),1350309,22695,31,0,31702,0
(null),1350309,22695,31,0,18446744073709551615,0
(null),1350309,22695,34,0,0,33085
(null),1350309,22695,34,0,61,42
(null),1350309,22695,34,0,101,0
(null),1350309,22695,34,0,123,0
(null),1350309,22695,34,0,185,0
(null),1350309,22695,34,0,247,0
(null),1350309,22695,34,0,1981,0
(null),1350309,22695,34,0,3962,0
(null),1350309,22695,34,0,5944,0
(null),1350309,22695,34,0,7925,0
(null),1350309,22695,34,0,9906,0
(null),1350309,22695,34,0,11888,0
(null),1350309,22695,34,0,12933,0
(null),1350309,22695,34,0,13869,0
(null),1350309,22695,34,0,15851,0
(null),1350309,22695,34,0,17832,0
(null),1350309,22695,34,0,19813,0
(null),1350309,22695,34,0,21795,0
(null),1350309,22695,34,0,23776,0
(null),1350309,22695,34,0,25758,0
(null),1350309,22695,34,0,27739,0
(null),1350309,22695,34,0,29720,0
(null),1350309,22695,34,0,31702,0
(null),1350309,22695,34,0,18446744073709551615,0
(null),1350309,22695,39,0,0,11149
(null),1350309,22695,39,0,61,0
(null),1350309,22695,39,0,101,0
(null),1350309,22695,39,0,123,0
(null),1350309,22695,39,0,185,0
(null),1350309,22695,39,0,247,0
(null),1350309,22695,39,0,1981,0
(null),1350309,22695,39,0,3962,0
(null),1350309,22695,39,0,5944,0
(null),1350309,22695,39,0,7925,0
(null),1350309,22695,39,0,9906,0
(null),1350309,22695,39,0,11888,0
(null),1350309,22695,39,0,12933,0
(null),1350309,22695,39,0,13869,0
(null),1350309,22695,39,0,15851,0
(null),1350309,22695,39,0,17832,0
(null),1350309,22695,39,0,19813,0
(null),1350309,22695,39,0,21795,0
(null),1350309,22695,39,0,23776,0
(null),1350309,22695,39,0,25758,0
(null),1350309,22695,39,0,27739,0
(null),1350309,22695,39,0,29720,0
(null),1350309,22695,39,0,31702,0
(null),1350309,22695,39,0,18446744073709551615,0
(null),1350309,22695,42,0,0,12156
(null),1350309,22695,42,0,61,0
(null),1350309,22695,42,0,101,0
(null),1350309,22695,42,0,123,0
(null),1350309,22695,42,0,185,0
(null),1350309,22695,42,0,247,0
(null),1350309,22695,42,0,1981,0
(null),1350309,22695,42,0,3962,0
(null),1350309,22695,42,0,5944,0
(null),1350309,22695,42,0,7925,0
(null),1350309,22695,42,0,9906,0
(null),1350309,22695,42,0,11888,0
(null),1350309,22695,42,0,12933,0
(null),1350309,22695,42,0,13869,0
(null),1350309,22695,42,0,15851,0
(null),1350309,22695,42,0,17832,0
(null),1350309,22695,42,0,19813,0
(null),1350309,22695,42,0,21795,0
(null),1350309,22695,42,0,23776,0
(null),1350309,22695,42,0,25758,0
(null),1350309,22695,42,0,27739,0
(null),1350309,22695,42,0,29720,0
(null),1350309,22695,42,0,31702,0
(null),1350309,22695,42,0,18446744073709551615,0
(null),1350309,22695,43,0,0,12243
(null),1350309,22695,43,0,61,0
(null),1350309,22695,43,0,101,0
(null),1350309,22695,43,0,123,0
(null),1350309,22695,43,0,185,0
(null),1350309,22695,43,0,247,0
(null),1350309,22695,43,0,1981,0
(null),1350309,22695,43,0,3962,0
(null),1350309,22695,43,0,5944,0
(null),1350309,22695,43,0,7925,0
(null),1350309,22695,43,0,9906,0
(null),1350309,22695,43,0,11888,0
(null),1350309,22695,43,0,12933,0
(null),1350309,22695,43,0,13869,0
(null),1350309,22695,43,0,15851,0
(null),1350309,22695,43,0,17832,0
(null),1350309,22695,43,0,19813,0
(null),1350309,22695,43,0,21795,0
(null),1350309,22695,43,0,23776,0
(null),1350309,22695,43,0,25758,0
(null),1350309,22695,43,0,27739,0
(null),1350309,22695,43,0,29720,0
(null),1350309,22695,43,0,31702,0
(null),1350309,22695,43,0,18446744073709551615,0
(null),1350309,22695,38,0,0,13242
(null),1350309,22695,38,0,61,0
(null),1350309,22695,38,0,101,0
(null),1350309,22695,38,0,123,0
(null),1350309,22695,38,0,185,0
(null),1350309,22695,38,0,247,0
(null),1350309,22695,38,0,1981,0
(null),1350309,22695,38,0,3962,0
(null),1350309,22695,38,0,5944,0
(null),1350309,22695,38,0,7925,0
(null),1350309,22695,38,0,9906,0
(null),1350309,22695,38,0,11888,0
(null),1350309,22695,38,0,12933,0
(null),1350309,22695,38,0,13869,0
(null),1350309,22695,38,0,15851,0
(null),1350309,22695,38,0,17832,0
(null),1350309,22695,38,0,19813,0
(null),1350309,22695,38,0,21795,0
(null),1350309,22695,38,0,23776,0
(null),1350309,22695,38,0,25758,0
(null),1350309,22695,38,0,27739,0
(null),1350309,22695,38,0,29720,0
(null),1350309,22695,38,0,31702,0
(null),1350309,22695,38,0,18446744073709551615,0
(null),1350309,22695,19,0,0,33215
(null),1350309,22695,19,0,61,43
(null),1350309,22695,19,0,101,0
(null),1350309,22695,19,0,123,0
(null),1350309,22695,19,0,185,0
(null),1350309,22695,19,0,247,0
(null),1350309,22695,19,0,1981,0
(null),1350309,22695,19,0,3962,0
(null),1350309,22695,19,0,5944,0
(null),1350309,22695,19,0,7925,0
(null),1350309,22695,19,0,9906,0
(null),1350309,22695,19,0,11888,0
(null),1350309,22695,19,0,12933,0
(null),1350309,22695,19,0,13869,0
(null),1350309,22695,19,0,15851,0
(null),1350309,22695,19,0,17832,0
(null),1350309,22695,19,0,19813,0
(null),1350309,22695,19,0,21795,0
(null),1350309,22695,19,0,23776,0
(null),1350309,22695,19,0,25758,0
(null),1350309,22695,19,0,27739,0
(null),1350309,22695,19,0,29720,0
(null),1350309,22695,19,0,31702,0
(null),1350309,22695,19,0,18446744073709551615,0
(null),1350309,22695,37,0,0,23614
(null),1350309,22695,37,0,61,0
(null),1350309,22695,37,0,101,0
(null),1350309,22695,37,0,123,0
(null),1350309,22695,37,0,185,0
(null),1350309,22695,37,0,247,0
(null),1350309,22695,37,0,1981,0
(null),1350309,22695,37,0,3962,0
(null),1350309,22695,37,0,5944,0
(null),1350309,22695,37,0,7925,0
(null),1350309,22695,37,0,9906,0
(null),1350309,22695,37,0,11888,0
(null),1350309,22695,37,0,12933,0
(null),1350309,22695,37,0,13869,0
(null),1350309,22695,37,0,15851,0
(null),1350309,22695,37,0,17832,0
(null),1350309,22695,37,0,19813,0
(null),1350309,22695,37,0,21795,0
(null),1350309,22695,37,0,23776,0
(null),1350309,22695,37,0,25758,0
(null),1350309,22695,37,0,27739,0
(null),1350309,22695,37,0,29720,0
(null),1350309,22695,37,0,31702,0
(null),1350309,22695,37,0,18446744073709551615,0
(null),1350309,22695,36,0,0,25556
(null),1350309,22695,36,0,61,0
(null),1350309,22695,36,0,101,0
(null),1350309,22695,36,0,123,0
(null),1350309,22695,36,0,185,0
(null),1350309,22695,36,0,247,0
(null),1350309,22695,36,0,1981,0
(null),1350309,22695,36,0,3962,0
