matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1656568,343565,44,0,0,24454
(null),1656568,343565,44,0,45,5179
(null),1656568,343565,44,0,87,355
(null),1656568,343565,44,0,90,2861
(null),1656568,343565,44,0,135,195
(null),1656568,343565,44,0,180,579
(null),1656568,343565,44,0,1447,0
(null),1656568,343565,44,0,2895,0
(null),1656568,343565,44,0,4342,0
(null),1656568,343565,44,0,5790,0
(null),1656568,343565,44,0,7237,0
(null),1656568,343565,44,0,8685,0
(null),1656568,343565,44,0,10132,0
(null),1656568,343565,44,0,11241,0
(null),1656568,343565,44,0,11580,0
(null),1656568,343565,44,0,13028,0
(null),1656568,343565,44,0,14475,0
(null),1656568,343565,44,0,15923,0
(null),1656568,343565,44,0,17370,0
(null),1656568,343565,44,0,18818,0
(null),1656568,343565,44,0,20265,0
(null),1656568,343565,44,0,21713,0
(null),1656568,343565,44,0,23161,0
(null),1656568,343565,44,0,18446744073709551615,0
(null),1656568,343565,41,0,0,29507
(null),1656568,343565,41,0,45,3372
(null),1656568,343565,41,0,87,219
(null),1656568,343565,41,0,90,1114
(null),1656568,343565,41,0,135,52
(null),1656568,343565,41,0,180,556
(null),1656568,343565,41,0,1447,0
(null),1656568,343565,41,0,2895,0
(null),1656568,343565,41,0,4342,0
(null),1656568,343565,41,0,5790,0
(null),1656568,343565,41,0,7237,0
(null),1656568,343565,41,0,8685,0
(null),1656568,343565,41,0,10132,0
(null),1656568,343565,41,0,11241,0
(null),1656568,343565,41,0,11580,0
(null),1656568,343565,41,0,13028,0
(null),1656568,343565,41,0,14475,0
(null),1656568,343565,41,0,15923,0
(null),1656568,343565,41,0,17370,0
(null),1656568,343565,41,0,18818,0
(null),1656568,343565,41,0,20265,0
(null),1656568,343565,41,0,21713,0
(null),1656568,343565,41,0,23161,0
(null),1656568,343565,41,0,18446744073709551615,0
(null),1656568,343565,36,0,0,18953
(null),1656568,343565,36,0,45,2818
(null),1656568,343565,36,0,87,106
(null),1656568,343565,36,0,90,1854
(null),1656568,343565,36,0,135,2650
(null),1656568,343565,36,0,180,8041
(null),1656568,343565,36,0,1447,0
(null),1656568,343565,36,0,2895,0
(null),1656568,343565,36,0,4342,0
(null),1656568,343565,36,0,5790,0
(null),1656568,343565,36,0,7237,0
(null),1656568,343565,36,0,8685,0
(null),1656568,343565,36,0,10132,0
(null),1656568,343565,36,0,11241,0
(null),1656568,343565,36,0,11580,0
(null),1656568,343565,36,0,13028,0
(null),1656568,343565,36,0,14475,0
(null),1656568,343565,36,0,15923,0
(null),1656568,343565,36,0,17370,0
(null),1656568,343565,36,0,18818,0
(null),1656568,343565,36,0,20265,0
(null),1656568,343565,36,0,21713,0
(null),1656568,343565,36,0,23161,0
(null),1656568,343565,36,0,18446744073709551615,0
(null),1656568,343565,39,0,0,21095
(null),1656568,343565,39,0,45,1418
(null),1656568,343565,39,0,87,62
(null),1656568,343565,39,0,90,799
(null),1656568,343565,39,0,135,805
(null),1656568,343565,39,0,180,11411
(null),1656568,343565,39,0,1447,0
(null),1656568,343565,39,0,2895,0
(null),1656568,343565,39,0,4342,0
(null),1656568,343565,39,0,5790,0
(null),1656568,343565,39,0,7237,0
(null),1656568,343565,39,0,8685,0
(null),1656568,343565,39,0,10132,0
(null),1656568,343565,39,0,11241,0
(null),1656568,343565,39,0,11580,0
(null),1656568,343565,39,0,13028,0
(null),1656568,343565,39,0,14475,0
(null),1656568,343565,39,0,15923,0
(null),1656568,343565,39,0,17370,0
(null),1656568,343565,39,0,18818,0
(null),1656568,343565,39,0,20265,0
(null),1656568,343565,39,0,21713,0
(null),1656568,343565,39,0,23161,0
(null),1656568,343565,39,0,18446744073709551615,0
(null),1656568,343565,40,0,0,24147
(null),1656568,343565,40,0,45,3359
(null),1656568,343565,40,0,87,221
(null),1656568,343565,40,0,90,1489
(null),1656568,343565,40,0,135,394
(null),1656568,343565,40,0,180,5342
(null),1656568,343565,40,0,1447,0
(null),1656568,343565,40,0,2895,0
(null),1656568,343565,40,0,4342,0
(null),1656568,343565,40,0,5790,0
(null),1656568,343565,40,0,7237,0
(null),1656568,343565,40,0,8685,0
(null),1656568,343565,40,0,10132,0
(null),1656568,343565,40,0,11241,0
(null),1656568,343565,40,0,11580,0
(null),1656568,343565,40,0,13028,0
(null),1656568,343565,40,0,14475,0
(null),1656568,343565,40,0,15923,0
(null),1656568,343565,40,0,17370,0
(null),1656568,343565,40,0,18818,0
(null),1656568,343565,40,0,20265,0
(null),1656568,343565,40,0,21713,0
(null),1656568,343565,40,0,23161,0
(null),1656568,343565,40,0,18446744073709551615,0
(null),1656568,343565,28,0,0,27890
(null),1656568,343565,28,0,45,5358
(null),1656568,343565,28,0,87,67
(null),1656568,343565,28,0,90,252
(null),1656568,343565,28,0,135,72
(null),1656568,343565,28,0,180,686
(null),1656568,343565,28,0,1447,0
(null),1656568,343565,28,0,2895,0
(null),1656568,343565,28,0,4342,0
(null),1656568,343565,28,0,5790,0
(null),1656568,343565,28,0,7237,0
(null),1656568,343565,28,0,8685,0
(null),1656568,343565,28,0,10132,0
(null),1656568,343565,28,0,11241,0
(null),1656568,343565,28,0,11580,0
(null),1656568,343565,28,0,13028,0
(null),1656568,343565,28,0,14475,0
(null),1656568,343565,28,0,15923,0
(null),1656568,343565,28,0,17370,0
(null),1656568,343565,28,0,18818,0
(null),1656568,343565,28,0,20265,0
(null),1656568,343565,28,0,21713,0
(null),1656568,343565,28,0,23161,0
(null),1656568,343565,28,0,18446744073709551615,0
(null),1656568,343565,37,0,0,25565
(null),1656568,343565,37,0,45,4591
(null),1656568,343565,37,0,87,216
(null),1656568,343565,37,0,90,1825
(null),1656568,343565,37,0,135,230
(null),1656568,343565,37,0,180,2582
