matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1499460,46994,11,0,0,28896
(null),1499460,46994,11,0,60,12360
(null),1499460,46994,11,0,99,1553
(null),1499460,46994,11,0,120,423
(null),1499460,46994,11,0,180,183
(null),1499460,46994,11,0,240,0
(null),1499460,46994,11,0,1927,0
(null),1499460,46994,11,0,3854,0
(null),1499460,46994,11,0,5781,0
(null),1499460,46994,11,0,7708,0
(null),1499460,46994,11,0,9636,0
(null),1499460,46994,11,0,11563,0
(null),1499460,46994,11,0,12786,0
(null),1499460,46994,11,0,13490,0
(null),1499460,46994,11,0,15417,0
(null),1499460,46994,11,0,17344,0
(null),1499460,46994,11,0,19272,0
(null),1499460,46994,11,0,21199,0
(null),1499460,46994,11,0,23126,0
(null),1499460,46994,11,0,25053,0
(null),1499460,46994,11,0,26980,0
(null),1499460,46994,11,0,28908,0
(null),1499460,46994,11,0,30835,0
(null),1499460,46994,11,0,18446744073709551615,0
(null),1499460,46994,1,0,0,15728
(null),1499460,46994,1,0,60,277
(null),1499460,46994,1,0,99,10
(null),1499460,46994,1,0,120,23
(null),1499460,46994,1,0,180,188
(null),1499460,46994,1,0,240,0
(null),1499460,46994,1,0,1927,0
(null),1499460,46994,1,0,3854,0
(null),1499460,46994,1,0,5781,0
(null),1499460,46994,1,0,7708,0
(null),1499460,46994,1,0,9636,0
(null),1499460,46994,1,0,11563,0
(null),1499460,46994,1,0,12786,0
(null),1499460,46994,1,0,13490,0
(null),1499460,46994,1,0,15417,0
(null),1499460,46994,1,0,17344,0
(null),1499460,46994,1,0,19272,0
(null),1499460,46994,1,0,21199,0
(null),1499460,46994,1,0,23126,0
(null),1499460,46994,1,0,25053,0
(null),1499460,46994,1,0,26980,0
(null),1499460,46994,1,0,28908,0
(null),1499460,46994,1,0,30835,0
(null),1499460,46994,1,0,18446744073709551615,0
(null),1499460,46994,43,0,0,24860
(null),1499460,46994,43,0,60,4781
(null),1499460,46994,43,0,99,124
(null),1499460,46994,43,0,120,112
(null),1499460,46994,43,0,180,44
(null),1499460,46994,43,0,240,0
(null),1499460,46994,43,0,1927,0
(null),1499460,46994,43,0,3854,0
(null),1499460,46994,43,0,5781,0
(null),1499460,46994,43,0,7708,0
(null),1499460,46994,43,0,9636,0
(null),1499460,46994,43,0,11563,0
(null),1499460,46994,43,0,12786,0
(null),1499460,46994,43,0,13490,0
(null),1499460,46994,43,0,15417,0
(null),1499460,46994,43,0,17344,0
(null),1499460,46994,43,0,19272,0
(null),1499460,46994,43,0,21199,0
(null),1499460,46994,43,0,23126,0
(null),1499460,46994,43,0,25053,0
(null),1499460,46994,43,0,26980,0
(null),1499460,46994,43,0,28908,0
(null),1499460,46994,43,0,30835,0
(null),1499460,46994,43,0,18446744073709551615,0
(null),1499460,46994,15,0,0,25235
(null),1499460,46994,15,0,60,13548
(null),1499460,46994,15,0,99,3659
(null),1499460,46994,15,0,120,1897
(null),1499460,46994,15,0,180,168
(null),1499460,46994,15,0,240,84
(null),1499460,46994,15,0,1927,0
(null),1499460,46994,15,0,3854,0
(null),1499460,46994,15,0,5781,0
(null),1499460,46994,15,0,7708,0
(null),1499460,46994,15,0,9636,0
(null),1499460,46994,15,0,11563,0
(null),1499460,46994,15,0,12786,0
(null),1499460,46994,15,0,13490,0
(null),1499460,46994,15,0,15417,0
(null),1499460,46994,15,0,17344,0
(null),1499460,46994,15,0,19272,0
(null),1499460,46994,15,0,21199,0
(null),1499460,46994,15,0,23126,0
(null),1499460,46994,15,0,25053,0
(null),1499460,46994,15,0,26980,0
(null),1499460,46994,15,0,28908,0
(null),1499460,46994,15,0,30835,0
(null),1499460,46994,15,0,18446744073709551615,0
(null),1499460,46994,36,0,0,25289
(null),1499460,46994,36,0,60,3905
(null),1499460,46994,36,0,99,39
(null),1499460,46994,36,0,120,111
(null),1499460,46994,36,0,180,49
(null),1499460,46994,36,0,240,0
(null),1499460,46994,36,0,1927,0
(null),1499460,46994,36,0,3854,0
(null),1499460,46994,36,0,5781,0
(null),1499460,46994,36,0,7708,0
(null),1499460,46994,36,0,9636,0
(null),1499460,46994,36,0,11563,0
(null),1499460,46994,36,0,12786,0
(null),1499460,46994,36,0,13490,0
