matrix,nnz,nrows,cache_id,shared,mindist,count
(null),903194710,393215,0,0,0,78326562
(null),903194710,393215,0,0,63,0
(null),903194710,393215,0,0,102,0
(null),903194710,393215,0,0,127,0
(null),903194710,393215,0,0,191,0
(null),903194710,393215,0,0,255,5088021
(null),903194710,393215,0,0,2046,8596330
(null),903194710,393215,0,0,4092,2968518
(null),903194710,393215,0,0,6138,3686091
(null),903194710,393215,0,0,8184,777595
(null),903194710,393215,0,0,10231,81474
(null),903194710,393215,0,0,12277,1112241
(null),903194710,393215,0,0,13102,0
(null),903194710,393215,0,0,14323,0
(null),903194710,393215,0,0,16369,0
(null),903194710,393215,0,0,18415,0
(null),903194710,393215,0,0,20462,0
(null),903194710,393215,0,0,22508,0
(null),903194710,393215,0,0,24554,0
(null),903194710,393215,0,0,26600,0
(null),903194710,393215,0,0,28647,0
(null),903194710,393215,0,0,30693,0
(null),903194710,393215,0,0,32739,0
(null),903194710,393215,0,0,18446744073709551615,0
(null),903194710,393215,7,0,0,19761329
(null),903194710,393215,7,0,63,0
(null),903194710,393215,7,0,102,0
(null),903194710,393215,7,0,127,16062
(null),903194710,393215,7,0,191,84914
(null),903194710,393215,7,0,255,5169417
(null),903194710,393215,7,0,2046,497925
(null),903194710,393215,7,0,4092,3805
(null),903194710,393215,7,0,6138,2100
(null),903194710,393215,7,0,8184,0
(null),903194710,393215,7,0,10231,0
(null),903194710,393215,7,0,12277,0
(null),903194710,393215,7,0,13102,0
(null),903194710,393215,7,0,14323,0
(null),903194710,393215,7,0,16369,0
(null),903194710,393215,7,0,18415,0
(null),903194710,393215,7,0,20462,0
(null),903194710,393215,7,0,22508,0
(null),903194710,393215,7,0,24554,0
(null),903194710,393215,7,0,26600,0
(null),903194710,393215,7,0,28647,0
(null),903194710,393215,7,0,30693,0
(null),903194710,393215,7,0,32739,0
(null),903194710,393215,7,0,18446744073709551615,0
(null),903194710,393215,5,0,0,10312920
(null),903194710,393215,5,0,63,9259
(null),903194710,393215,5,0,102,22449
(null),903194710,393215,5,0,127,184381
(null),903194710,393215,5,0,191,294877
(null),903194710,393215,5,0,255,2548989
(null),903194710,393215,5,0,2046,2830
(null),903194710,393215,5,0,4092,635
(null),903194710,393215,5,0,6138,4950
(null),903194710,393215,5,0,8184,3074
(null),903194710,393215,5,0,10231,3947
(null),903194710,393215,5,0,12277,5253
(null),903194710,393215,5,0,13102,0
(null),903194710,393215,5,0,14323,0
(null),903194710,393215,5,0,16369,0
(null),903194710,393215,5,0,18415,0
(null),903194710,393215,5,0,20462,0
(null),903194710,393215,5,0,22508,0
(null),903194710,393215,5,0,24554,0
(null),903194710,393215,5,0,26600,0
(null),903194710,393215,5,0,28647,0
(null),903194710,393215,5,0,30693,0
(null),903194710,393215,5,0,32739,0
(null),903194710,393215,5,0,18446744073709551615,0
(null),903194710,393215,3,0,0,39104949
(null),903194710,393215,3,0,63,0
(null),903194710,393215,3,0,102,0
(null),903194710,393215,3,0,127,0
(null),903194710,393215,3,0,191,0
(null),903194710,393215,3,0,255,6896499
(null),903194710,393215,3,0,2046,3333663
(null),903194710,393215,3,0,4092,416279
(null),903194710,393215,3,0,6138,568802
(null),903194710,393215,3,0,8184,0
(null),903194710,393215,3,0,10231,0
(null),903194710,393215,3,0,12277,0
(null),903194710,393215,3,0,13102,0
(null),903194710,393215,3,0,14323,0
(null),903194710,393215,3,0,16369,0
(null),903194710,393215,3,0,18415,0
(null),903194710,393215,3,0,20462,0
(null),903194710,393215,3,0,22508,0
(null),903194710,393215,3,0,24554,0
(null),903194710,393215,3,0,26600,0
(null),903194710,393215,3,0,28647,0
(null),903194710,393215,3,0,30693,0
(null),903194710,393215,3,0,32739,0
(null),903194710,393215,3,0,18446744073709551615,0
(null),903194710,393215,11,0,0,5386178
(null),903194710,393215,11,0,63,122024
(null),903194710,393215,11,0,102,109335
(null),903194710,393215,11,0,127,399569
(null),903194710,393215,11,0,191,325297
(null),903194710,393215,11,0,255,596529
(null),903194710,393215,11,0,2046,398
(null),903194710,393215,11,0,4092,457
(null),903194710,393215,11,0,6138,5310
(null),903194710,393215,11,0,8184,3073
(null),903194710,393215,11,0,10231,3442
(null),903194710,393215,11,0,12277,5766
(null),903194710,393215,11,0,13102,0
(null),903194710,393215,11,0,14323,0
(null),903194710,393215,11,0,16369,0
(null),903194710,393215,11,0,18415,0
(null),903194710,393215,11,0,20462,0
(null),903194710,393215,11,0,22508,0
(null),903194710,393215,11,0,24554,0
(null),903194710,393215,11,0,26600,0
(null),903194710,393215,11,0,28647,0
(null),903194710,393215,11,0,30693,0
(null),903194710,393215,11,0,32739,0
(null),903194710,393215,11,0,18446744073709551615,0
(null),903194710,393215,10,0,0,9881368
(null),903194710,393215,10,0,63,8647
(null),903194710,393215,10,0,102,32337
(null),903194710,393215,10,0,127,214470
(null),903194710,393215,10,0,191,295239
(null),903194710,393215,10,0,255,2382563
(null),903194710,393215,10,0,2046,2948
(null),903194710,393215,10,0,4092,0
(null),903194710,393215,10,0,6138,0
(null),903194710,393215,10,0,8184,0
(null),903194710,393215,10,0,10231,0
(null),903194710,393215,10,0,12277,0
(null),903194710,393215,10,0,13102,0
(null),903194710,393215,10,0,14323,0
(null),903194710,393215,10,0,16369,0
(null),903194710,393215,10,0,18415,0
(null),903194710,393215,10,0,20462,0
(null),903194710,393215,10,0,22508,0
(null),903194710,393215,10,0,24554,0
(null),903194710,393215,10,0,26600,0
(null),903194710,393215,10,0,28647,0
(null),903194710,393215,10,0,30693,0
(null),903194710,393215,10,0,32739,0
(null),903194710,393215,10,0,18446744073709551615,0
(null),903194710,393215,42,0,0,9747112
(null),903194710,393215,42,0,63,25486
(null),903194710,393215,42,0,102,44779
(null),903194710,393215,42,0,127,252690
(null),903194710,393215,42,0,191,324242
(null),903194710,393215,42,0,255,2162051
(null),903194710,393215,42,0,2046,0
(null),903194710,393215,42,0,4092,0
(null),903194710,393215,42,0,6138,0
(null),903194710,393215,42,0,8184,0
(null),903194710,393215,42,0,10231,0
(null),903194710,393215,42,0,12277,0
(null),903194710,393215,42,0,13102,0
(null),903194710,393215,42,0,14323,0
(null),903194710,393215,42,0,16369,0
(null),903194710,393215,42,0,18415,0
(null),903194710,393215,42,0,20462,0
(null),903194710,393215,42,0,22508,0
(null),903194710,393215,42,0,24554,0
(null),903194710,393215,42,0,26600,0
(null),903194710,393215,42,0,28647,0
(null),903194710,393215,42,0,30693,0
(null),903194710,393215,42,0,32739,0
(null),903194710,393215,42,0,18446744073709551615,0
(null),903194710,393215,39,0,0,9747112
(null),903194710,393215,39,0,63,25757
(null),903194710,393215,39,0,102,45107
(null),903194710,393215,39,0,127,254247
(null),903194710,393215,39,0,191,325634
(null),903194710,393215,39,0,255,2166695
(null),903194710,393215,39,0,2046,0
(null),903194710,393215,39,0,4092,0
(null),903194710,393215,39,0,6138,0
(null),903194710,393215,39,0,8184,0
(null),903194710,393215,39,0,10231,0
(null),903194710,393215,39,0,12277,0
(null),903194710,393215,39,0,13102,0
(null),903194710,393215,39,0,14323,0
(null),903194710,393215,39,0,16369,0
(null),903194710,393215,39,0,18415,0
(null),903194710,393215,39,0,20462,0
(null),903194710,393215,39,0,22508,0
(null),903194710,393215,39,0,24554,0
(null),903194710,393215,39,0,26600,0
(null),903194710,393215,39,0,28647,0
(null),903194710,393215,39,0,30693,0
(null),903194710,393215,39,0,32739,0
(null),903194710,393215,39,0,18446744073709551615,0
(null),903194710,393215,24,0,0,39104949
(null),903194710,393215,24,0,63,0
(null),903194710,393215,24,0,102,0
(null),903194710,393215,24,0,127,0
(null),903194710,393215,24,0,191,0
(null),903194710,393215,24,0,255,6849526
(null),903194710,393215,24,0,2046,3324681
(null),903194710,393215,24,0,4092,421911
(null),903194710,393215,24,0,6138,561781
(null),903194710,393215,24,0,8184,0
(null),903194710,393215,24,0,10231,0
(null),903194710,393215,24,0,12277,0
(null),903194710,393215,24,0,13102,0
(null),903194710,393215,24,0,14323,0
(null),903194710,393215,24,0,16369,0
(null),903194710,393215,24,0,18415,0
(null),903194710,393215,24,0,20462,0
(null),903194710,393215,24,0,22508,0
(null),903194710,393215,24,0,24554,0
(null),903194710,393215,24,0,26600,0
(null),903194710,393215,24,0,28647,0
(null),903194710,393215,24,0,30693,0
(null),903194710,393215,24,0,32739,0
(null),903194710,393215,24,0,18446744073709551615,0
(null),903194710,393215,28,0,0,9881368
(null),903194710,393215,28,0,63,17827
(null),903194710,393215,28,0,102,33933
(null),903194710,393215,28,0,127,234267
(null),903194710,393215,28,0,191,303025
(null),903194710,393215,28,0,255,2319628
(null),903194710,393215,28,0,2046,2948
(null),903194710,393215,28,0,4092,0
(null),903194710,393215,28,0,6138,0
(null),903194710,393215,28,0,8184,0
(null),903194710,393215,28,0,10231,0
(null),903194710,393215,28,0,12277,0
(null),903194710,393215,28,0,13102,0
(null),903194710,393215,28,0,14323,0
(null),903194710,393215,28,0,16369,0
(null),903194710,393215,28,0,18415,0
(null),903194710,393215,28,0,20462,0
(null),903194710,393215,28,0,22508,0
(null),903194710,393215,28,0,24554,0
(null),903194710,393215,28,0,26600,0
(null),903194710,393215,28,0,28647,0
(null),903194710,393215,28,0,30693,0
(null),903194710,393215,28,0,32739,0
(null),903194710,393215,28,0,18446744073709551615,0
(null),903194710,393215,47,0,0,1857112
(null),903194710,393215,47,0,63,70810
(null),903194710,393215,47,0,102,61036
(null),903194710,393215,47,0,127,13387
(null),903194710,393215,47,0,191,18865
(null),903194710,393215,47,0,255,395
(null),903194710,393215,47,0,2046,2
(null),903194710,393215,47,0,4092,0
(null),903194710,393215,47,0,6138,2
(null),903194710,393215,47,0,8184,1
(null),903194710,393215,47,0,10231,126
(null),903194710,393215,47,0,12277,12159
(null),903194710,393215,47,0,13102,0
(null),903194710,393215,47,0,14323,0
(null),903194710,393215,47,0,16369,0
(null),903194710,393215,47,0,18415,0
(null),903194710,393215,47,0,20462,0
(null),903194710,393215,47,0,22508,0
(null),903194710,393215,47,0,24554,0
(null),903194710,393215,47,0,26600,0
(null),903194710,393215,47,0,28647,0
(null),903194710,393215,47,0,30693,0
(null),903194710,393215,47,0,32739,0
(null),903194710,393215,47,0,18446744073709551615,0
(null),903194710,393215,46,0,0,2601814
(null),903194710,393215,46,0,63,200276
(null),903194710,393215,46,0,102,140322
(null),903194710,393215,46,0,127,96209
(null),903194710,393215,46,0,191,118419
(null),903194710,393215,46,0,255,63675
(null),903194710,393215,46,0,2046,0
(null),903194710,393215,46,0,4092,0
(null),903194710,393215,46,0,6138,0
(null),903194710,393215,46,0,8184,0
(null),903194710,393215,46,0,10231,0
(null),903194710,393215,46,0,12277,0
(null),903194710,393215,46,0,13102,0
(null),903194710,393215,46,0,14323,0
(null),903194710,393215,46,0,16369,0
(null),903194710,393215,46,0,18415,0
(null),903194710,393215,46,0,20462,0
(null),903194710,393215,46,0,22508,0
(null),903194710,393215,46,0,24554,0
(null),903194710,393215,46,0,26600,0
(null),903194710,393215,46,0,28647,0
(null),903194710,393215,46,0,30693,0
(null),903194710,393215,46,0,32739,0
(null),903194710,393215,46,0,18446744073709551615,0
(null),903194710,393215,45,0,0,4896905
(null),903194710,393215,45,0,63,155886
(null),903194710,393215,45,0,102,134051
(null),903194710,393215,45,0,127,271672
(null),903194710,393215,45,0,191,290172
(null),903194710,393215,45,0,255,541972
(null),903194710,393215,45,0,2046,0
(null),903194710,393215,45,0,4092,0
(null),903194710,393215,45,0,6138,0
(null),903194710,393215,45,0,8184,0
(null),903194710,393215,45,0,10231,0
(null),903194710,393215,45,0,12277,0
(null),903194710,393215,45,0,13102,0
(null),903194710,393215,45,0,14323,0
(null),903194710,393215,45,0,16369,0
(null),903194710,393215,45,0,18415,0
(null),903194710,393215,45,0,20462,0
(null),903194710,393215,45,0,22508,0
(null),903194710,393215,45,0,24554,0
(null),903194710,393215,45,0,26600,0
(null),903194710,393215,45,0,28647,0
(null),903194710,393215,45,0,30693,0
(null),903194710,393215,45,0,32739,0
(null),903194710,393215,45,0,18446744073709551615,0
(null),903194710,393215,38,0,0,5095971
(null),903194710,393215,38,0,63,139937
(null),903194710,393215,38,0,102,112578
(null),903194710,393215,38,0,127,372758
(null),903194710,393215,38,0,191,310502
(null),903194710,393215,38,0,255,562150
(null),903194710,393215,38,0,2046,3066
(null),903194710,393215,38,0,4092,0
(null),903194710,393215,38,0,6138,0
(null),903194710,393215,38,0,8184,0
(null),903194710,393215,38,0,10231,0
(null),903194710,393215,38,0,12277,0
(null),903194710,393215,38,0,13102,0
(null),903194710,393215,38,0,14323,0
(null),903194710,393215,38,0,16369,0
(null),903194710,393215,38,0,18415,0
(null),903194710,393215,38,0,20462,0
