matrix,nnz,nrows,cache_id,shared,mindist,count
(null),2449194,75468,24,0,0,47971
(null),2449194,75468,24,0,60,1997
(null),2449194,75468,24,0,99,180
(null),2449194,75468,24,0,120,88
(null),2449194,75468,24,0,180,126
(null),2449194,75468,24,0,241,70
(null),2449194,75468,24,0,1929,0
(null),2449194,75468,24,0,3858,0
(null),2449194,75468,24,0,5787,0
(null),2449194,75468,24,0,7716,0
(null),2449194,75468,24,0,9645,0
(null),2449194,75468,24,0,11574,0
(null),2449194,75468,24,0,12791,0
(null),2449194,75468,24,0,13503,0
(null),2449194,75468,24,0,15432,0
(null),2449194,75468,24,0,17362,0
(null),2449194,75468,24,0,19291,0
(null),2449194,75468,24,0,21220,0
(null),2449194,75468,24,0,23149,0
(null),2449194,75468,24,0,25078,0
(null),2449194,75468,24,0,27007,0
(null),2449194,75468,24,0,28936,0
(null),2449194,75468,24,0,30865,0
(null),2449194,75468,24,0,18446744073709551615,0
(null),2449194,75468,34,0,0,37398
(null),2449194,75468,34,0,60,6200
(null),2449194,75468,34,0,99,622
(null),2449194,75468,34,0,120,236
(null),2449194,75468,34,0,180,125
(null),2449194,75468,34,0,241,97
(null),2449194,75468,34,0,1929,0
(null),2449194,75468,34,0,3858,0
(null),2449194,75468,34,0,5787,0
(null),2449194,75468,34,0,7716,0
(null),2449194,75468,34,0,9645,0
(null),2449194,75468,34,0,11574,0
(null),2449194,75468,34,0,12791,0
(null),2449194,75468,34,0,13503,0
(null),2449194,75468,34,0,15432,0
(null),2449194,75468,34,0,17362,0
(null),2449194,75468,34,0,19291,0
(null),2449194,75468,34,0,21220,0
(null),2449194,75468,34,0,23149,0
(null),2449194,75468,34,0,25078,0
(null),2449194,75468,34,0,27007,0
(null),2449194,75468,34,0,28936,0
(null),2449194,75468,34,0,30865,0
(null),2449194,75468,34,0,18446744073709551615,0
(null),2449194,75468,31,0,0,55020
(null),2449194,75468,31,0,60,10264
(null),2449194,75468,31,0,99,3850
(null),2449194,75468,31,0,120,5661
(null),2449194,75468,31,0,180,1649
(null),2449194,75468,31,0,241,499
(null),2449194,75468,31,0,1929,0
(null),2449194,75468,31,0,3858,0
(null),2449194,75468,31,0,5787,0
(null),2449194,75468,31,0,7716,0
(null),2449194,75468,31,0,9645,0
(null),2449194,75468,31,0,11574,0
(null),2449194,75468,31,0,12791,0
(null),2449194,75468,31,0,13503,0
(null),2449194,75468,31,0,15432,0
(null),2449194,75468,31,0,17362,0
(null),2449194,75468,31,0,19291,0
(null),2449194,75468,31,0,21220,0
(null),2449194,75468,31,0,23149,0
(null),2449194,75468,31,0,25078,0
(null),2449194,75468,31,0,27007,0
(null),2449194,75468,31,0,28936,0
(null),2449194,75468,31,0,30865,0
(null),2449194,75468,31,0,18446744073709551615,0
(null),2449194,75468,30,0,0,42705
(null),2449194,75468,30,0,60,17824
(null),2449194,75468,30,0,99,5492
(null),2449194,75468,30,0,120,4726
(null),2449194,75468,30,0,180,179
(null),2449194,75468,30,0,241,375
(null),2449194,75468,30,0,1929,0
(null),2449194,75468,30,0,3858,0
(null),2449194,75468,30,0,5787,0
(null),2449194,75468,30,0,7716,0
(null),2449194,75468,30,0,9645,0
(null),2449194,75468,30,0,11574,0
(null),2449194,75468,30,0,12791,0
(null),2449194,75468,30,0,13503,0
(null),2449194,75468,30,0,15432,0
(null),2449194,75468,30,0,17362,0
(null),2449194,75468,30,0,19291,0
(null),2449194,75468,30,0,21220,0
(null),2449194,75468,30,0,23149,0
(null),2449194,75468,30,0,25078,0
(null),2449194,75468,30,0,27007,0
(null),2449194,75468,30,0,28936,0
(null),2449194,75468,30,0,30865,0
(null),2449194,75468,30,0,18446744073709551615,0
(null),2449194,75468,43,0,0,29967
(null),2449194,75468,43,0,60,773
(null),2449194,75468,43,0,99,30
(null),2449194,75468,43,0,120,10
(null),2449194,75468,43,0,180,102
(null),2449194,75468,43,0,241,149
(null),2449194,75468,43,0,1929,0
(null),2449194,75468,43,0,3858,0
(null),2449194,75468,43,0,5787,0
(null),2449194,75468,43,0,7716,0
(null),2449194,75468,43,0,9645,0
(null),2449194,75468,43,0,11574,0
(null),2449194,75468,43,0,12791,0
(null),2449194,75468,43,0,13503,0
(null),2449194,75468,43,0,15432,0
(null),2449194,75468,43,0,17362,0
(null),2449194,75468,43,0,19291,0
(null),2449194,75468,43,0,21220,0
(null),2449194,75468,43,0,23149,0
(null),2449194,75468,43,0,25078,0
(null),2449194,75468,43,0,27007,0
(null),2449194,75468,43,0,28936,0
(null),2449194,75468,43,0,30865,0
(null),2449194,75468,43,0,18446744073709551615,0
(null),2449194,75468,27,0,0,58684
(null),2449194,75468,27,0,60,5504
(null),2449194,75468,27,0,99,829
(null),2449194,75468,27,0,120,853
(null),2449194,75468,27,0,180,131
(null),2449194,75468,27,0,241,324
(null),2449194,75468,27,0,1929,0
(null),2449194,75468,27,0,3858,0
(null),2449194,75468,27,0,5787,0
(null),2449194,75468,27,0,7716,0
(null),2449194,75468,27,0,9645,0
(null),2449194,75468,27,0,11574,0
(null),2449194,75468,27,0,12791,0
(null),2449194,75468,27,0,13503,0
(null),2449194,75468,27,0,15432,0
(null),2449194,75468,27,0,17362,0
(null),2449194,75468,27,0,19291,0
(null),2449194,75468,27,0,21220,0
(null),2449194,75468,27,0,23149,0
(null),2449194,75468,27,0,25078,0
(null),2449194,75468,27,0,27007,0
(null),2449194,75468,27,0,28936,0
(null),2449194,75468,27,0,30865,0
(null),2449194,75468,27,0,18446744073709551615,0
(null),2449194,75468,46,0,0,24853
(null),2449194,75468,46,0,60,2885
(null),2449194,75468,46,0,99,121
(null),2449194,75468,46,0,120,70
(null),2449194,75468,46,0,180,141
(null),2449194,75468,46,0,241,0
(null),2449194,75468,46,0,1929,0
(null),2449194,75468,46,0,3858,0
(null),2449194,75468,46,0,5787,0
(null),2449194,75468,46,0,7716,0
(null),2449194,75468,46,0,9645,0
(null),2449194,75468,46,0,11574,0
(null),2449194,75468,46,0,12791,0
(null),2449194,75468,46,0,13503,0
(null),2449194,75468,46,0,15432,0
(null),2449194,75468,46,0,17362,0
(null),2449194,75468,46,0,19291,0
(null),2449194,75468,46,0,21220,0
(null),2449194,75468,46,0,23149,0
(null),2449194,75468,46,0,25078,0
(null),2449194,75468,46,0,27007,0
(null),2449194,75468,46,0,28936,0
(null),2449194,75468,46,0,30865,0
(null),2449194,75468,46,0,18446744073709551615,0
(null),2449194,75468,19,0,0,47791
(null),2449194,75468,19,0,60,3345
(null),2449194,75468,19,0,99,356
(null),2449194,75468,19,0,120,235
(null),2449194,75468,19,0,180,37
(null),2449194,75468,19,0,241,334
(null),2449194,75468,19,0,1929,0
(null),2449194,75468,19,0,3858,0
(null),2449194,75468,19,0,5787,0
(null),2449194,75468,19,0,7716,0
(null),2449194,75468,19,0,9645,0
(null),2449194,75468,19,0,11574,0
(null),2449194,75468,19,0,12791,0
(null),2449194,75468,19,0,13503,0
(null),2449194,75468,19,0,15432,0
(null),2449194,75468,19,0,17362,0
(null),2449194,75468,19,0,19291,0
(null),2449194,75468,19,0,21220,0
(null),2449194,75468,19,0,23149,0
(null),2449194,75468,19,0,25078,0
(null),2449194,75468,19,0,27007,0
(null),2449194,75468,19,0,28936,0
(null),2449194,75468,19,0,30865,0
(null),2449194,75468,19,0,18446744073709551615,0
(null),2449194,75468,44,0,0,28986
(null),2449194,75468,44,0,60,1123
(null),2449194,75468,44,0,99,135
(null),2449194,75468,44,0,120,97
(null),2449194,75468,44,0,180,19
(null),2449194,75468,44,0,241,311
(null),2449194,75468,44,0,1929,0
(null),2449194,75468,44,0,3858,0
(null),2449194,75468,44,0,5787,0
(null),2449194,75468,44,0,7716,0
(null),2449194,75468,44,0,9645,0
(null),2449194,75468,44,0,11574,0
(null),2449194,75468,44,0,12791,0
(null),2449194,75468,44,0,13503,0
(null),2449194,75468,44,0,15432,0
(null),2449194,75468,44,0,17362,0
(null),2449194,75468,44,0,19291,0
(null),2449194,75468,44,0,21220,0
(null),2449194,75468,44,0,23149,0
(null),2449194,75468,44,0,25078,0
(null),2449194,75468,44,0,27007,0
(null),2449194,75468,44,0,28936,0
(null),2449194,75468,44,0,30865,0
(null),2449194,75468,44,0,18446744073709551615,0
(null),2449194,75468,38,0,0,36870
(null),2449194,75468,38,0,60,5472
(null),2449194,75468,38,0,99,551
(null),2449194,75468,38,0,120,226
(null),2449194,75468,38,0,180,82
(null),2449194,75468,38,0,241,67
(null),2449194,75468,38,0,1929,0
(null),2449194,75468,38,0,3858,0
(null),2449194,75468,38,0,5787,0
(null),2449194,75468,38,0,7716,0
(null),2449194,75468,38,0,9645,0
(null),2449194,75468,38,0,11574,0
(null),2449194,75468,38,0,12791,0
(null),2449194,75468,38,0,13503,0
(null),2449194,75468,38,0,15432,0
(null),2449194,75468,38,0,17362,0
(null),2449194,75468,38,0,19291,0
(null),2449194,75468,38,0,21220,0
(null),2449194,75468,38,0,23149,0
(null),2449194,75468,38,0,25078,0
(null),2449194,75468,38,0,27007,0
(null),2449194,75468,38,0,28936,0
(null),2449194,75468,38,0,30865,0
(null),2449194,75468,38,0,18446744073709551615,0
(null),2449194,75468,40,0,0,38405
(null),2449194,75468,40,0,60,6037
(null),2449194,75468,40,0,99,314
(null),2449194,75468,40,0,120,76
(null),2449194,75468,40,0,180,139
(null),2449194,75468,40,0,241,77
(null),2449194,75468,40,0,1929,0
(null),2449194,75468,40,0,3858,0
(null),2449194,75468,40,0,5787,0
(null),2449194,75468,40,0,7716,0
(null),2449194,75468,40,0,9645,0
(null),2449194,75468,40,0,11574,0
(null),2449194,75468,40,0,12791,0
(null),2449194,75468,40,0,13503,0
(null),2449194,75468,40,0,15432,0
(null),2449194,75468,40,0,17362,0
(null),2449194,75468,40,0,19291,0
(null),2449194,75468,40,0,21220,0
(null),2449194,75468,40,0,23149,0
(null),2449194,75468,40,0,25078,0
(null),2449194,75468,40,0,27007,0
(null),2449194,75468,40,0,28936,0
(null),2449194,75468,40,0,30865,0
(null),2449194,75468,40,0,18446744073709551615,0
(null),2449194,75468,36,0,0,40138
(null),2449194,75468,36,0,60,6643
(null),2449194,75468,36,0,99,1243
(null),2449194,75468,36,0,120,466
(null),2449194,75468,36,0,180,134
(null),2449194,75468,36,0,241,75
(null),2449194,75468,36,0,1929,0
(null),2449194,75468,36,0,3858,0
(null),2449194,75468,36,0,5787,0
(null),2449194,75468,36,0,7716,0
(null),2449194,75468,36,0,9645,0
(null),2449194,75468,36,0,11574,0
(null),2449194,75468,36,0,12791,0
(null),2449194,75468,36,0,13503,0
(null),2449194,75468,36,0,15432,0
(null),2449194,75468,36,0,17362,0
(null),2449194,75468,36,0,19291,0
(null),2449194,75468,36,0,21220,0
(null),2449194,75468,36,0,23149,0
(null),2449194,75468,36,0,25078,0
(null),2449194,75468,36,0,27007,0
(null),2449194,75468,36,0,28936,0
(null),2449194,75468,36,0,30865,0
(null),2449194,75468,36,0,18446744073709551615,0
(null),2449194,75468,39,0,0,37298
(null),2449194,75468,39,0,60,6382
(null),2449194,75468,39,0,99,615
(null),2449194,75468,39,0,120,291
(null),2449194,75468,39,0,180,123
(null),2449194,75468,39,0,241,79
(null),2449194,75468,39,0,1929,0
(null),2449194,75468,39,0,3858,0
(null),2449194,75468,39,0,5787,0
(null),2449194,75468,39,0,7716,0
(null),2449194,75468,39,0,9645,0
(null),2449194,75468,39,0,11574,0
(null),2449194,75468,39,0,12791,0
(null),2449194,75468,39,0,13503,0
(null),2449194,75468,39,0,15432,0
(null),2449194,75468,39,0,17362,0
(null),2449194,75468,39,0,19291,0
(null),2449194,75468,39,0,21220,0
(null),2449194,75468,39,0,23149,0
(null),2449194,75468,39,0,25078,0
(null),2449194,75468,39,0,27007,0
(null),2449194,75468,39,0,28936,0
(null),2449194,75468,39,0,30865,0
(null),2449194,75468,39,0,18446744073709551615,0
(null),2449194,75468,42,0,0,32873
(null),2449194,75468,42,0,60,443
(null),2449194,75468,42,0,99,39
(null),2449194,75468,42,0,120,17
(null),2449194,75468,42,0,180,49
(null),2449194,75468,42,0,241,234
(null),2449194,75468,42,0,1929,0
(null),2449194,75468,42,0,3858,0
(null),2449194,75468,42,0,5787,0
(null),2449194,75468,42,0,7716,0
(null),2449194,75468,42,0,9645,0
(null),2449194,75468,42,0,11574,0
(null),2449194,75468,42,0,12791,0
(null),2449194,75468,42,0,13503,0
(null),2449194,75468,42,0,15432,0
(null),2449194,75468,42,0,17362,0
