matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1930655,15449,6,0,0,41037
(null),1930655,15449,6,0,62,0
(null),1930655,15449,6,0,101,0
(null),1930655,15449,6,0,125,0
(null),1930655,15449,6,0,188,0
(null),1930655,15449,6,0,251,0
(null),1930655,15449,6,0,2015,0
(null),1930655,15449,6,0,4031,0
(null),1930655,15449,6,0,6047,0
(null),1930655,15449,6,0,8062,0
(null),1930655,15449,6,0,10078,0
(null),1930655,15449,6,0,12094,0
(null),1930655,15449,6,0,13023,0
(null),1930655,15449,6,0,14110,0
(null),1930655,15449,6,0,16125,0
(null),1930655,15449,6,0,18141,0
(null),1930655,15449,6,0,20157,0
(null),1930655,15449,6,0,22173,0
(null),1930655,15449,6,0,24188,0
(null),1930655,15449,6,0,26204,0
(null),1930655,15449,6,0,28220,0
(null),1930655,15449,6,0,30236,0
(null),1930655,15449,6,0,32251,0
(null),1930655,15449,6,0,18446744073709551615,0
(null),1930655,15449,42,0,0,38447
(null),1930655,15449,42,0,62,0
(null),1930655,15449,42,0,101,0
(null),1930655,15449,42,0,125,0
(null),1930655,15449,42,0,188,0
(null),1930655,15449,42,0,251,0
(null),1930655,15449,42,0,2015,0
(null),1930655,15449,42,0,4031,0
(null),1930655,15449,42,0,6047,0
(null),1930655,15449,42,0,8062,0
(null),1930655,15449,42,0,10078,0
(null),1930655,15449,42,0,12094,0
(null),1930655,15449,42,0,13023,0
(null),1930655,15449,42,0,14110,0
(null),1930655,15449,42,0,16125,0
(null),1930655,15449,42,0,18141,0
(null),1930655,15449,42,0,20157,0
(null),1930655,15449,42,0,22173,0
(null),1930655,15449,42,0,24188,0
(null),1930655,15449,42,0,26204,0
(null),1930655,15449,42,0,28220,0
(null),1930655,15449,42,0,30236,0
(null),1930655,15449,42,0,32251,0
(null),1930655,15449,42,0,18446744073709551615,0
(null),1930655,15449,38,0,0,46984
(null),1930655,15449,38,0,62,0
(null),1930655,15449,38,0,101,0
(null),1930655,15449,38,0,125,0
(null),1930655,15449,38,0,188,0
(null),1930655,15449,38,0,251,0
(null),1930655,15449,38,0,2015,0
(null),1930655,15449,38,0,4031,0
(null),1930655,15449,38,0,6047,0
(null),1930655,15449,38,0,8062,0
(null),1930655,15449,38,0,10078,0
(null),1930655,15449,38,0,12094,0
(null),1930655,15449,38,0,13023,0
(null),1930655,15449,38,0,14110,0
(null),1930655,15449,38,0,16125,0
(null),1930655,15449,38,0,18141,0
(null),1930655,15449,38,0,20157,0
(null),1930655,15449,38,0,22173,0
(null),1930655,15449,38,0,24188,0
(null),1930655,15449,38,0,26204,0
(null),1930655,15449,38,0,28220,0
(null),1930655,15449,38,0,30236,0
(null),1930655,15449,38,0,32251,0
(null),1930655,15449,38,0,18446744073709551615,0
(null),1930655,15449,47,0,0,39678
(null),1930655,15449,47,0,62,0
(null),1930655,15449,47,0,101,0
(null),1930655,15449,47,0,125,0
(null),1930655,15449,47,0,188,0
(null),1930655,15449,47,0,251,0
(null),1930655,15449,47,0,2015,0
(null),1930655,15449,47,0,4031,0
(null),1930655,15449,47,0,6047,0
(null),1930655,15449,47,0,8062,0
(null),1930655,15449,47,0,10078,0
(null),1930655,15449,47,0,12094,0
(null),1930655,15449,47,0,13023,0
(null),1930655,15449,47,0,14110,0
(null),1930655,15449,47,0,16125,0
(null),1930655,15449,47,0,18141,0
(null),1930655,15449,47,0,20157,0
(null),1930655,15449,47,0,22173,0
(null),1930655,15449,47,0,24188,0
(null),1930655,15449,47,0,26204,0
(null),1930655,15449,47,0,28220,0
(null),1930655,15449,47,0,30236,0
(null),1930655,15449,47,0,32251,0
(null),1930655,15449,47,0,18446744073709551615,0
(null),1930655,15449,43,0,0,40115
(null),1930655,15449,43,0,62,0
(null),1930655,15449,43,0,101,0
(null),1930655,15449,43,0,125,0
(null),1930655,15449,43,0,188,0
(null),1930655,15449,43,0,251,0
(null),1930655,15449,43,0,2015,0
(null),1930655,15449,43,0,4031,0
(null),1930655,15449,43,0,6047,0
(null),1930655,15449,43,0,8062,0
(null),1930655,15449,43,0,10078,0
(null),1930655,15449,43,0,12094,0
(null),1930655,15449,43,0,13023,0
(null),1930655,15449,43,0,14110,0
(null),1930655,15449,43,0,16125,0
(null),1930655,15449,43,0,18141,0
(null),1930655,15449,43,0,20157,0
(null),1930655,15449,43,0,22173,0
(null),1930655,15449,43,0,24188,0
(null),1930655,15449,43,0,26204,0
(null),1930655,15449,43,0,28220,0
(null),1930655,15449,43,0,30236,0
(null),1930655,15449,43,0,32251,0
(null),1930655,15449,43,0,18446744073709551615,0
(null),1930655,15449,31,0,0,39340
(null),1930655,15449,31,0,62,0
(null),1930655,15449,31,0,101,0
(null),1930655,15449,31,0,125,0
(null),1930655,15449,31,0,188,0
(null),1930655,15449,31,0,251,0
(null),1930655,15449,31,0,2015,0
(null),1930655,15449,31,0,4031,0
(null),1930655,15449,31,0,6047,0
(null),1930655,15449,31,0,8062,0
(null),1930655,15449,31,0,10078,0
(null),1930655,15449,31,0,12094,0
(null),1930655,15449,31,0,13023,0
(null),1930655,15449,31,0,14110,0
(null),1930655,15449,31,0,16125,0
(null),1930655,15449,31,0,18141,0
(null),1930655,15449,31,0,20157,0
(null),1930655,15449,31,0,22173,0
(null),1930655,15449,31,0,24188,0
(null),1930655,15449,31,0,26204,0
(null),1930655,15449,31,0,28220,0
(null),1930655,15449,31,0,30236,0
(null),1930655,15449,31,0,32251,0
(null),1930655,15449,31,0,18446744073709551615,0
(null),1930655,15449,41,0,0,32083
(null),1930655,15449,41,0,62,0
(null),1930655,15449,41,0,101,0
(null),1930655,15449,41,0,125,0
(null),1930655,15449,41,0,188,0
(null),1930655,15449,41,0,251,0
(null),1930655,15449,41,0,2015,0
(null),1930655,15449,41,0,4031,0
(null),1930655,15449,41,0,6047,0
(null),1930655,15449,41,0,8062,0
(null),1930655,15449,41,0,10078,0
(null),1930655,15449,41,0,12094,0
(null),1930655,15449,41,0,13023,0
(null),1930655,15449,41,0,14110,0
(null),1930655,15449,41,0,16125,0
(null),1930655,15449,41,0,18141,0
(null),1930655,15449,41,0,20157,0
(null),1930655,15449,41,0,22173,0
(null),1930655,15449,41,0,24188,0
(null),1930655,15449,41,0,26204,0
(null),1930655,15449,41,0,28220,0
(null),1930655,15449,41,0,30236,0
(null),1930655,15449,41,0,32251,0
(null),1930655,15449,41,0,18446744073709551615,0
(null),1930655,15449,44,0,0,44112
(null),1930655,15449,44,0,62,0
(null),1930655,15449,44,0,101,0
(null),1930655,15449,44,0,125,0
(null),1930655,15449,44,0,188,0
(null),1930655,15449,44,0,251,0
(null),1930655,15449,44,0,2015,0
(null),1930655,15449,44,0,4031,0
(null),1930655,15449,44,0,6047,0
(null),1930655,15449,44,0,8062,0
(null),1930655,15449,44,0,10078,0
(null),1930655,15449,44,0,12094,0
(null),1930655,15449,44,0,13023,0
(null),1930655,15449,44,0,14110,0
(null),1930655,15449,44,0,16125,0
(null),1930655,15449,44,0,18141,0
(null),1930655,15449,44,0,20157,0
(null),1930655,15449,44,0,22173,0
(null),1930655,15449,44,0,24188,0
(null),1930655,15449,44,0,26204,0
(null),1930655,15449,44,0,28220,0
(null),1930655,15449,44,0,30236,0
(null),1930655,15449,44,0,32251,0
(null),1930655,15449,44,0,18446744073709551615,0
(null),1930655,15449,40,0,0,42742
(null),1930655,15449,40,0,62,0
(null),1930655,15449,40,0,101,0
(null),1930655,15449,40,0,125,0
(null),1930655,15449,40,0,188,0
(null),1930655,15449,40,0,251,0
(null),1930655,15449,40,0,2015,0
(null),1930655,15449,40,0,4031,0
(null),1930655,15449,40,0,6047,0
(null),1930655,15449,40,0,8062,0
(null),1930655,15449,40,0,10078,0
(null),1930655,15449,40,0,12094,0
(null),1930655,15449,40,0,13023,0
(null),1930655,15449,40,0,14110,0
(null),1930655,15449,40,0,16125,0
(null),1930655,15449,40,0,18141,0
(null),1930655,15449,40,0,20157,0
(null),1930655,15449,40,0,22173,0
(null),1930655,15449,40,0,24188,0
(null),1930655,15449,40,0,26204,0
(null),1930655,15449,40,0,28220,0
(null),1930655,15449,40,0,30236,0
(null),1930655,15449,40,0,32251,0
(null),1930655,15449,40,0,18446744073709551615,0
(null),1930655,15449,37,0,0,42958
(null),1930655,15449,37,0,62,0
(null),1930655,15449,37,0,101,0
(null),1930655,15449,37,0,125,0
(null),1930655,15449,37,0,188,0
(null),1930655,15449,37,0,251,0
(null),1930655,15449,37,0,2015,0
(null),1930655,15449,37,0,4031,0
(null),1930655,15449,37,0,6047,0
(null),1930655,15449,37,0,8062,0
(null),1930655,15449,37,0,10078,0
(null),1930655,15449,37,0,12094,0
(null),1930655,15449,37,0,13023,0
(null),1930655,15449,37,0,14110,0
(null),1930655,15449,37,0,16125,0
(null),1930655,15449,37,0,18141,0
(null),1930655,15449,37,0,20157,0
(null),1930655,15449,37,0,22173,0
(null),1930655,15449,37,0,24188,0
(null),1930655,15449,37,0,26204,0
(null),1930655,15449,37,0,28220,0
(null),1930655,15449,37,0,30236,0
(null),1930655,15449,37,0,32251,0
(null),1930655,15449,37,0,18446744073709551615,0
(null),1930655,15449,45,0,0,43149
(null),1930655,15449,45,0,62,0
(null),1930655,15449,45,0,101,0
(null),1930655,15449,45,0,125,0
(null),1930655,15449,45,0,188,0
(null),1930655,15449,45,0,251,0
(null),1930655,15449,45,0,2015,0
(null),1930655,15449,45,0,4031,0
(null),1930655,15449,45,0,6047,0
(null),1930655,15449,45,0,8062,0
(null),1930655,15449,45,0,10078,0
(null),1930655,15449,45,0,12094,0
(null),1930655,15449,45,0,13023,0
(null),1930655,15449,45,0,14110,0
(null),1930655,15449,45,0,16125,0
(null),1930655,15449,45,0,18141,0
(null),1930655,15449,45,0,20157,0
(null),1930655,15449,45,0,22173,0
(null),1930655,15449,45,0,24188,0
(null),1930655,15449,45,0,26204,0
(null),1930655,15449,45,0,28220,0
(null),1930655,15449,45,0,30236,0
(null),1930655,15449,45,0,32251,0
(null),1930655,15449,45,0,18446744073709551615,0
(null),1930655,15449,46,0,0,43267
(null),1930655,15449,46,0,62,0
(null),1930655,15449,46,0,101,0
(null),1930655,15449,46,0,125,0
(null),1930655,15449,46,0,188,0
(null),1930655,15449,46,0,251,0
(null),1930655,15449,46,0,2015,0
(null),1930655,15449,46,0,4031,0
(null),1930655,15449,46,0,6047,0
(null),1930655,15449,46,0,8062,0
(null),1930655,15449,46,0,10078,0
(null),1930655,15449,46,0,12094,0
(null),1930655,15449,46,0,13023,0
(null),1930655,15449,46,0,14110,0
(null),1930655,15449,46,0,16125,0
(null),1930655,15449,46,0,18141,0
(null),1930655,15449,46,0,20157,0
(null),1930655,15449,46,0,22173,0
(null),1930655,15449,46,0,24188,0
(null),1930655,15449,46,0,26204,0
(null),1930655,15449,46,0,28220,0
(null),1930655,15449,46,0,30236,0
(null),1930655,15449,46,0,32251,0
(null),1930655,15449,46,0,18446744073709551615,0
(null),1930655,15449,34,0,0,39045
(null),1930655,15449,34,0,62,0
(null),1930655,15449,34,0,101,0
(null),1930655,15449,34,0,125,0
(null),1930655,15449,34,0,188,0
(null),1930655,15449,34,0,251,0
(null),1930655,15449,34,0,2015,0
(null),1930655,15449,34,0,4031,0
(null),1930655,15449,34,0,6047,0
(null),1930655,15449,34,0,8062,0
(null),1930655,15449,34,0,10078,0
(null),1930655,15449,34,0,12094,0
(null),1930655,15449,34,0,13023,0
(null),1930655,15449,34,0,14110,0
(null),1930655,15449,34,0,16125,0
(null),1930655,15449,34,0,18141,0
(null),1930655,15449,34,0,20157,0
(null),1930655,15449,34,0,22173,0
(null),1930655,15449,34,0,24188,0
(null),1930655,15449,34,0,26204,0
(null),1930655,15449,34,0,28220,0
(null),1930655,15449,34,0,30236,0
(null),1930655,15449,34,0,32251,0
(null),1930655,15449,34,0,18446744073709551615,0
(null),1930655,15449,27,0,0,39442
(null),1930655,15449,27,0,62,0
(null),1930655,15449,27,0,101,0
(null),1930655,15449,27,0,125,0
(null),1930655,15449,27,0,188,0
(null),1930655,15449,27,0,251,0
(null),1930655,15449,27,0,2015,0
(null),1930655,15449,27,0,4031,0
(null),1930655,15449,27,0,6047,0
(null),1930655,15449,27,0,8062,0
(null),1930655,15449,27,0,10078,0
(null),1930655,15449,27,0,12094,0
(null),1930655,15449,27,0,13023,0
(null),1930655,15449,27,0,14110,0
(null),1930655,15449,27,0,16125,0
(null),1930655,15449,27,0,18141,0
(null),1930655,15449,27,0,20157,0
(null),1930655,15449,27,0,22173,0
(null),1930655,15449,27,0,24188,0
(null),1930655,15449,27,0,26204,0
(null),1930655,15449,27,0,28220,0
(null),1930655,15449,27,0,30236,0
(null),1930655,15449,27,0,32251,0
(null),1930655,15449,27,0,18446744073709551615,0
(null),1930655,15449,33,0,0,48089
(null),1930655,15449,33,0,62,0
(null),1930655,15449,33,0,101,0
(null),1930655,15449,33,0,125,0
(null),1930655,15449,33,0,188,0
(null),1930655,15449,33,0,251,0
(null),1930655,15449,33,0,2015,0
(null),1930655,15449,33,0,4031,0
(null),1930655,15449,33,0,6047,0
(null),1930655,15449,33,0,8062,0
(null),1930655,15449,33,0,10078,0
(null),1930655,15449,33,0,12094,0
(null),1930655,15449,33,0,13023,0
(null),1930655,15449,33,0,14110,0
(null),1930655,15449,33,0,16125,0
(null),1930655,15449,33,0,18141,0
(null),1930655,15449,33,0,20157,0
(null),1930655,15449,33,0,22173,0
(null),1930655,15449,33,0,24188,0
(null),1930655,15449,33,0,26204,0
(null),1930655,15449,33,0,28220,0
(null),1930655,15449,33,0,30236,0
(null),1930655,15449,33,0,32251,0
(null),1930655,15449,33,0,18446744073709551615,0
(null),1930655,15449,25,0,0,42729
(null),1930655,15449,25,0,62,0
(null),1930655,15449,25,0,101,0
(null),1930655,15449,25,0,125,0
(null),1930655,15449,25,0,188,0
(null),1930655,15449,25,0,251,0
(null),1930655,15449,25,0,2015,0
(null),1930655,15449,25,0,4031,0
(null),1930655,15449,25,0,6047,0
(null),1930655,15449,25,0,8062,0
(null),1930655,15449,25,0,10078,0
(null),1930655,15449,25,0,12094,0
(null),1930655,15449,25,0,13023,0
(null),1930655,15449,25,0,14110,0
(null),1930655,15449,25,0,16125,0
(null),1930655,15449,25,0,18141,0
(null),1930655,15449,25,0,20157,0
(null),1930655,15449,25,0,22173,0
(null),1930655,15449,25,0,24188,0
(null),1930655,15449,25,0,26204,0
(null),1930655,15449,25,0,28220,0
(null),1930655,15449,25,0,30236,0
(null),1930655,15449,25,0,32251,0
(null),1930655,15449,25,0,18446744073709551615,0
(null),1930655,15449,36,0,0,46258
(null),1930655,15449,36,0,62,0
(null),1930655,15449,36,0,101,0
(null),1930655,15449,36,0,125,0
(null),1930655,15449,36,0,188,0
(null),1930655,15449,36,0,251,0
(null),1930655,15449,36,0,2015,0
(null),1930655,15449,36,0,4031,0
(null),1930655,15449,36,0,6047,0
(null),1930655,15449,36,0,8062,0
(null),1930655,15449,36,0,10078,0
(null),1930655,15449,36,0,12094,0
(null),1930655,15449,36,0,13023,0
(null),1930655,15449,36,0,14110,0
(null),1930655,15449,36,0,16125,0
(null),1930655,15449,36,0,18141,0
(null),1930655,15449,36,0,20157,0
(null),1930655,15449,36,0,22173,0
(null),1930655,15449,36,0,24188,0
(null),1930655,15449,36,0,26204,0
(null),1930655,15449,36,0,28220,0
(null),1930655,15449,36,0,30236,0
(null),1930655,15449,36,0,32251,0
(null),1930655,15449,36,0,18446744073709551615,0
(null),1930655,15449,32,0,0,42815
(null),1930655,15449,32,0,62,0
(null),1930655,15449,32,0,101,0
(null),1930655,15449,32,0,125,0
(null),1930655,15449,32,0,188,0
(null),1930655,15449,32,0,251,0
(null),1930655,15449,32,0,2015,0
(null),1930655,15449,32,0,4031,0
(null),1930655,15449,32,0,6047,0
(null),1930655,15449,32,0,8062,0
(null),1930655,15449,32,0,10078,0
(null),1930655,15449,32,0,12094,0
(null),1930655,15449,32,0,13023,0
(null),1930655,15449,32,0,14110,0
(null),1930655,15449,32,0,16125,0
