matrix,nnz,nrows,cache_id,shared,mindist,count
(null),1162244,37762,26,0,0,24286
(null),1162244,37762,26,0,60,0
(null),1162244,37762,26,0,99,0
(null),1162244,37762,26,0,120,0
(null),1162244,37762,26,0,180,0
(null),1162244,37762,26,0,240,0
(null),1162244,37762,26,0,1923,0
(null),1162244,37762,26,0,3846,0
(null),1162244,37762,26,0,5769,0
(null),1162244,37762,26,0,7692,0
(null),1162244,37762,26,0,9615,0
(null),1162244,37762,26,0,11538,0
(null),1162244,37762,26,0,12775,0
(null),1162244,37762,26,0,13461,0
(null),1162244,37762,26,0,15384,0
(null),1162244,37762,26,0,17307,0
(null),1162244,37762,26,0,19230,0
(null),1162244,37762,26,0,21153,0
(null),1162244,37762,26,0,23076,0
(null),1162244,37762,26,0,24999,0
(null),1162244,37762,26,0,26922,0
(null),1162244,37762,26,0,28845,0
(null),1162244,37762,26,0,30768,0
(null),1162244,37762,26,0,18446744073709551615,0
(null),1162244,37762,29,0,0,24302
(null),1162244,37762,29,0,60,0
(null),1162244,37762,29,0,99,0
(null),1162244,37762,29,0,120,0
(null),1162244,37762,29,0,180,0
(null),1162244,37762,29,0,240,0
(null),1162244,37762,29,0,1923,0
(null),1162244,37762,29,0,3846,0
(null),1162244,37762,29,0,5769,0
(null),1162244,37762,29,0,7692,0
(null),1162244,37762,29,0,9615,0
(null),1162244,37762,29,0,11538,0
(null),1162244,37762,29,0,12775,0
(null),1162244,37762,29,0,13461,0
(null),1162244,37762,29,0,15384,0
(null),1162244,37762,29,0,17307,0
(null),1162244,37762,29,0,19230,0
(null),1162244,37762,29,0,21153,0
(null),1162244,37762,29,0,23076,0
(null),1162244,37762,29,0,24999,0
(null),1162244,37762,29,0,26922,0
(null),1162244,37762,29,0,28845,0
(null),1162244,37762,29,0,30768,0
(null),1162244,37762,29,0,18446744073709551615,0
(null),1162244,37762,31,0,0,24286
(null),1162244,37762,31,0,60,0
(null),1162244,37762,31,0,99,0
(null),1162244,37762,31,0,120,0
(null),1162244,37762,31,0,180,0
(null),1162244,37762,31,0,240,0
(null),1162244,37762,31,0,1923,0
(null),1162244,37762,31,0,3846,0
(null),1162244,37762,31,0,5769,0
(null),1162244,37762,31,0,7692,0
(null),1162244,37762,31,0,9615,0
(null),1162244,37762,31,0,11538,0
